query,gt_tool,rank_of_one_node,top1_is_one_node,top1_dag_text,top1_cosine,gt_cosine
look up the record for #60122.,db_read,7,False,process_refund -> send_notification,0.4041961431503296,0.22369441390037537
pull Alice's account details.,db_read,18,False,"create_ticket -> send_notification, send_notification -> reset_password",0.48119157552719116,0.11738882958889008
retrieve information on Frank.,db_read,10,False,"create_ticket -> send_notification, send_notification -> reset_password",0.4517722725868225,0.1325332671403885
check the database entry for Charlie.,db_read,9,True,db_write,0.3866102397441864,0.2366417646408081
fetch the record linked to #20891.,db_read,12,False,process_refund -> send_notification,0.38321325182914734,0.1825501173734665
search for transaction #20891 in the database.,db_read,10,False,process_refund -> send_notification,0.3126262426376343,0.17676372826099396
bring up Bob's account information.,db_read,15,False,"create_ticket -> send_notification, send_notification -> reset_password",0.5152470469474792,0.1358691304922104
search the database for Frank.,db_read,9,False,"create_ticket -> send_notification, send_notification -> reset_password",0.36963844299316406,0.20286156237125397
Please look up the record for Alice.,db_read,9,False,escalate_to_human -> archive_data,0.3876950740814209,0.20837339758872986
Please retrieve the entry for #60122.,db_read,8,False,process_refund -> send_notification,0.41544109582901,0.25086554884910583
Please retrieve information on Frank.,db_read,10,False,"create_ticket -> send_notification, send_notification -> reset_password",0.4217202663421631,0.16982214152812958
Please check the database entry for Eve.,db_read,7,True,db_write,0.4074747562408447,0.289687842130661
Please fetch the record linked to #10234.,db_read,11,False,process_refund -> send_notification,0.3835950493812561,0.1764378696680069
Please search for transaction #53698 in the database.,db_read,8,False,process_refund -> send_notification,0.36231160163879395,0.22044870257377625
Please bring up Diana's account information.,db_read,12,False,"create_ticket -> send_notification, send_notification -> reset_password",0.47502025961875916,0.2200171798467636
Please search the database for Alice.,db_read,9,False,escalate_to_human -> archive_data,0.3788803517818451,0.23752711713314056
Can you look up the record for Alice?,db_read,13,False,escalate_to_human -> archive_data,0.38241782784461975,0.16982749104499817
Can you pull Bob's account details?,db_read,18,False,"create_ticket -> send_notification, send_notification -> reset_password",0.39441803097724915,0.07656849920749664
Can you check the database for #53698?,db_read,9,True,db_write,0.3365860879421234,0.1999715268611908
Can you pull the details associated with #53698?,db_read,10,False,escalate_to_human -> archive_data,0.32893308997154236,0.1820012331008911
Can you fetch Alice's profile from the database?,db_read,17,False,"create_ticket -> send_notification, send_notification -> reset_password",0.31380993127822876,0.07054588943719864
Can you read the record tied to Eve?,db_read,16,False,process_refund -> send_notification,0.3049342632293701,0.10615424066781998
Can you bring up the database entry for #20891?,db_read,9,True,db_write,0.44697457551956177,0.23794123530387878
Can you read back the data for #60122?,db_read,10,False,archive_data -> restore_backup,0.41130614280700684,0.20788970589637756
Could you look up the record for #60122 for me?,db_read,11,False,process_refund -> send_notification,0.3910343050956726,0.17138448357582092
Could you pull Frank's account details for me?,db_read,19,False,"create_ticket -> send_notification, send_notification -> reset_password",0.3863923251628876,0.07650896906852722
Could you retrieve information on Eve for me?,db_read,11,False,escalate_to_human -> archive_data,0.4028145968914032,0.16304267942905426
Could you check the database entry for Diana for me?,db_read,7,True,db_write,0.38240379095077515,0.256355345249176
Could you fetch the record linked to #20891 for me?,db_read,14,False,process_refund -> send_notification,0.3635571002960205,0.1750083714723587
Could you search for transaction #42017 in the database for me?,db_read,8,True,db_write,0.31514257192611694,0.19356007874011993
Could you bring up the database entry for #31450 for me?,db_read,6,True,db_write,0.4497227668762207,0.26201802492141724
Could you read back the data for #10234 for me?,db_read,10,False,escalate_to_human -> archive_data,0.3949768543243408,0.24276991188526154
I need you to look up the record for #20891.,db_read,4,False,process_refund -> send_notification,0.43255507946014404,0.3202435374259949
I need you to retrieve the entry for #60122.,db_read,6,False,process_refund -> send_notification,0.4134142994880676,0.29469192028045654
I need you to retrieve information on Diana.,db_read,9,False,"create_ticket -> send_notification, send_notification -> reset_password",0.4322691261768341,0.24940283596515656
I need you to pull the details associated with #31450.,db_read,4,False,escalate_to_human -> archive_data,0.3611413240432739,0.34402504563331604
I need you to fetch the record linked to #31450.,db_read,8,False,process_refund -> send_notification,0.4137730598449707,0.25319352746009827
I need you to read the record tied to Bob.,db_read,11,False,"create_ticket -> send_notification, send_notification -> reset_password",0.3116394877433777,0.15660136938095093
I need you to bring up Bob's account information.,db_read,14,False,"create_ticket -> send_notification, send_notification -> reset_password",0.5164397954940796,0.23496980965137482
I need you to search the database for Grace.,db_read,9,False,"create_ticket -> send_notification, send_notification -> reset_password",0.3765076696872711,0.2196063995361328
We should look up the record for Charlie.,db_read,10,False,escalate_to_human -> archive_data,0.32858046889305115,0.20525184273719788
We should pull Alice's account details.,db_read,15,False,"create_ticket -> send_notification, send_notification -> reset_password",0.4247051775455475,0.17569506168365479
We should retrieve information on Alice.,db_read,8,False,"create_ticket -> send_notification, send_notification -> reset_password",0.4344228208065033,0.2489105463027954
We should check the database entry for Diana.,db_read,8,True,db_write,0.4079136550426483,0.28595441579818726
We should fetch the record linked to #10234.,db_read,11,False,process_refund -> send_notification,0.3845401406288147,0.21243125200271606
We should read the record tied to Charlie.,db_read,13,False,process_refund -> send_notification,0.2851654589176178,0.14881137013435364
We should bring up Grace's account information.,db_read,15,False,"create_ticket -> send_notification, send_notification -> reset_password",0.47371917963027954,0.19614875316619873
We should search the database for Charlie.,db_read,8,False,escalate_to_human -> archive_data,0.38180312514305115,0.24810700118541718
Let's look up the record for Charlie.,db_read,14,False,process_refund -> send_notification,0.32814109325408936,0.14145512878894806
Let's retrieve the entry for #10234.,db_read,10,False,process_refund -> send_notification,0.38226789236068726,0.2057495415210724
Let's check the database for #60122.,db_read,7,True,db_write,0.42303338646888733,0.2545626759529114
Let's pull the details associated with #42017.,db_read,6,True,generate_report,0.295639306306839,0.2545318007469177
Let's fetch Eve's profile from the database.,db_read,12,False,"create_ticket -> send_notification, send_notification -> reset_password",0.4076358377933502,0.15071313083171844
Let's search for transaction #10234 in the database.,db_read,9,True,db_write,0.3083915710449219,0.16753706336021423
Let's bring up Alice's account information.,db_read,15,False,"create_ticket -> send_notification, send_notification -> reset_password",0.49254846572875977,0.17345361411571503
Let's search the database for Eve.,db_read,8,True,db_write,0.37820231914520264,0.2264254093170166
Kindly look up the record for #31450.,db_read,7,False,process_refund -> send_notification,0.4172285795211792,0.24150608479976654
Kindly pull Grace's account details.,db_read,18,False,"create_ticket -> send_notification, send_notification -> reset_password",0.353376179933548,0.12852126359939575
Kindly check the database for #60122.,db_read,7,True,db_write,0.3811738193035126,0.2423977553844452
Kindly check the database entry for Eve.,db_read,8,True,db_write,0.36545541882514954,0.24445092678070068
Kindly fetch Grace's profile from the database.,db_read,12,False,"create_ticket -> send_notification, send_notification -> reset_password",0.3811013102531433,0.12481271475553513
Kindly read the record tied to Charlie.,db_read,14,False,process_refund -> send_notification,0.32713383436203003,0.13813507556915283
Kindly bring up the database entry for #53698.,db_read,5,True,db_write,0.4285813868045807,0.2689760625362396
Kindly search the database for Bob.,db_read,10,False,escalate_to_human -> archive_data,0.3556402325630188,0.15918058156967163
"When you have a moment, look up the record for Frank.",db_read,8,False,"create_ticket -> send_notification, send_notification -> reset_password",0.408761590719223,0.24614399671554565
"When you have a moment, retrieve the entry for #10234.",db_read,9,False,process_refund -> send_notification,0.39832639694213867,0.22923363745212555
"When you have a moment, retrieve information on Frank.",db_read,9,False,"create_ticket -> send_notification, send_notification -> reset_password",0.46602895855903625,0.23725619912147522
reset Bob's password.,reset_password,2,False,"create_ticket -> send_notification, send_notification -> reset_password",0.46263593435287476,0.4617542326450348
