query,positive_dag_id,negative_dag_id,negative_type,neg_tools,neg_edges,neg_dag_text
"Time to create an audit trail for #42017. Next, save the changes for Diana to the DB, and then see what's going on with prod-web-01. Finally, restart the main process on auth-svc-04.",388,neg_0,swap_edges,log_audit_event;db_write;check_status;restart_service,1->3;2->3;2->1,"check_status -> db_write, check_status -> restart_service, db_write -> restart_service"
"Time to create an audit trail for #42017. Next, save the changes for Diana to the DB, and then see what's going on with prod-web-01. Finally, restart the main process on auth-svc-04.",388,neg_1,swap_tools,escalate_to_human;check_status;send_notification;db_read,0->1;1->2;2->3,"check_status -> send_notification, escalate_to_human -> check_status, send_notification -> db_read"
"Time to create an audit trail for #42017. Next, save the changes for Diana to the DB, and then see what's going on with prod-web-01. Finally, restart the main process on auth-svc-04.",388,neg_2,remove_edge,log_audit_event;db_write;check_status;restart_service,1->2;2->3,"check_status -> restart_service, db_write -> check_status"
"Time to create an audit trail for #42017. Next, save the changes for Diana to the DB, and then see what's going on with prod-web-01. Finally, restart the main process on auth-svc-04.",388,neg_3,add_edge,log_audit_event;db_write;check_status;restart_service,0->1;1->2;2->3;1->3,"check_status -> restart_service, db_write -> check_status, db_write -> restart_service, log_audit_event -> db_write"
"Time to create an audit trail for #42017. Next, save the changes for Diana to the DB, and then see what's going on with prod-web-01. Finally, restart the main process on auth-svc-04.",388,neg_4,extra_node,log_audit_event;db_write;check_status;restart_service;log_audit_event,0->1;1->2;2->3;4->0,"check_status -> restart_service, db_write -> check_status, log_audit_event -> db_write, log_audit_event -> log_audit_event"
"Urgent: downgrade Grace's account and send a heads-up to HR, merge everything and do a security check on auth-svc-04.",459,neg_5,swap_edges,update_subscription;send_notification;scan_malware,0->1;1->2,"send_notification -> scan_malware, update_subscription -> send_notification"
"Urgent: downgrade Grace's account and send a heads-up to HR, merge everything and do a security check on auth-svc-04.",459,neg_6,swap_tools,generate_report;check_status;provision_vm,0->2;1->2,"check_status -> provision_vm, generate_report -> provision_vm"
"Urgent: downgrade Grace's account and send a heads-up to HR, merge everything and do a security check on auth-svc-04.",459,neg_7,remove_edge,update_subscription;send_notification;scan_malware,1->2,send_notification -> scan_malware
"Urgent: downgrade Grace's account and send a heads-up to HR, merge everything and do a security check on auth-svc-04.",459,neg_8,add_edge,update_subscription;send_notification;scan_malware,0->2;1->2;1->0,"send_notification -> scan_malware, send_notification -> update_subscription, update_subscription -> scan_malware"
"Urgent: downgrade Grace's account and send a heads-up to HR, merge everything and do a security check on auth-svc-04.",459,neg_9,extra_node,update_subscription;send_notification;scan_malware;check_status,0->2;1->2;1->3,"send_notification -> check_status, send_notification -> scan_malware, update_subscription -> scan_malware"
From Marketing: change Alice's plan and at the same time credit Charlie's account and quarantine staging-db-02.,412,neg_10,swap_edges,update_subscription;process_refund;quarantine_system,2->0;1->0,"process_refund -> update_subscription, quarantine_system -> update_subscription"
From Marketing: change Alice's plan and at the same time credit Charlie's account and quarantine staging-db-02.,412,neg_11,swap_tools,send_notification;provision_vm;log_audit_event,0->1;0->2,"send_notification -> log_audit_event, send_notification -> provision_vm"
From Marketing: change Alice's plan and at the same time credit Charlie's account and quarantine staging-db-02.,412,neg_12,remove_edge,update_subscription;process_refund;quarantine_system,0->1,update_subscription -> process_refund
From Marketing: change Alice's plan and at the same time credit Charlie's account and quarantine staging-db-02.,412,neg_13,add_edge,update_subscription;process_refund;quarantine_system,0->1;0->2;1->2,"process_refund -> quarantine_system, update_subscription -> process_refund, update_subscription -> quarantine_system"
From Marketing: change Alice's plan and at the same time credit Charlie's account and quarantine staging-db-02.,412,neg_14,extra_node,update_subscription;process_refund;quarantine_system;process_refund,0->1;0->2;0->3,"update_subscription -> process_refund, update_subscription -> process_refund, update_subscription -> quarantine_system"
"Per Alice's request, look up the records for #60122. Once that's done, spin up a tracking ticket for Grace.",57,neg_15,swap_tools,db_write;quarantine_system,0->1,db_write -> quarantine_system
"Per Alice's request, look up the records for #60122. Once that's done, spin up a tracking ticket for Grace.",57,neg_16,extra_node,db_read;create_ticket;escalate_to_human,0->1;0->2,"db_read -> create_ticket, db_read -> escalate_to_human"
"For the Engineering team, compile a summary for HR, then investigate prod-web-01 for infections. End with give Alice their money back.",274,neg_17,swap_edges,generate_report;scan_malware;process_refund,0->1;2->1,"generate_report -> scan_malware, process_refund -> scan_malware"
"For the Engineering team, compile a summary for HR, then investigate prod-web-01 for infections. End with give Alice their money back.",274,neg_18,swap_tools,update_subscription;create_ticket;escalate_to_human,0->1;1->2,"create_ticket -> escalate_to_human, update_subscription -> create_ticket"
"For the Engineering team, compile a summary for HR, then investigate prod-web-01 for infections. End with give Alice their money back.",274,neg_19,remove_edge,generate_report;scan_malware;process_refund,0->1,generate_report -> scan_malware
"For the Engineering team, compile a summary for HR, then investigate prod-web-01 for infections. End with give Alice their money back.",274,neg_20,add_edge,generate_report;scan_malware;process_refund,0->1;1->2;0->2,"generate_report -> process_refund, generate_report -> scan_malware, scan_malware -> process_refund"
"For the Engineering team, compile a summary for HR, then investigate prod-web-01 for infections. End with give Alice their money back.",274,neg_21,extra_node,generate_report;scan_malware;process_refund;check_status,0->1;1->2;2->3,"generate_report -> scan_malware, process_refund -> check_status, scan_malware -> process_refund"
"Ticket INC-1198 says notify the Finance team. Next, sweep prod-web-01 for IOCs. Last step: create a virtual machine for HR.",258,neg_22,swap_edges,send_notification;scan_malware;provision_vm,2->0;1->0,"provision_vm -> send_notification, scan_malware -> send_notification"
"Ticket INC-1198 says notify the Finance team. Next, sweep prod-web-01 for IOCs. Last step: create a virtual machine for HR.",258,neg_23,swap_tools,quarantine_system;process_refund;reset_password,0->1;1->2,"process_refund -> reset_password, quarantine_system -> process_refund"
"Ticket INC-1198 says notify the Finance team. Next, sweep prod-web-01 for IOCs. Last step: create a virtual machine for HR.",258,neg_24,remove_edge,send_notification;scan_malware;provision_vm,1->2,scan_malware -> provision_vm
"Ticket INC-1198 says notify the Finance team. Next, sweep prod-web-01 for IOCs. Last step: create a virtual machine for HR.",258,neg_25,add_edge,send_notification;scan_malware;provision_vm,0->1;1->2;0->2,"scan_malware -> provision_vm, send_notification -> provision_vm, send_notification -> scan_malware"
"Ticket INC-1198 says notify the Finance team. Next, sweep prod-web-01 for IOCs. Last step: create a virtual machine for HR.",258,neg_26,extra_node,send_notification;scan_malware;provision_vm;update_subscription,0->1;1->2;3->2,"scan_malware -> provision_vm, send_notification -> scan_malware, update_subscription -> provision_vm"
We gotta produce the Finance performance summary — then send a heads-up to Finance.,47,neg_27,swap_tools,provision_vm;scan_malware,0->1,provision_vm -> scan_malware
We gotta produce the Finance performance summary — then send a heads-up to Finance.,47,neg_28,extra_node,generate_report;send_notification;check_status,0->1;2->1,"check_status -> send_notification, generate_report -> send_notification"
"For the Finance team, cycle ml-infer-05, and then check if payment-api-03 is up.",185,neg_29,swap_tools,escalate_to_human;generate_report,0->1,escalate_to_human -> generate_report
"For the Finance team, cycle ml-infer-05, and then check if payment-api-03 is up.",185,neg_30,extra_node,restart_service;check_status;escalate_to_human,0->1;2->0,"escalate_to_human -> restart_service, restart_service -> check_status"
"Ticket INC-7733 says sweep staging-db-02 for IOCs — then see what's going on with payment-api-03, and lastly reverse the charge on #20891.",301,neg_31,swap_edges,scan_malware;check_status;process_refund,1->2;0->2,"check_status -> process_refund, scan_malware -> process_refund"
"Ticket INC-7733 says sweep staging-db-02 for IOCs — then see what's going on with payment-api-03, and lastly reverse the charge on #20891.",301,neg_32,swap_tools,reset_password;restart_service;update_subscription,0->1;1->2,"reset_password -> restart_service, restart_service -> update_subscription"
"Ticket INC-7733 says sweep staging-db-02 for IOCs — then see what's going on with payment-api-03, and lastly reverse the charge on #20891.",301,neg_33,remove_edge,scan_malware;check_status;process_refund,1->2,check_status -> process_refund
