query,gt_tool,rank_of_one_node,top1_is_one_node,top1_dag_text,top1_cosine,gt_cosine
Notify the team by creating a formal issue for cdn-edge-06.,create_ticket,2,True,send_notification,0.5757274031639099,0.49690520763397217
Log Diana's complaint so we can follow up.,create_ticket,3,True,log_audit_event,0.6260512471199036,0.48303622007369995
Log Frank's complaint so we can follow up.,create_ticket,3,True,log_audit_event,0.6216661930084229,0.45373550057411194
Notify the team by creating a formal issue for ml-infer-05.,create_ticket,2,True,send_notification,0.5915430188179016,0.49367818236351013
Notify the team by creating a formal issue for payment-api-03.,create_ticket,2,True,send_notification,0.5917514562606812,0.5165193676948547
Log Grace's complaint so we can follow up.,create_ticket,3,True,log_audit_event,0.6179172992706299,0.4622679650783539
Notify the team by creating a formal issue for staging-db-02.,create_ticket,2,True,send_notification,0.557298481464386,0.4808655083179474
Notify the team by creating a formal issue for auth-svc-04.,create_ticket,2,True,send_notification,0.5917209982872009,0.4584132134914398
Notify the team by creating a formal issue for prod-web-01.,create_ticket,2,True,send_notification,0.5966851711273193,0.5073233842849731
Log Charlie's complaint so we can follow up.,create_ticket,3,True,log_audit_event,0.6218973398208618,0.456307590007782
Log Eve's complaint so we can follow up.,create_ticket,3,True,log_audit_event,0.6402939558029175,0.44942137598991394
Log Bob's complaint so we can follow up.,create_ticket,3,True,log_audit_event,0.6399692296981812,0.45773983001708984
Log Alice's complaint so we can follow up.,create_ticket,3,True,log_audit_event,0.6237199306488037,0.4480520784854889
Log Bob's complaint so we can follow up.,create_ticket,3,True,log_audit_event,0.6399692296981812,0.45773983001708984
Log Diana's complaint so we can follow up.,create_ticket,3,True,log_audit_event,0.6260512471199036,0.48303622007369995
Log Eve's complaint so we can follow up.,create_ticket,3,True,log_audit_event,0.6402939558029175,0.44942137598991394
Notify the team by creating a formal issue for cdn-edge-06.,create_ticket,2,True,send_notification,0.5757274031639099,0.49690520763397217
Notify the team by creating a formal issue for cdn-edge-06.,create_ticket,2,True,send_notification,0.5757274031639099,0.49690520763397217
Notify the team by creating a formal issue for auth-svc-04.,create_ticket,2,True,send_notification,0.5917209982872009,0.4584132134914398
Log Charlie's complaint so we can follow up.,create_ticket,3,True,log_audit_event,0.6218973398208618,0.456307590007782
Log Frank's complaint so we can follow up.,create_ticket,3,True,log_audit_event,0.6216661930084229,0.45373550057411194
Notify a manager that Frank's case needs attention.,escalate_to_human,2,True,send_notification,0.5450020432472229,0.47237303853034973
Send this to a real person for Frank.,escalate_to_human,3,True,send_notification,0.5658996105194092,0.4472922682762146
Send this to a real person for Alice.,escalate_to_human,3,True,send_notification,0.5848045945167542,0.45025745034217834
Send this to a real person for Eve.,escalate_to_human,3,True,send_notification,0.5529324412345886,0.46196115016937256
Send this to a real person for Bob.,escalate_to_human,4,True,send_notification,0.6012476682662964,0.43455174565315247
Send this to a real person for Grace.,escalate_to_human,3,True,send_notification,0.5631508231163025,0.4427521228790283
Notify a manager that Diana's case needs attention.,escalate_to_human,3,True,send_notification,0.559099555015564,0.48505398631095886
Notify a manager that Grace's case needs attention.,escalate_to_human,2,True,send_notification,0.5457850098609924,0.49445003271102905
Notify a manager that Bob's case needs attention.,escalate_to_human,2,True,send_notification,0.5514383912086487,0.4723096787929535
Notify a manager that Eve's case needs attention.,escalate_to_human,2,True,send_notification,0.5529931783676147,0.5042330622673035
Notify a manager that Charlie's case needs attention.,escalate_to_human,4,True,send_notification,0.5514186024665833,0.46914955973625183
Send this to a real person for Diana.,escalate_to_human,4,True,send_notification,0.5864930748939514,0.456414133310318
Notify a manager that Alice's case needs attention.,escalate_to_human,2,True,send_notification,0.5470393300056458,0.48440316319465637
Send this to a real person for Charlie.,escalate_to_human,3,True,send_notification,0.5810021758079529,0.43646812438964844
Notify a manager that Diana's case needs attention.,escalate_to_human,3,True,send_notification,0.559099555015564,0.48505398631095886
Notify a manager that Diana's case needs attention.,escalate_to_human,3,True,send_notification,0.559099555015564,0.48505398631095886
Notify a manager that Charlie's case needs attention.,escalate_to_human,4,True,send_notification,0.5514186024665833,0.46914955973625183
Notify a manager that Eve's case needs attention.,escalate_to_human,2,True,send_notification,0.5529931783676147,0.5042330622673035
Send this to a real person for Charlie.,escalate_to_human,3,True,send_notification,0.5810021758079529,0.43646812438964844
Send this to a real person for Frank.,escalate_to_human,3,True,send_notification,0.565899670124054,0.44729214906692505
Send this to a real person for Bob.,escalate_to_human,4,True,send_notification,0.6012476682662964,0.43455174565315247
Log the quarterly metrics into a document.,generate_report,3,True,log_audit_event,0.48969578742980957,0.363888144493103
Log the quarterly metrics into a document.,generate_report,3,True,log_audit_event,0.48969578742980957,0.363888144493103
Log the quarterly metrics into a document.,generate_report,3,True,log_audit_event,0.48969578742980957,0.363888144493103
Log the quarterly metrics into a document.,generate_report,3,True,log_audit_event,0.48969578742980957,0.363888144493103
Log the quarterly metrics into a document.,generate_report,3,True,log_audit_event,0.48969578742980957,0.363888144493103
Log the quarterly metrics into a document.,generate_report,3,True,log_audit_event,0.48969578742980957,0.363888144493103
Log the quarterly metrics into a document.,generate_report,3,True,log_audit_event,0.48969578742980957,0.363888144493103
File a record of what happened with payment-api-03.,log_audit_event,6,True,create_ticket,0.5228854417800903,0.4015475809574127
File a record of what happened with cdn-edge-06.,log_audit_event,8,True,create_ticket,0.5691099762916565,0.3847488462924957
Document the action taken on Charlie's account.,log_audit_event,3,True,process_refund,0.53992760181427,0.47670963406562805
File a record of what happened with prod-web-01.,log_audit_event,10,True,create_ticket,0.5706698298454285,0.37183821201324463
Document the action taken on Alice's account.,log_audit_event,3,False,process_refund -> send_notification,0.5116817951202393,0.48841261863708496
Document the action taken on Frank's account.,log_audit_event,3,True,process_refund,0.555601954460144,0.5114520788192749
Document the action taken on Bob's account.,log_audit_event,3,True,process_refund,0.5316500663757324,0.47966399788856506
Document the action taken on Diana's account.,log_audit_event,4,True,process_refund,0.5263876914978027,0.4944174289703369
Document the action taken on Eve's account.,log_audit_event,3,False,process_refund -> send_notification,0.5455162525177002,0.5043317675590515
File a record of what happened with ml-infer-05.,log_audit_event,10,True,create_ticket,0.5448880195617676,0.34926968812942505
File a record of what happened with auth-svc-04.,log_audit_event,6,True,create_ticket,0.5253036618232727,0.4280259311199188
Document the action taken on Grace's account.,log_audit_event,3,True,process_refund,0.5158995389938354,0.4930940568447113
File a record of what happened with staging-db-02.,log_audit_event,15,True,create_ticket,0.5185441374778748,0.3173861503601074
File a record of what happened with ml-infer-05.,log_audit_event,10,True,create_ticket,0.5448880195617676,0.34926968812942505
File a record of what happened with staging-db-02.,log_audit_event,15,True,create_ticket,0.5185441374778748,0.3173861503601074
Document the action taken on Frank's account.,log_audit_event,3,True,process_refund,0.5556018948554993,0.5114520788192749
Document the action taken on Grace's account.,log_audit_event,3,True,process_refund,0.5158995389938354,0.4930940568447113
File a record of what happened with ml-infer-05.,log_audit_event,10,True,create_ticket,0.5448880195617676,0.34926968812942505
File a record of what happened with staging-db-02.,log_audit_event,15,True,create_ticket,0.5185441374778748,0.3173861503601074
File a record of what happened with auth-svc-04.,log_audit_event,6,True,create_ticket,0.5253036618232727,0.4280259311199188
File a record of what happened with prod-web-01.,log_audit_event,10,True,create_ticket,0.5706698894500732,0.3718383312225342
File a record of what happened with ml-infer-05.,log_audit_event,10,True,create_ticket,0.5448880195617676,0.34926968812942505
Document the action taken on Grace's account.,log_audit_event,3,True,process_refund,0.5158995389938354,0.4930940568447113
Document the action taken on Diana's account.,log_audit_event,4,True,process_refund,0.5263876914978027,0.4944174289703369
Update Charlie's billing to reflect the returned amount.,process_refund,2,False,"process_refund -> send_notification, update_subscription -> process_refund",0.5631304979324341,0.5588313341140747
Adjust Bob's account balance after the error.,process_refund,4,True,update_subscription,0.5650460124015808,0.48254522681236267
Update Eve's billing to reflect the returned amount.,process_refund,3,True,update_subscription,0.5650075674057007,0.539114773273468
Adjust Diana's account balance after the error.,process_refund,4,True,update_subscription,0.5569159388542175,0.4846063256263733
Adjust Alice's account balance after the error.,process_refund,4,True,update_subscription,0.5714693665504456,0.4676034152507782
Adjust Charlie's account balance after the error.,process_refund,4,True,update_subscription,0.5491832494735718,0.4765918254852295
Adjust Frank's account balance after the error.,process_refund,3,True,update_subscription,0.5695362687110901,0.4910840392112732
Adjust Grace's account balance after the error.,process_refund,4,True,update_subscription,0.567584753036499,0.47518783807754517
Update Bob's billing to reflect the returned amount.,process_refund,3,True,update_subscription,0.5629500150680542,0.5527960658073425
