query,gt_tool,rank_of_one_node,top1_is_one_node,top1_dag_text,top1_cosine,gt_cosine
Query payment-api-03 to see if it's still alive.,check_status,3,False,"check_status -> run_pipeline, rollback_deployment -> run_pipeline, run_pipeline -> archive_data",0.1884380429983139,0.17631450295448303
Query auth-svc-04 to see if it's still alive.,check_status,4,False,"backup_database -> scan_malware, db_write -> backup_database, scan_malware -> db_write",0.21137267351150513,0.20279771089553833
Query prod-web-01 to see if it's still alive.,check_status,8,False,"backup_database -> scan_malware, db_write -> backup_database, scan_malware -> db_write",0.26574230194091797,0.18184301257133484
Query staging-db-02 to see if it's still alive.,check_status,3,False,"backup_database -> scan_malware, db_write -> backup_database, scan_malware -> db_write",0.2419806867837906,0.21736155450344086
Query ml-infer-05 to see if it's still alive.,check_status,6,False,"backup_database -> scan_malware, db_write -> backup_database, scan_malware -> db_write",0.24145644903182983,0.20585431158542633
Query payment-api-03 to see if it's still alive.,check_status,3,False,"check_status -> run_pipeline, rollback_deployment -> run_pipeline, run_pipeline -> archive_data",0.1884380429983139,0.17631450295448303
Query payment-api-03 to see if it's still alive.,check_status,3,False,"check_status -> run_pipeline, rollback_deployment -> run_pipeline, run_pipeline -> archive_data",0.1884380429983139,0.17631450295448303
Query prod-web-01 to see if it's still alive.,check_status,8,False,"backup_database -> scan_malware, db_write -> backup_database, scan_malware -> db_write",0.26574230194091797,0.18184301257133484
Notify the team by creating a formal issue for cdn-edge-06.,create_ticket,9,True,send_notification,0.46892812848091125,0.23715892434120178
Log Diana's complaint so we can follow up.,create_ticket,7,False,log_audit_event -> escalate_to_human,0.49095967411994934,0.27655479311943054
Log Frank's complaint so we can follow up.,create_ticket,10,False,log_audit_event -> escalate_to_human,0.5062711834907532,0.24726833403110504
Send a record of this problem to the tracking system.,create_ticket,7,False,process_refund -> send_notification,0.37840738892555237,0.25755634903907776
Notify the team by creating a formal issue for ml-infer-05.,create_ticket,10,True,send_notification,0.4619896113872528,0.22604550421237946
Notify the team by creating a formal issue for payment-api-03.,create_ticket,9,True,send_notification,0.4644647538661957,0.24118450284004211
Log Grace's complaint so we can follow up.,create_ticket,10,False,log_audit_event -> escalate_to_human,0.4769659638404846,0.25644636154174805
Notify the team by creating a formal issue for staging-db-02.,create_ticket,15,True,send_notification,0.4867980480194092,0.1899110972881317
Notify the team by creating a formal issue for auth-svc-04.,create_ticket,11,True,send_notification,0.4433761239051819,0.19022780656814575
Notify the team by creating a formal issue for prod-web-01.,create_ticket,12,True,send_notification,0.45315584540367126,0.22472478449344635
Log Charlie's complaint so we can follow up.,create_ticket,7,False,log_audit_event -> escalate_to_human,0.514651894569397,0.26562798023223877
Log Eve's complaint so we can follow up.,create_ticket,8,False,log_audit_event -> escalate_to_human,0.5087622404098511,0.2711526155471802
Log Bob's complaint so we can follow up.,create_ticket,8,False,log_audit_event -> escalate_to_human,0.5170601606369019,0.2563612461090088
Log Alice's complaint so we can follow up.,create_ticket,8,False,log_audit_event -> escalate_to_human,0.5024673342704773,0.2566746473312378
Log Bob's complaint so we can follow up.,create_ticket,8,False,log_audit_event -> escalate_to_human,0.5170601606369019,0.2563612461090088
Log Diana's complaint so we can follow up.,create_ticket,7,False,log_audit_event -> escalate_to_human,0.49095967411994934,0.27655479311943054
Log Eve's complaint so we can follow up.,create_ticket,8,False,log_audit_event -> escalate_to_human,0.5087622404098511,0.2711526155471802
Notify the team by creating a formal issue for cdn-edge-06.,create_ticket,9,True,send_notification,0.46892812848091125,0.23715892434120178
Send a record of this problem to the tracking system.,create_ticket,7,False,process_refund -> send_notification,0.37840738892555237,0.25755634903907776
Send a record of this problem to the tracking system.,create_ticket,7,False,process_refund -> send_notification,0.37840738892555237,0.25755634903907776
Notify the team by creating a formal issue for cdn-edge-06.,create_ticket,9,True,send_notification,0.46892812848091125,0.23715892434120178
Notify the team by creating a formal issue for auth-svc-04.,create_ticket,11,True,send_notification,0.4433761239051819,0.19022780656814575
Log Charlie's complaint so we can follow up.,create_ticket,7,False,log_audit_event -> escalate_to_human,0.514651894569397,0.26562798023223877
Log Frank's complaint so we can follow up.,create_ticket,10,False,log_audit_event -> escalate_to_human,0.5062711834907532,0.24726833403110504
Send a record of this problem to the tracking system.,create_ticket,7,False,process_refund -> send_notification,0.37840738892555237,0.25755634903907776
Send a record of this problem to the tracking system.,create_ticket,7,False,process_refund -> send_notification,0.37840738892555237,0.25755634903907776
Send a record of this problem to the tracking system.,create_ticket,7,False,process_refund -> send_notification,0.37840738892555237,0.25755634903907776
Send a record of this problem to the tracking system.,create_ticket,7,False,process_refund -> send_notification,0.37840738892555237,0.25755634903907776
Send a record of this problem to the tracking system.,create_ticket,7,False,process_refund -> send_notification,0.37840738892555237,0.25755634903907776
Send a record of this problem to the tracking system.,create_ticket,7,False,process_refund -> send_notification,0.37840738892555237,0.25755634903907776
Notify a manager that Frank's case needs attention.,escalate_to_human,6,False,"create_ticket -> send_notification, send_notification -> reset_password",0.4186256229877472,0.24751517176628113
Send this to a real person for Frank.,escalate_to_human,23,False,"create_ticket -> send_notification, send_notification -> reset_password",0.42416542768478394,0.11011732369661331
Create an escalation path for Frank.,escalate_to_human,2,True,db_read,0.3650304079055786,0.3384711444377899
Send this to a real person for Alice.,escalate_to_human,24,False,"create_ticket -> send_notification, send_notification -> reset_password",0.4298302233219147,0.08984826505184174
Send this to a real person for Eve.,escalate_to_human,21,False,process_refund -> send_notification,0.4359908401966095,0.13651086390018463
Create an escalation path for Diana.,escalate_to_human,3,True,db_read,0.38770443201065063,0.323390394449234
Send this to a real person for Bob.,escalate_to_human,22,False,"create_ticket -> send_notification, send_notification -> reset_password",0.4266560971736908,0.11478681117296219
Create an escalation path for Bob.,escalate_to_human,2,True,db_read,0.3503654897212982,0.33451011776924133
Create an escalation path for Alice.,escalate_to_human,10,True,db_read,0.3890475332736969,0.3030675947666168
Send this to a real person for Grace.,escalate_to_human,21,True,send_notification,0.4050241708755493,0.13774365186691284
Notify a manager that Diana's case needs attention.,escalate_to_human,6,False,"create_ticket -> send_notification, send_notification -> reset_password",0.4376925230026245,0.24442359805107117
