query,class_id,routing_tool,legr_tool,template_id
Tool name: query database. Purpose: Read / query data from a database.,0,query_database,db_read,train_0
Select query database when the requested operation is to read / query data from a database.,0,query_database,db_read,train_1
API operation query database: Read / query data from a database.,0,query_database,db_read,train_2
The query database capability is used to read / query data from a database.,0,query_database,db_read,train_3
Intent label query database corresponds to: Read / query data from a database.,0,query_database,db_read,train_4
Route requests about this operation to query database: Read / query data from a database.,0,query_database,db_read,train_5
Tool name: update database. Purpose: Write / update data in a database.,1,update_database,db_write,train_0
Select update database when the requested operation is to write / update data in a database.,1,update_database,db_write,train_1
API operation update database: Write / update data in a database.,1,update_database,db_write,train_2
The update database capability is used to write / update data in a database.,1,update_database,db_write,train_3
Intent label update database corresponds to: Write / update data in a database.,1,update_database,db_write,train_4
Route requests about this operation to update database: Write / update data in a database.,1,update_database,db_write,train_5
Tool name: reset password. Purpose: Reset a user's password or credentials.,2,reset_password,reset_password,train_0
Select reset password when the requested operation is to reset a user's password or credentials.,2,reset_password,reset_password,train_1
API operation reset password: Reset a user's password or credentials.,2,reset_password,reset_password,train_2
The reset password capability is used to reset a user's password or credentials.,2,reset_password,reset_password,train_3
Intent label reset password corresponds to: Reset a user's password or credentials.,2,reset_password,reset_password,train_4
Route requests about this operation to reset password: Reset a user's password or credentials.,2,reset_password,reset_password,train_5
Tool name: create ticket. Purpose: Create a support or incident ticket.,3,create_ticket,create_ticket,train_0
Select create ticket when the requested operation is to create a support or incident ticket.,3,create_ticket,create_ticket,train_1
API operation create ticket: Create a support or incident ticket.,3,create_ticket,create_ticket,train_2
The create ticket capability is used to create a support or incident ticket.,3,create_ticket,create_ticket,train_3
Intent label create ticket corresponds to: Create a support or incident ticket.,3,create_ticket,create_ticket,train_4
Route requests about this operation to create ticket: Create a support or incident ticket.,3,create_ticket,create_ticket,train_5
"Tool name: send notification. Purpose: Send an email, alert, or notification.",4,send_notification,send_notification,train_0
"Select send notification when the requested operation is to send an email, alert, or notification.",4,send_notification,send_notification,train_1
"API operation send notification: Send an email, alert, or notification.",4,send_notification,send_notification,train_2
"The send notification capability is used to send an email, alert, or notification.",4,send_notification,send_notification,train_3
"Intent label send notification corresponds to: Send an email, alert, or notification.",4,send_notification,send_notification,train_4
"Route requests about this operation to send notification: Send an email, alert, or notification.",4,send_notification,send_notification,train_5
Tool name: quarantine system. Purpose: Isolate a compromised or misbehaving system.,5,quarantine_system,quarantine_system,train_0
Select quarantine system when the requested operation is to isolate a compromised or misbehaving system.,5,quarantine_system,quarantine_system,train_1
API operation quarantine system: Isolate a compromised or misbehaving system.,5,quarantine_system,quarantine_system,train_2
The quarantine system capability is used to isolate a compromised or misbehaving system.,5,quarantine_system,quarantine_system,train_3
Intent label quarantine system corresponds to: Isolate a compromised or misbehaving system.,5,quarantine_system,quarantine_system,train_4
Route requests about this operation to quarantine system: Isolate a compromised or misbehaving system.,5,quarantine_system,quarantine_system,train_5
Tool name: scan malware. Purpose: Run a malware or vulnerability scan.,6,scan_malware,scan_malware,train_0
