query,gt_tool,rank_of_one_node,top1_is_one_node,top1_dag_text,top1_cosine,gt_cosine
bring up Bob's account information.,db_read,15,False,"create_ticket -> send_notification, send_notification -> reset_password",0.5152470469474792,0.1358691304922104
"Yo, bring up bob's account information.",db_read,14,False,"create_ticket -> send_notification, send_notification -> reset_password",0.5125427842140198,0.19078725576400757
We request that you bring up bob's account information.,db_read,11,False,"create_ticket -> send_notification, send_notification -> reset_password",0.48689258098602295,0.23054338991641998
Is it possible to bring up bob's account information?,db_read,19,False,"create_ticket -> send_notification, send_notification -> reset_password",0.4646749198436737,0.08925345540046692
bring up bob's account information -- that's what needs to happen.,db_read,12,False,"create_ticket -> send_notification, send_notification -> reset_password",0.5166037082672119,0.21644552052021027
Please check the database entry for Eve.,db_read,7,True,db_write,0.40747472643852234,0.2896878123283386
Is it possible to check the database entry for eve?,db_read,21,False,"backup_database -> scan_malware, db_write -> backup_database, scan_malware -> db_write",0.26967185735702515,0.033491481095552444
What we need is for check the database entry for eve.,db_read,10,True,db_write,0.4044959545135498,0.21257303655147552
Quick one -- check the database entry for eve.,db_read,9,True,db_write,0.41139256954193115,0.23686982691287994
Would you mind check the database entry for eve.,db_read,8,True,db_write,0.40878868103027344,0.2800113558769226
Can you check the database for #53698?,db_read,9,True,db_write,0.3365861177444458,0.199971541762352
Quick one -- check the database for #53698.,db_read,6,True,db_write,0.40777885913848877,0.2605593204498291
We request that you check the database for #53698.,db_read,5,True,db_write,0.3864265978336334,0.2952594459056854
check the database for #53698 -- that's what needs to happen.,db_read,5,True,db_write,0.4556167423725128,0.2986799478530884
Would anyone be able to check the database for #53698?,db_read,11,True,db_write,0.31962716579437256,0.18736118078231812
Can you pull the details associated with #53698?,db_read,10,False,escalate_to_human -> archive_data,0.3289330303668976,0.18200121819972992
Gonna need you to pull the details associated with #53698.,db_read,5,False,process_refund -> send_notification,0.32563701272010803,0.306670218706131
What we need is for pull the details associated with #53698.,db_read,4,True,generate_report,0.41560351848602295,0.3223765194416046
Who can pull the details associated with #53698?,db_read,15,False,escalate_to_human -> archive_data,0.3344968259334564,0.14753608405590057
Would you mind pull the details associated with #53698.,db_read,5,False,log_audit_event -> escalate_to_human,0.3360964357852936,0.2885160744190216
Can you bring up the database entry for #20891?,db_read,9,True,db_write,0.4469747841358185,0.2379411906003952
Would anyone be able to bring up the database entry for #20891?,db_read,9,True,db_write,0.42987963557243347,0.24550895392894745
Quick one -- bring up the database entry for #20891.,db_read,6,True,db_write,0.46209555864334106,0.2736279368400574
What we need is for bring up the database entry for #20891.,db_read,5,True,db_write,0.5157318711280823,0.3317839801311493
Would you mind bring up the database entry for #20891.,db_read,6,True,db_write,0.4478262662887573,0.3038594722747803
