condition,row_index,query,ground_truth_raw,ground_truth_tool,predicted_tool,correct,rank,top1_cosine,ground_truth_cosine,top5_tools,top5_cosines,source_row_id,generation_type,confusable_with
Lexical,0,What's going on with prod-web-01?,check_status,check_status,provision_vm,False,11,0.38458380103111267,0.23412743210792542,provision_vm;quarantine_system;scan_malware;generate_report;process_refund,0.38458380;0.37635395;0.37484962;0.37081808;0.34667349,804,lexical_cue_reduced,
Lexical,1,Is staging-db-02 still working?,check_status,check_status,db_write,False,4,0.29456043243408203,0.19110064208507538,db_write;db_read;restart_service;check_status;generate_report,0.29456043;0.28309211;0.20435566;0.19110064;0.17661841,805,lexical_cue_reduced,
Lexical,2,We haven't heard from staging-db-02 in a while.,check_status,check_status,db_read,False,3,0.2827973961830139,0.20469136536121368,db_read;db_write;check_status;generate_report;send_notification,0.28279740;0.27402508;0.20469137;0.20428632;0.20005290,806,lexical_cue_reduced,
Lexical,3,What's going on with cdn-edge-06?,check_status,check_status,create_ticket,False,7,0.19172286987304688,0.1408594250679016,create_ticket;provision_vm;send_notification;generate_report;escalate_to_human,0.19172287;0.17967555;0.16746202;0.16726330;0.16652127,807,lexical_cue_reduced,
Lexical,4,Can you confirm prod-web-01 is operational?,check_status,check_status,quarantine_system,False,9,0.4502369463443756,0.36574652791023254,quarantine_system;generate_report;process_refund;provision_vm;log_audit_event,0.45023695;0.41901997;0.41585523;0.41569132;0.41129878,808,lexical_cue_reduced,
Lexical,5,Give me a quick look at how auth-svc-04 is doing.,check_status,check_status,reset_password,False,13,0.31851229071617126,0.17061059176921844,reset_password;quarantine_system;provision_vm;generate_report;scan_malware,0.31851229;0.28966099;0.27973315;0.27716476;0.27378806,809,lexical_cue_reduced,
Lexical,6,Is everything okay with prod-web-01?,check_status,check_status,scan_malware,False,11,0.40022188425064087,0.2625531852245331,scan_malware;provision_vm;generate_report;quarantine_system;send_notification,0.40022188;0.38644320;0.37880373;0.37861085;0.35222939,810,lexical_cue_reduced,
Lexical,7,What's going on with staging-db-02?,check_status,check_status,db_read,False,5,0.24313423037528992,0.1317255049943924,db_read;db_write;generate_report;restart_service;check_status,0.24313423;0.24285121;0.13506781;0.13291360;0.13172550,811,lexical_cue_reduced,
Lexical,8,We haven't heard from ml-infer-05 in a while.,check_status,check_status,generate_report,False,11,0.27322134375572205,0.18428075313568115,generate_report;send_notification;log_audit_event;db_write;process_refund,0.27322134;0.24892308;0.24675114;0.24506448;0.23762636,812,lexical_cue_reduced,
Lexical,9,Give me a quick look at how prod-web-01 is doing.,check_status,check_status,quarantine_system,False,12,0.4606510102748871,0.3072012662887573,quarantine_system;provision_vm;generate_report;scan_malware;process_refund,0.46065101;0.45545572;0.45399386;0.42966917;0.42254552,813,lexical_cue_reduced,
Lexical,10,Can you confirm staging-db-02 is operational?,check_status,check_status,db_write,False,3,0.34748023748397827,0.30014437437057495,db_write;db_read;check_status;restart_service;send_notification,0.34748024;0.33483183;0.30014437;0.27731523;0.24688952,814,lexical_cue_reduced,
Lexical,11,Can you confirm auth-svc-04 is operational?,check_status,check_status,log_audit_event,False,4,0.2719188630580902,0.24813967943191528,log_audit_event;quarantine_system;restart_service;check_status;process_refund,0.27191886;0.26290640;0.25521633;0.24813968;0.24399926,815,lexical_cue_reduced,
Lexical,12,We haven't heard from auth-svc-04 in a while.,check_status,check_status,log_audit_event,False,12,0.2708052694797516,0.1809355467557907,log_audit_event;reset_password;quarantine_system;escalate_to_human;send_notification,0.27080527;0.26276952;0.25753990;0.25426096;0.25320458,816,lexical_cue_reduced,
Lexical,13,Give me a quick look at how payment-api-03 is doing.,check_status,check_status,provision_vm,False,9,0.35244375467300415,0.28768375515937805,provision_vm;generate_report;quarantine_system;create_ticket;log_audit_event,0.35244375;0.34580022;0.34440464;0.33656496;0.32293895,817,lexical_cue_reduced,
Lexical,14,Is everything okay with staging-db-02?,check_status,check_status,db_write,False,4,0.30521827936172485,0.17719417810440063,db_write;db_read;send_notification;check_status;generate_report,0.30521828;0.29400286;0.18087032;0.17719418;0.17151894,818,lexical_cue_reduced,
Lexical,15,Any idea what state payment-api-03 is in?,check_status,check_status,create_ticket,False,4,0.3017941117286682,0.2411605566740036,create_ticket;provision_vm;generate_report;check_status;quarantine_system,0.30179411;0.26591301;0.24758142;0.24116056;0.24052617,819,lexical_cue_reduced,
Lexical,16,We haven't heard from payment-api-03 in a while.,check_status,check_status,generate_report,False,9,0.35806700587272644,0.3077407479286194,generate_report;provision_vm;send_notification;quarantine_system;log_audit_event,0.35806701;0.35623205;0.34831443;0.34706688;0.34581345,820,lexical_cue_reduced,
Lexical,17,Any idea what state prod-web-01 is in?,check_status,check_status,provision_vm,False,11,0.40687060356140137,0.27099448442459106,provision_vm;quarantine_system;scan_malware;create_ticket;generate_report,0.40687060;0.39947903;0.38517123;0.37812319;0.37605584,821,lexical_cue_reduced,
Lexical,18,I'd like a pulse on payment-api-03.,check_status,check_status,create_ticket,False,7,0.3826737105846405,0.34353721141815186,create_ticket;generate_report;provision_vm;send_notification;quarantine_system,0.38267371;0.38032553;0.37209749;0.37160328;0.37146616,822,lexical_cue_reduced,
