query,dag_id,dag_text,tools,edges,topo_family,source,split,strict_fix_applied,had_duplicate_node_labels,original_tools,tool_count,canonical_dag_hash,canonical_toolset_hash,num_nodes,num_edges,query_condition,structural_twin_group,heldout_topology,dataset_version
"First, retrieve the database record. Then, access the user's profile. Next, open a support ticket for the user. After that, verify their subscription status. Finally, confirm the current service status.",0,"create_support_ticket -> read_subscription_status, read_database_record -> read_user_profile, read_subscription_status -> check_service_status, read_user_profile -> create_support_ticket",read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,0->1;1->2;2->3;3->4,chain_long_5,azure_gpt4o,train,FALSE,FALSE,read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,15,a6ef3b9403982ff1,5f9fb64bedf6ff43,5,4,standard,5f9fb64bedf6ff43,False,campaign_v4
"Start by pulling data from the database. Afterward, review the user profile. Once that's done, generate a support ticket. Then, check the user's subscription details, and finally, ensure that the service is operational.",0,"create_support_ticket -> read_subscription_status, read_database_record -> read_user_profile, read_subscription_status -> check_service_status, read_user_profile -> create_support_ticket",read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,0->1;1->2;2->3;3->4,chain_long_5,azure_gpt4o,train,FALSE,FALSE,read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,15,a6ef3b9403982ff1,5f9fb64bedf6ff43,5,4,paraphrase,5f9fb64bedf6ff43,False,campaign_v4
"This workflow involves a series of dependent steps. First, we must extract information from the database, which is required before we can look into the user profile. Once the profile is reviewed, we proceed to create a support ticket. The ticket must be completed before checking the user's subscription status, and only after verifying the subscription can we confirm the service status.",0,"create_support_ticket -> read_subscription_status, read_database_record -> read_user_profile, read_subscription_status -> check_service_status, read_user_profile -> create_support_ticket",read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,0->1;1->2;2->3;3->4,chain_long_5,azure_gpt4o,train,FALSE,FALSE,read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,15,a6ef3b9403982ff1,5f9fb64bedf6ff43,5,4,structural_clear,5f9fb64bedf6ff43,False,campaign_v4
"The steps rely on one another in order. We begin by gathering data from the database, which enables us to review the user profile. Creating a support ticket depends on completing the profile review. After the ticket is opened, we check the subscription information, and the final step is to ensure the service status is verified.",0,"create_support_ticket -> read_subscription_status, read_database_record -> read_user_profile, read_subscription_status -> check_service_status, read_user_profile -> create_support_ticket",read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,0->1;1->2;2->3;3->4,chain_long_5,azure_gpt4o,train,FALSE,FALSE,read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,15,a6ef3b9403982ff1,5f9fb64bedf6ff43,5,4,structural_paraphrase,5f9fb64bedf6ff43,False,campaign_v4
"Start by fetching some records from the main system. Next, look up the details for a specific account. Once you have that information, initiate a help request for the user. After submitting the request, check if the user's plan is active. Finally, ensure the requested service is functioning properly.",0,"create_support_ticket -> read_subscription_status, read_database_record -> read_user_profile, read_subscription_status -> check_service_status, read_user_profile -> create_support_ticket",read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,0->1;1->2;2->3;3->4,chain_long_5,azure_gpt4o,train,FALSE,FALSE,read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,15,a6ef3b9403982ff1,5f9fb64bedf6ff43,5,4,lexical,5f9fb64bedf6ff43,False,campaign_v4
"Can you first retrieve the data from the main system and then get the associated account details? After that, raise an issue report for the user. Once the issue is logged, confirm whether their active plan allows for service, and lastly, validate that the service is running as expected.",0,"create_support_ticket -> read_subscription_status, read_database_record -> read_user_profile, read_subscription_status -> check_service_status, read_user_profile -> create_support_ticket",read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,0->1;1->2;2->3;3->4,chain_long_5,azure_gpt4o,train,FALSE,FALSE,read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,15,a6ef3b9403982ff1,5f9fb64bedf6ff43,5,4,confusable,5f9fb64bedf6ff43,False,campaign_v4
"Can you first fetch the database record and my user profile, then open a support ticket once both are ready? After that, please check my subscription status and the service status simultaneously.",1,"create_support_ticket -> check_service_status, create_support_ticket -> read_subscription_status, read_database_record -> create_support_ticket, read_user_profile -> create_support_ticket",read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,0->2;1->2;2->3;2->4,hourglass,azure_gpt4o,train,FALSE,FALSE,read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,15,cdd682465be2d441,5f9fb64bedf6ff43,5,4,standard,5f9fb64bedf6ff43,False,campaign_v4
"Please retrieve the database entry and my account information at the same time, and then create a support ticket based on that. Once the ticket is created, check both my subscription and the service availability in parallel.",1,"create_support_ticket -> check_service_status, create_support_ticket -> read_subscription_status, read_database_record -> create_support_ticket, read_user_profile -> create_support_ticket",read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,0->2;1->2;2->3;2->4,hourglass,azure_gpt4o,train,FALSE,FALSE,read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,15,cdd682465be2d441,5f9fb64bedf6ff43,5,4,paraphrase,5f9fb64bedf6ff43,False,campaign_v4
"Start by extracting the database record and pulling up my profile concurrently. Once both of those tasks are completed, initiate the creation of a support ticket. After the ticket is successfully submitted, verify my subscription status and inspect the service status simultaneously.",1,"create_support_ticket -> check_service_status, create_support_ticket -> read_subscription_status, read_database_record -> create_support_ticket, read_user_profile -> create_support_ticket",read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,0->2;1->2;2->3;2->4,hourglass,azure_gpt4o,train,FALSE,FALSE,read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,15,cdd682465be2d441,5f9fb64bedf6ff43,5,4,structural_clear,5f9fb64bedf6ff43,False,campaign_v4
"Begin by obtaining the database details while also retrieving my user profile. When those two tasks are finished, proceed to file a support request. After the ticket is created, perform checks on my subscription and the service availability at the same time.",1,"create_support_ticket -> check_service_status, create_support_ticket -> read_subscription_status, read_database_record -> create_support_ticket, read_user_profile -> create_support_ticket",read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,0->2;1->2;2->3;2->4,hourglass,azure_gpt4o,train,FALSE,FALSE,read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,15,cdd682465be2d441,5f9fb64bedf6ff43,5,4,structural_paraphrase,5f9fb64bedf6ff43,False,campaign_v4
