condition,row_index,query,ground_truth_raw,ground_truth_tool,predicted_tool,correct,rank,top1_cosine,ground_truth_cosine,top5_tools,top5_cosines,source_row_id,generation_type,confusable_with
Confusable,0,Query payment-api-03 to see if it's still alive.,check_status,check_status,check_status,True,1,0.22708380222320557,0.22708380222320557,check_status;log_audit_event;db_read;quarantine_system;process_refund,0.22708380;0.19342022;0.19101837;0.16947892;0.16477804,-1,confusable_intent,query_database
Confusable,1,Look up how staging-db-02 is performing.,check_status,check_status,db_read,False,3,0.3885144889354706,0.270025372505188,db_read;db_write;check_status;generate_report;send_notification,0.38851449;0.36256373;0.27002537;0.23922166;0.23139301,-1,confusable_intent,query_database
Confusable,2,Scan payment-api-03 -- is it healthy?,check_status,check_status,scan_malware,False,2,0.16318145394325256,0.10221787542104721,scan_malware;check_status;quarantine_system;log_audit_event;escalate_to_human,0.16318145;0.10221788;0.08975194;0.08698941;0.07465287,-1,confusable_intent,scan_malware
Confusable,3,Look up how cdn-edge-06 is performing.,check_status,check_status,check_status,True,1,0.2924819588661194,0.2924819588661194,check_status;log_audit_event;generate_report;quarantine_system;db_read,0.29248196;0.26320729;0.25967568;0.25093168;0.24825476,-1,confusable_intent,query_database
Confusable,4,Query auth-svc-04 to see if it's still alive.,check_status,check_status,log_audit_event,False,4,0.16823016107082367,0.12767504155635834,log_audit_event;restart_service;reset_password;check_status;quarantine_system,0.16823016;0.16510046;0.14869824;0.12767504;0.12672032,-1,confusable_intent,query_database
Confusable,5,Look up how auth-svc-04 is performing.,check_status,check_status,log_audit_event,False,7,0.24671544134616852,0.18961769342422485,log_audit_event;reset_password;quarantine_system;scan_malware;process_refund,0.24671544;0.23062266;0.22071895;0.22025028;0.19932935,-1,confusable_intent,query_database
Confusable,6,Look up how prod-web-01 is performing.,check_status,check_status,quarantine_system,False,9,0.4216022491455078,0.3475901484489441,quarantine_system;log_audit_event;generate_report;scan_malware;process_refund,0.42160225;0.41313672;0.41162243;0.40183377;0.39081353,-1,confusable_intent,query_database
Confusable,7,Look up how payment-api-03 is performing.,check_status,check_status,log_audit_event,False,2,0.31222832202911377,0.30452761054039,log_audit_event;check_status;quarantine_system;generate_report;process_refund,0.31222832;0.30452761;0.29118249;0.26994565;0.26400355,-1,confusable_intent,query_database
Confusable,8,Look up how ml-infer-05 is performing.,check_status,check_status,log_audit_event,False,5,0.29170164465904236,0.2637055218219757,log_audit_event;db_read;quarantine_system;generate_report;check_status,0.29170164;0.29005197;0.27688327;0.27290562;0.26370552,-1,confusable_intent,query_database
Confusable,9,Scan auth-svc-04 -- is it healthy?,check_status,check_status,scan_malware,False,6,0.20107504725456238,0.018917616456747055,scan_malware;reset_password;log_audit_event;quarantine_system;escalate_to_human,0.20107505;0.11095768;0.07810938;0.07713524;0.05720082,-1,confusable_intent,scan_malware
Confusable,10,Query prod-web-01 to see if it's still alive.,check_status,check_status,quarantine_system,False,10,0.3382766842842102,0.26576557755470276,quarantine_system;scan_malware;process_refund;log_audit_event;db_read,0.33827668;0.31266084;0.31056473;0.30635408;0.30342528,-1,confusable_intent,query_database
Confusable,11,Scan staging-db-02 -- is it healthy?,check_status,check_status,db_read,False,4,0.12299123406410217,0.0523003488779068,db_read;db_write;scan_malware;check_status;restart_service,0.12299123;0.10384913;0.07213764;0.05230035;0.03378216,-1,confusable_intent,scan_malware
Confusable,12,Query staging-db-02 to see if it's still alive.,check_status,check_status,db_read,False,3,0.32304123044013977,0.1963026225566864,db_read;db_write;check_status;restart_service;generate_report,0.32304123;0.27681944;0.19630262;0.18036781;0.13412340,-1,confusable_intent,query_database
Confusable,13,Scan ml-infer-05 -- is it healthy?,check_status,check_status,scan_malware,False,8,0.15676958858966827,0.0438612662255764,scan_malware;db_write;quarantine_system;restart_service;send_notification,0.15676959;0.07371367;0.06264687;0.05950732;0.05619286,-1,confusable_intent,scan_malware
Confusable,14,Scan prod-web-01 -- is it healthy?,check_status,check_status,scan_malware,False,9,0.3555101454257965,0.13871341943740845,scan_malware;quarantine_system;generate_report;log_audit_event;provision_vm,0.35551015;0.24880093;0.19020917;0.18018334;0.17594136,-1,confusable_intent,scan_malware
Confusable,15,Query ml-infer-05 to see if it's still alive.,check_status,check_status,db_read,False,2,0.254681259393692,0.20699317753314972,db_read;check_status;quarantine_system;db_write;log_audit_event,0.25468126;0.20699318;0.20533930;0.20114313;0.19480860,-1,confusable_intent,query_database
Confusable,16,Scan cdn-edge-06 -- is it healthy?,check_status,check_status,scan_malware,False,2,0.12753531336784363,0.07967094331979752,scan_malware;check_status;quarantine_system;send_notification;restart_service,0.12753531;0.07967094;0.05262256;0.03629983;0.03514225,-1,confusable_intent,scan_malware
Confusable,17,Query cdn-edge-06 to see if it's still alive.,check_status,check_status,check_status,True,1,0.3033694326877594,0.3033694326877594,check_status;quarantine_system;db_read;send_notification;process_refund,0.30336943;0.25721994;0.25663790;0.23973297;0.23754242,-1,confusable_intent,query_database
Confusable,18,Scan payment-api-03 -- is it healthy?,check_status,check_status,scan_malware,False,2,0.16318145394325256,0.10221787542104721,scan_malware;check_status;quarantine_system;log_audit_event;escalate_to_human,0.16318145;0.10221788;0.08975194;0.08698941;0.07465287,-1,confusable_intent,scan_malware
Confusable,19,Scan prod-web-01 -- is it healthy?,check_status,check_status,scan_malware,False,9,0.3555101454257965,0.13871341943740845,scan_malware;quarantine_system;generate_report;log_audit_event;provision_vm,0.35551015;0.24880093;0.19020917;0.18018334;0.17594136,-1,confusable_intent,scan_malware
Confusable,20,Query cdn-edge-06 to see if it's still alive.,check_status,check_status,check_status,True,1,0.3033694326877594,0.3033694326877594,check_status;quarantine_system;db_read;send_notification;process_refund,0.30336943;0.25721994;0.25663790;0.23973297;0.23754242,-1,confusable_intent,query_database
Confusable,21,Look up how cdn-edge-06 is performing.,check_status,check_status,check_status,True,1,0.2924819588661194,0.2924819588661194,check_status;log_audit_event;generate_report;quarantine_system;db_read,0.29248196;0.26320729;0.25967568;0.25093168;0.24825476,-1,confusable_intent,query_database
Confusable,22,Scan prod-web-01 -- is it healthy?,check_status,check_status,scan_malware,False,9,0.3555101454257965,0.13871341943740845,scan_malware;quarantine_system;generate_report;log_audit_event;provision_vm,0.35551015;0.24880093;0.19020917;0.18018334;0.17594136,-1,confusable_intent,scan_malware
Confusable,23,Scan cdn-edge-06 -- is it healthy?,check_status,check_status,scan_malware,False,2,0.12753531336784363,0.07967094331979752,scan_malware;check_status;quarantine_system;send_notification;restart_service,0.12753531;0.07967094;0.05262256;0.03629983;0.03514225,-1,confusable_intent,scan_malware
Confusable,24,Look up how prod-web-01 is performing.,check_status,check_status,quarantine_system,False,9,0.4216022491455078,0.3475901484489441,quarantine_system;log_audit_event;generate_report;scan_malware;process_refund,0.42160225;0.41313672;0.41162243;0.40183377;0.39081353,-1,confusable_intent,query_database
Confusable,25,Scan payment-api-03 -- is it healthy?,check_status,check_status,scan_malware,False,2,0.16318145394325256,0.10221787542104721,scan_malware;check_status;quarantine_system;log_audit_event;escalate_to_human,0.16318145;0.10221788;0.08975194;0.08698941;0.07465287,-1,confusable_intent,scan_malware
Confusable,26,Query payment-api-03 to see if it's still alive.,check_status,check_status,check_status,True,1,0.22708380222320557,0.22708380222320557,check_status;log_audit_event;db_read;quarantine_system;process_refund,0.22708380;0.19342022;0.19101837;0.16947892;0.16477804,-1,confusable_intent,query_database
