query,dag_id,dag_text,tools,edges,topo_family,source,split,strict_fix_applied,had_duplicate_node_labels,original_tools
Time to back out the deployment on auth-svc-04 and at the same time file an incident report about staging-db-02 and recover Finance's data from backup.,433,"rollback_deployment -> create_ticket, rollback_deployment -> restore_backup",rollback_deployment;create_ticket;restore_backup,0->1;0->2,fanout,original,train,FALSE,FALSE,rollback_deployment;create_ticket;restore_backup
"Do me a favor and spin up a VM for HR. Once that's done, send a heads-up to Legal.",79,provision_vm -> send_notification,provision_vm;send_notification,0->1,chain_short,original,train,FALSE,FALSE,provision_vm;send_notification
"Quick one — investigate auth-svc-04 for infections. Next, pull staging-db-02 from production — in parallel, ping Grace about it and record the event in HR's log.",142,"quarantine_system -> log_audit_event, quarantine_system -> send_notification, scan_malware -> quarantine_system",scan_malware;quarantine_system;send_notification;log_audit_event,0->1;1->2;1->3,fanout,original,train,FALSE,FALSE,scan_malware;quarantine_system;send_notification;log_audit_event
"Check the DB records and scan staging-db-02 for threats, then dump it all in the audit log.",12,"db_read -> log_audit_event, scan_malware -> log_audit_event",db_read;scan_malware;log_audit_event,0->2;1->2,fanin,original,train,FALSE,FALSE,db_read;scan_malware;log_audit_event
"Ticket INC-4021 says rotate the API key for payment-api-03, then pull Grace's credentials for ml-infer-05. End with grant Frank permissions to ml-infer-05.",321,"revoke_access -> approve_access, rotate_api_key -> revoke_access",rotate_api_key;revoke_access;approve_access,0->1;1->2,chain_medium,original,train,FALSE,FALSE,rotate_api_key;revoke_access;approve_access
"The Finance team needs us to downgrade Frank's account. Next, kill the feature toggle for Marketing.",174,update_subscription -> disable_feature_flag,update_subscription;disable_feature_flag,0->1,chain_short,original,train,FALSE,FALSE,update_subscription;disable_feature_flag
"Bob is asking us to check if payment-api-03 is up. After that, log Frank's action for compliance. Last step: downgrade Bob's account.",308,"check_status -> log_audit_event, log_audit_event -> update_subscription",check_status;log_audit_event;update_subscription,0->1;1->2,chain_medium,original,train,FALSE,FALSE,check_status;log_audit_event;update_subscription
"Do me a favor and quarantine cdn-edge-06, followed by log Alice's action for compliance.",63,quarantine_system -> log_audit_event,quarantine_system;log_audit_event,0->1,chain_short,original,train,FALSE,FALSE,quarantine_system;log_audit_event
ASAP — reverse the charge on #31450 — then swap out cdn-edge-06's credentials. End with update Diana's record in the DB.,332,"process_refund -> rotate_api_key, rotate_api_key -> db_write",process_refund;rotate_api_key;db_write,0->1;1->2,chain_medium,original,train,FALSE,FALSE,process_refund;rotate_api_key;db_write
"Eve is asking us to do a security check on prod-web-01, and then blast an alert to Marketing — then put Marketing's historical data into the archive. To wrap up, stand up a new box for Legal.",412,"archive_data -> provision_vm, scan_malware -> send_notification, send_notification -> archive_data",scan_malware;send_notification;archive_data;provision_vm,0->1;1->2;2->3,chain_medium,original,train,FALSE,FALSE,scan_malware;send_notification;archive_data;provision_vm
"For the Finance team, record the event in Engineering's log. Next, bounce auth-svc-04.",258,log_audit_event -> restart_service,log_audit_event;restart_service,0->1,chain_short,original,train,FALSE,FALSE,log_audit_event;restart_service
"Charlie reported an issue — switch Alice to the new plan. After that, check if prod-web-01 is up.",194,update_subscription -> check_status,update_subscription;check_status,0->1,chain_short,original,train,FALSE,FALSE,update_subscription;check_status
"Full IR flow: verify payment-api-03 is down, run a scan, isolate, restart, get a human involved, alert the team, and audit it.",16,"check_status -> scan_malware, escalate_to_human -> send_notification, quarantine_system -> restart_service, restart_service -> escalate_to_human, scan_malware -> quarantine_system, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,original,train,FALSE,FALSE,check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event
"Bob reported an issue — scale payment-api-03 down to save costs. Once that's done, roll out the containerised app to ml-infer-05. End with flip the feature toggle on for Legal.",287,"deploy_container -> enable_feature_flag, scale_service -> deploy_container",scale_service;deploy_container;enable_feature_flag,0->1;1->2,chain_medium,original,train,FALSE,FALSE,scale_service;deploy_container;enable_feature_flag
"Hey, can you verify payment-api-03's health, and while you're at it, bounce prod-web-01 and open a ticket for Alice.",111,"check_status -> create_ticket, check_status -> restart_service",check_status;restart_service;create_ticket,0->1;0->2,fanout,original,train,FALSE,FALSE,check_status;restart_service;create_ticket
"The Engineering team needs us to refund Bob and flip the feature toggle on for Marketing. Once both are done, launch an instance for Marketing.",488,"enable_feature_flag -> provision_vm, process_refund -> provision_vm",process_refund;enable_feature_flag;provision_vm,0->2;1->2,fanin,original,train,FALSE,FALSE,process_refund;enable_feature_flag;provision_vm
"Hey, can you pull payment-api-03 back from the last good backup, and while you're at it, process the payout for Frank and spin up a tracking ticket for Grace.",445,"restore_backup -> create_ticket, restore_backup -> process_refund",restore_backup;process_refund;create_ticket,0->1;0->2,fanout,original,train,FALSE,FALSE,restore_backup;process_refund;create_ticket
"I need you to push the refund through for #42017 and enable the flag for prod-web-01. After those finish, provision a new instance for Legal.",488,"enable_feature_flag -> provision_vm, process_refund -> provision_vm",process_refund;enable_feature_flag;provision_vm,0->2;1->2,fanin,original,train,FALSE,FALSE,process_refund;enable_feature_flag;provision_vm
"The Finance team needs us to refund Alice and flip the feature toggle on for HR. Once both are done, launch an instance for HR.",488,"enable_feature_flag -> provision_vm, process_refund -> provision_vm",process_refund;enable_feature_flag;provision_vm,0->2;1->2,fanin,original,train,FALSE,FALSE,process_refund;enable_feature_flag;provision_vm
Urgent: change Charlie's plan — then turn off the feature flag for Engineering.,174,update_subscription -> disable_feature_flag,update_subscription;disable_feature_flag,0->1,chain_short,original,train,FALSE,FALSE,update_subscription;disable_feature_flag
"Charlie is asking us to yank ml-infer-05 off the network. Once that's done, drop an audit entry for payment-api-03.",63,quarantine_system -> log_audit_event,quarantine_system;log_audit_event,0->1,chain_short,original,train,FALSE,FALSE,quarantine_system;log_audit_event
"Time to look up the records for #42017. Next, kill the feature toggle for Marketing, then give Eve their money back. Finally, cold-store the old records for Grace.",379,"db_read -> disable_feature_flag, disable_feature_flag -> process_refund, process_refund -> archive_data",db_read;disable_feature_flag;process_refund;archive_data,0->1;1->2;2->3,chain_medium,original,train,FALSE,FALSE,db_read;disable_feature_flag;process_refund;archive_data
"ASAP — pull prod-web-01 back from the last good backup and yank staging-db-02 off the network. After those finish, green-light Diana's access to Finance.",504,"quarantine_system -> approve_access, restore_backup -> approve_access",restore_backup;quarantine_system;approve_access,0->2;1->2,fanin,original,train,FALSE,FALSE,restore_backup;quarantine_system;approve_access
"ASAP — do a security check on staging-db-02, then isolate ml-infer-05 — in parallel, ping Frank about it and record the event in Legal's log.",142,"quarantine_system -> log_audit_event, quarantine_system -> send_notification, scan_malware -> quarantine_system",scan_malware;quarantine_system;send_notification;log_audit_event,0->1;1->2;1->3,fanout,original,train,FALSE,FALSE,scan_malware;quarantine_system;send_notification;log_audit_event
"Put together a report on auth-svc-04. After that, execute the build pipeline for staging-db-02, and lastly save a backup of Legal's data.",357,"generate_report -> run_pipeline, run_pipeline -> backup_database",generate_report;run_pipeline;backup_database,0->1;1->2,chain_medium,original,train,FALSE,FALSE,generate_report;run_pipeline;backup_database
"Full IR flow: verify auth-svc-04 is down, run a scan, isolate, restart, get a human involved, alert the team, and audit it.",16,"check_status -> scan_malware, escalate_to_human -> send_notification, quarantine_system -> restart_service, restart_service -> escalate_to_human, scan_malware -> quarantine_system, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,original,train,FALSE,FALSE,check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event
"Per Frank's request, revoke Grace's access to payment-api-03, followed by write the new data for #53698 back, then update Eve's subscription. To wrap up, set up downtime for prod-web-01.",424,"db_write -> update_subscription, revoke_access -> db_write, update_subscription -> schedule_maintenance",revoke_access;db_write;update_subscription;schedule_maintenance,0->1;1->2;2->3,chain_medium,original,train,FALSE,FALSE,revoke_access;db_write;update_subscription;schedule_maintenance
"From Engineering: ping payment-api-03 for a health check and pull Charlie's data. Once both are done, send a heads-up to Finance.",125,"check_status -> send_notification, db_read -> send_notification",check_status;db_read;send_notification,0->2;1->2,fanin,original,train,FALSE,FALSE,check_status;db_read;send_notification
"We gotta record the event in Legal's log and file an incident report about ml-infer-05. After those finish, loop in a Legal manager.",472,"create_ticket -> escalate_to_human, log_audit_event -> escalate_to_human",log_audit_event;create_ticket;escalate_to_human,0->2;1->2,fanin,original,train,FALSE,FALSE,log_audit_event;create_ticket;escalate_to_human
"Urgent: check ml-infer-05 for vulnerabilities and take a snapshot of staging-db-02's DB, then converge and invalidate staging-db-02's cache.",498,"backup_database -> invalidate_cache, scan_malware -> invalidate_cache",scan_malware;backup_database;invalidate_cache,0->2;1->2,fanin,original,train,FALSE,FALSE,scan_malware;backup_database;invalidate_cache
"The HR team needs us to recover Legal's data from backup and quarantine payment-api-03. When all of that's complete, give Frank access to Engineering's resources.",504,"quarantine_system -> approve_access, restore_backup -> approve_access",restore_backup;quarantine_system;approve_access,0->2;1->2,fanin,original,train,FALSE,FALSE,restore_backup;quarantine_system;approve_access
