query,dag_id,dag_text,tools,edges,source,topo_family,dag_hash
"Hey, can you produce the Legal performance summary and update Frank's record in the DB, then converge and rotate the API key for payment-api-03. Last step: roll out the containerised app to prod-web-01.",10000,"db_write -> rotate_api_key, generate_report -> rotate_api_key, rotate_api_key -> deploy_container",generate_report;db_write;rotate_api_key;deploy_container,0->2;1->2;2->3,generated,y_shape,e50b9463682d2c80
"ASAP — generate the Marketing analytics and write the new data for #10234 back, then converge and swap out ml-infer-05's credentials. To wrap up, launch the docker deployment for Finance.",10000,"db_write -> rotate_api_key, generate_report -> rotate_api_key, rotate_api_key -> deploy_container",generate_report;db_write;rotate_api_key;deploy_container,0->2;1->2;2->3,generated,y_shape,e50b9463682d2c80
"For the HR team, put together a report on auth-svc-04 and store the Marketing config in the database. When all of that's complete, issue a new secret for auth-svc-04, and lastly push the container image for HR.",10000,"db_write -> rotate_api_key, generate_report -> rotate_api_key, rotate_api_key -> deploy_container",generate_report;db_write;rotate_api_key;deploy_container,0->2;1->2;2->3,generated,y_shape,e50b9463682d2c80
"Bob is asking us to produce the Marketing performance summary and update Eve's record in the DB. When all of that's complete, refresh the API token for HR. Finally, ship the new build to cdn-edge-06.",10000,"db_write -> rotate_api_key, generate_report -> rotate_api_key, rotate_api_key -> deploy_container",generate_report;db_write;rotate_api_key;deploy_container,0->2;1->2;2->3,generated,y_shape,e50b9463682d2c80
"The Finance team needs us to refund Alice — in parallel, investigate cdn-edge-06 for infections, combine the duplicate profiles for Eve, and attach the operator role to Bob, and lastly disconnect cdn-edge-06 from everything.",10001,"assign_role -> quarantine_system, process_refund -> assign_role, process_refund -> merge_accounts, process_refund -> scan_malware",process_refund;scan_malware;merge_accounts;assign_role;quarantine_system,0->1;0->2;0->3;3->4,generated,multi_branch_independent,e01d514427fac725
"Time to give Diana their money back while also sweep cdn-edge-06 for IOCs, consolidate Diana's duplicate entries, and grant Grace the Legal manager role. End with lock down auth-svc-04.",10001,"assign_role -> quarantine_system, process_refund -> assign_role, process_refund -> merge_accounts, process_refund -> scan_malware",process_refund;scan_malware;merge_accounts;assign_role;quarantine_system,0->1;0->2;0->3;3->4,generated,multi_branch_independent,e01d514427fac725
"Quick one — push the refund through for #31450 and simultaneously sweep staging-db-02 for IOCs, combine the duplicate profiles for Diana, and give Grace the editor permission, and lastly quarantine staging-db-02.",10001,"assign_role -> quarantine_system, process_refund -> assign_role, process_refund -> merge_accounts, process_refund -> scan_malware",process_refund;scan_malware;merge_accounts;assign_role;quarantine_system,0->1;0->2;0->3;3->4,generated,multi_branch_independent,e01d514427fac725
"ASAP — give Eve their money back — in parallel, investigate auth-svc-04 for infections, fold Grace's secondary account into the primary, and add the reviewer role to Charlie's account. End with quarantine staging-db-02.",10001,"assign_role -> quarantine_system, process_refund -> assign_role, process_refund -> merge_accounts, process_refund -> scan_malware",process_refund;scan_malware;merge_accounts;assign_role;quarantine_system,0->1;0->2;0->3;3->4,generated,multi_branch_independent,e01d514427fac725
"Per Charlie's request, flip the feature toggle on for Engineering and at the same time give Eve a new password, store the Legal config in the database, isolate payment-api-03, and loop in a Marketing manager. Once that's done, create an audit trail for #10234. End with block the suspicious IP hitting auth-svc-04.",10002,"enable_feature_flag -> db_write, enable_feature_flag -> escalate_to_human, enable_feature_flag -> quarantine_system, enable_feature_flag -> reset_password, escalate_to_human -> log_audit_event, log_audit_event -> block_ip_address",enable_feature_flag;reset_password;db_write;quarantine_system;escalate_to_human;log_audit_event;block_ip_address,0->1;0->2;0->3;0->4;4->5;5->6,generated,wide_fanout_deep,874b9f9067580ac3
"ASAP — turn on the feature flag for Finance and simultaneously rotate Frank's credentials, persist Grace's data to the database, quarantine ml-infer-05, and escalate Frank's case to the on-call — then log the whole prod-web-01 incident. Finally, drop all traffic from that address on auth-svc-04.",10002,"enable_feature_flag -> db_write, enable_feature_flag -> escalate_to_human, enable_feature_flag -> quarantine_system, enable_feature_flag -> reset_password, escalate_to_human -> log_audit_event, log_audit_event -> block_ip_address",enable_feature_flag;reset_password;db_write;quarantine_system;escalate_to_human;log_audit_event;block_ip_address,0->1;0->2;0->3;0->4;4->5;5->6,generated,wide_fanout_deep,874b9f9067580ac3
"Per Diana's request, activate the feature flag on cdn-edge-06 while also nuke Alice's old login and issue a fresh one, update Frank's record in the DB, isolate payment-api-03, and wake up the on-call about prod-web-01 — then log the whole prod-web-01 incident. End with drop all traffic from that address on auth-svc-04.",10002,"enable_feature_flag -> db_write, enable_feature_flag -> escalate_to_human, enable_feature_flag -> quarantine_system, enable_feature_flag -> reset_password, escalate_to_human -> log_audit_event, log_audit_event -> block_ip_address",enable_feature_flag;reset_password;db_write;quarantine_system;escalate_to_human;log_audit_event;block_ip_address,0->1;0->2;0->3;0->4;4->5;5->6,generated,wide_fanout_deep,874b9f9067580ac3
