condition,tool,precision,recall,f1,support
Standard,db_read,0.6101694915254238,0.5373134328358209,0.5714285714285714,67
Standard,db_write,0.5052631578947369,0.7164179104477612,0.5925925925925926,67
Standard,reset_password,0.9436619718309859,1.0,0.9710144927536232,67
Standard,create_ticket,0.4117647058823529,0.6268656716417911,0.4970414201183432,67
Standard,send_notification,0.47368421052631576,0.26865671641791045,0.34285714285714286,67
Standard,quarantine_system,0.06666666666666667,0.04477611940298507,0.05357142857142857,67
Standard,scan_malware,0.5925925925925926,0.7164179104477612,0.6486486486486487,67
Standard,generate_report,0.48936170212765956,0.34328358208955223,0.40350877192982454,67
Standard,process_refund,0.0,0.0,0.0,67
Standard,update_subscription,0.67,1.0,0.8023952095808383,67
Standard,provision_vm,0.175,0.208955223880597,0.19047619047619047,67
Standard,restart_service,0.8615384615384616,0.835820895522388,0.8484848484848485,67
Standard,check_status,0.84375,0.40298507462686567,0.5454545454545454,67
Standard,escalate_to_human,0.4076923076923077,0.7910447761194029,0.5380710659898477,67
Standard,log_audit_event,0.5818181818181818,0.47761194029850745,0.5245901639344263,67
