source_row_id,original_query,transformed_query,label,generation_type,lexical_cues_removed,paraphrase_family,confusable_with
0,Just accept the notification about cdn-edge-06. Nothing else needed.,Just accept the notification about cdn-edge-06. Nothing else needed.,acknowledge_alert,paraphrase_original,,0,
0,Just accept the notification about cdn-edge-06. Nothing else needed.,Is it possible to just accept the notification about cdn-edge-06. nothing else needed?,acknowledge_alert,paraphrase_variant,,0,
0,Just accept the notification about cdn-edge-06. Nothing else needed.,Need you to just accept the notification about cdn-edge-06. nothing else needed.,acknowledge_alert,paraphrase_variant,,0,
0,Just accept the notification about cdn-edge-06. Nothing else needed.,I'd appreciate it if you could just accept the notification about cdn-edge-06. nothing else needed.,acknowledge_alert,paraphrase_variant,,0,
0,Just accept the notification about cdn-edge-06. Nothing else needed.,What we need is for just accept the notification about cdn-edge-06. nothing else needed.,acknowledge_alert,paraphrase_variant,,0,
2,Quick task: accept the notification about prod-web-01.,Quick task: accept the notification about prod-web-01.,acknowledge_alert,paraphrase_original,,2,
2,Quick task: accept the notification about prod-web-01.,It would help if quick task: accept the notification about prod-web-01.,acknowledge_alert,paraphrase_variant,,2,
2,Quick task: accept the notification about prod-web-01.,We request that you quick task: accept the notification about prod-web-01.,acknowledge_alert,paraphrase_variant,,2,
2,Quick task: accept the notification about prod-web-01.,Gonna need you to quick task: accept the notification about prod-web-01.,acknowledge_alert,paraphrase_variant,,2,
2,Quick task: accept the notification about prod-web-01.,Would anyone be able to quick task: accept the notification about prod-web-01?,acknowledge_alert,paraphrase_variant,,2,
3,Simple request — confirm we're aware of the cdn-edge-06 incident and we're good.,Simple request — confirm we're aware of the cdn-edge-06 incident and we're good.,acknowledge_alert,paraphrase_original,,3,
3,Simple request — confirm we're aware of the cdn-edge-06 incident and we're good.,Quick one -- simple request — confirm we're aware of the cdn-edge-06 incident and we're good.,acknowledge_alert,paraphrase_variant,,3,
3,Simple request — confirm we're aware of the cdn-edge-06 incident and we're good.,simple request — confirm we're aware of the cdn-edge-06 incident and we're good -- that's what needs to happen.,acknowledge_alert,paraphrase_variant,,3,
3,Simple request — confirm we're aware of the cdn-edge-06 incident and we're good.,Could someone simple request — confirm we're aware of the cdn-edge-06 incident and we're good?,acknowledge_alert,paraphrase_variant,,3,
3,Simple request — confirm we're aware of the cdn-edge-06 incident and we're good.,Would you mind simple request — confirm we're aware of the cdn-edge-06 incident and we're good.,acknowledge_alert,paraphrase_variant,,3,
4,Simple request — accept the notification about payment-api-03 and we're good.,Simple request — accept the notification about payment-api-03 and we're good.,acknowledge_alert,paraphrase_original,,4,
