tier,split_file,dag_id,opener_id,skeleton,query
15,train,10000,9,"Do me a favor and write the new data for {order} back and read {user}'s profile from the database, then converge and cycle {server}. Last step: shoot {user} an email.","Do me a favor and write the new data for #60122 back and read Omar's profile from the database, then converge and cycle batch-worker-10. Last step: shoot Nadia an email."
15,train,10000,24,"As discussed with {user}, update {user}'s record in the DB and pull {user}'s data. When all of that's complete, give {server} a kick. Lastly, fire off a notification to {user}.","As discussed with Leo, update Eve's record in the DB and pull Eve's data. When all of that's complete, give staging-db-02 a kick. Lastly, fire off a notification to Maya."
15,train,10000,42,"Straightforward one: commit {user}'s update to the database and fetch {order}'s info, merge everything and give {server} a kick. To close this out, fire off a notification to {user}. Let me know when it's done.","Straightforward one: commit Irene's update to the database and fetch #42017's info, merge everything and give ml-infer-05 a kick. To close this out, fire off a notification to Frank. Let me know when it's done."
15,train,10000,23,"Sometime today, please commit {user}'s update to the database and read {user}'s profile from the database. After everything upstream completes, give {server} a kick, and lastly blast an alert to {dept}. This is blocking {dept}.","Sometime today, please commit Alice's update to the database and read James' profile from the database. After everything upstream completes, give payment-api-03 a kick, and lastly blast an alert to Engineering. This is blocking Product."
15,train,10000,22,"Heads-up, we need to write the new data for {order} back and look up the records for {order}. When every branch is finished, give {server} a kick. Lastly, shoot {user} an email. {user} is waiting on this.","Heads-up, we need to write the new data for #71003 back and look up the records for #20891. When every branch is finished, give queue-rabbit-08 a kick. Lastly, shoot Priya an email. Karen is waiting on this."
15,train,10000,30,"This came in from {dept}: save the changes for {user} to the DB and check the DB for {user}. After those finish, restart the service on {server}. Last of all, send a heads-up to {dept}. Let me know when it's done.","This came in from Product: save the changes for Maya to the DB and check the DB for Bob. After those finish, restart the service on prod-web-01. Last of all, send a heads-up to Operations. Let me know when it's done."
15,train,10000,31,"Logging this as {ticket} — save the changes for {user} to the DB and fetch {order}'s info. Once both are done, give {server} a kick. The last thing is to shoot {user} an email.","Logging this as INC-1198 — save the changes for Alice to the DB and fetch #60122's info. Once both are done, give queue-rabbit-08 a kick. The last thing is to shoot Hector an email."
15,train,10000,30,"This came in from {dept}: save the changes for {user} to the DB and check the DB for {user}. Consolidating all of that, reboot {server}. Last step: fire off a notification to {user}. This one's time-sensitive.","This came in from Legal: save the changes for Leo to the DB and check the DB for Alice. Consolidating all of that, reboot auth-svc-04. Last step: fire off a notification to Irene. This one's time-sensitive."
15,train,10002,36,"Please action {ticket}: record the event in {dept}'s log. Following that, push the refund through for {order} and in the same breath persist {user}'s data to the database and switch {user} to the new plan. This is blocking {dept}.","Please action INC-5560: record the event in Support's log. Following that, push the refund through for #60122 and in the same breath persist Eve's data to the database and switch Priya to the new plan. This is blocking Operations."
15,train,10002,16,"For the {dept} team, create an audit trail for {order}. That done, credit {user}'s account, and while you're at it, save the changes for {user} to the DB and switch {user} to the new plan. Ping me if anything looks off.","For the Marketing team, create an audit trail for #60122. That done, credit Omar's account, and while you're at it, save the changes for Charlie to the DB and switch Diana to the new plan. Ping me if anything looks off."
15,train,10002,36,"Please action {ticket}: drop an audit entry for {server}. As soon as that clears, refund {user} — in parallel, write the new data for {order} back and modify {user}'s subscription.","Please action INC-3305: drop an audit entry for staging-db-02. As soon as that clears, refund Leo — in parallel, write the new data for #33061 back and modify Bob's subscription."
15,train,10002,32,Kicking this off: make a compliance log about {user} — then give {user} their money back and in the same pass save the changes for {user} to the DB and downgrade {user}'s account.,Kicking this off: make a compliance log about Quinn — then give Irene their money back and in the same pass save the changes for Nadia to the DB and downgrade James' account.
15,train,10002,5,"The {dept} team needs us to log {user}'s action for compliance. Right after, reverse the charge on {order} and together with that push the changes for {user} to the DB and modify {user}'s subscription.","The Product team needs us to log Priya's action for compliance. Right after, reverse the charge on #22874 and together with that push the changes for Omar to the DB and modify Omar's subscription."
15,train,10002,30,"This came in from {dept}: log {user}'s action for compliance. Right after, push the refund through for {order} plus, at once, store the {dept} config in the database and modify {user}'s subscription. Appreciate it.","This came in from Support: log Nadia's action for compliance. Right after, push the refund through for #31450 plus, at once, store the Engineering config in the database and modify Frank's subscription. Appreciate it."
15,train,10002,20,"Need a hand: create an audit trail for {order}, after which please credit {user}'s account and also save the changes for {user} to the DB and change {user}'s plan. Let me know when it's done.","Need a hand: create an audit trail for #60122, after which please credit Irene's account and also save the changes for Bob to the DB and change Diana's plan. Let me know when it's done."
15,train,10002,41,"Need this handled: create an audit trail for {order}, after which please give {user} their money back and in the same breath store the {dept} config in the database and adjust the billing tier for {user}. This one's time-sensitive.","Need this handled: create an audit trail for #82456, after which please give Frank their money back and in the same breath store the Support config in the database and adjust the billing tier for Eve. This one's time-sensitive."
15,train,10003,1,"I need you to query the database about {order} and persist {user}'s data to the database and alongside that record the event in {dept}'s log and create a support case for {dept}. With both results in hand, bounce {server}. Appreciate it.","I need you to query the database about #10234 and persist Eve's data to the database and alongside that record the event in Marketing's log and create a support case for Operations. With both results in hand, bounce payment-api-03. Appreciate it."
15,train,10003,0,"Hey, can you check the DB for {user} and store the {dept} config in the database and in the same pass log the whole {server} incident and create a support case for {dept}. When every branch is finished, restart the main process on {server}.","Hey, can you check the DB for Alice and store the Marketing config in the database and in the same pass log the whole redis-cache-07 incident and create a support case for HR. When every branch is finished, restart the main process on payment-api-03."
