tool_name,category,tier,index_15,index_30,index_45
read_user_profile,DATA_RETRIEVAL,1,0,0,0
read_database_record,DATA_RETRIEVAL,1,1,1,1
read_access_logs,DATA_RETRIEVAL,1,2,2,2
check_service_status,DATA_RETRIEVAL,1,3,3,3
read_subscription_status,DATA_RETRIEVAL,1,4,4,4
scan_system_for_malware,DATA_RETRIEVAL,1,5,5,5
edit_username,STATE_MODIFICATION,1,6,6,6
write_database_record,STATE_MODIFICATION,1,7,7,7
reset_user_password,STATE_MODIFICATION,1,8,8,8
update_subscription_plan,STATE_MODIFICATION,1,9,9,9
restart_service,STATE_MODIFICATION,1,10,10,10
create_support_ticket,STATE_MODIFICATION,1,11,11,11
dispatch_message_to_usergroup,ORCHESTRATION,1,12,12,12
escalate_case_to_human,ORCHESTRATION,1,13,13,13
route_task_by_condition,ORCHESTRATION,1,14,14,14
read_invoice,DATA_RETRIEVAL,2,,15,15
read_ticket_status,DATA_RETRIEVAL,2,,16,16
read_vm_status,DATA_RETRIEVAL,2,,17,17
read_security_policy,DATA_RETRIEVAL,2,,18,18
read_group_members,DATA_RETRIEVAL,2,,19,19
read_audit_events,DATA_RETRIEVAL,2,,20,20
issue_refund,STATE_MODIFICATION,2,,21,21
provision_virtual_machine,STATE_MODIFICATION,2,,22,22
quarantine_system,STATE_MODIFICATION,2,,23,23
update_security_policy,STATE_MODIFICATION,2,,24,24
add_user_to_group,STATE_MODIFICATION,2,,25,25
append_audit_event,STATE_MODIFICATION,2,,26,26
fanout_tasks_to_workers,ORCHESTRATION,2,,27,27
merge_parallel_results,ORCHESTRATION,2,,28,28
retry_failed_task,ORCHESTRATION,2,,29,29
read_payment_status,DATA_RETRIEVAL,3,,,30
read_deployment_status,DATA_RETRIEVAL,3,,,31
read_backup_status,DATA_RETRIEVAL,3,,,32
read_api_key_status,DATA_RETRIEVAL,3,,,33
read_incident_timeline,DATA_RETRIEVAL,3,,,34
read_usage_report,DATA_RETRIEVAL,3,,,35
cancel_payment,STATE_MODIFICATION,3,,,36
deploy_application,STATE_MODIFICATION,3,,,37
create_backup,STATE_MODIFICATION,3,,,38
rotate_api_key,STATE_MODIFICATION,3,,,39
resolve_incident,STATE_MODIFICATION,3,,,40
update_usage_quota,STATE_MODIFICATION,3,,,41
schedule_dependent_tasks,ORCHESTRATION,3,,,42
wait_for_parallel_tasks,ORCHESTRATION,3,,,43
dispatch_approval_workflow,ORCHESTRATION,3,,,44
