query,gt_tool,rank_of_one_node,top1_is_one_node,top1_dag_text,top1_cosine,gt_cosine
I'd like a pulse on payment-api-03.,check_status,6,True,restart_service,0.5696303248405457,0.45416176319122314
I'd like a pulse on staging-db-02.,check_status,3,True,restart_service,0.5460352301597595,0.48822906613349915
We haven't heard from cdn-edge-06 in a while.,check_status,3,True,rollback_deployment,0.4482916593551636,0.4188593327999115
I'd like a pulse on prod-web-01.,check_status,4,True,restart_service,0.5576128959655762,0.4641638398170471
I'd like a pulse on auth-svc-04.,check_status,4,True,restart_service,0.5494816899299622,0.4539092481136322
We need visibility into cdn-edge-06's condition.,check_status,2,True,quarantine_system,0.5231344103813171,0.5201371908187866
Is everything okay with payment-api-03?,check_status,3,True,invalidate_cache,0.5091009140014648,0.5037248730659485
I'd like a pulse on cdn-edge-06.,check_status,10,True,restart_service,0.5438882112503052,0.38906553387641907
I'd like a pulse on ml-infer-05.,check_status,7,True,restart_service,0.5175463557243347,0.4624329209327698
Make sure this doesn't slip through the cracks.,create_ticket,8,True,db_read,0.525890052318573,0.41102439165115356
We should have a reference number for Charlie's issue.,create_ticket,2,True,db_read,0.5291218757629395,0.5286762118339539
This needs to be logged for follow-up.,create_ticket,7,True,log_audit_event,0.6418008208274841,0.40430182218551636
We should have a reference number for Alice's issue.,create_ticket,2,True,db_read,0.539438784122467,0.5318493247032166
This should be documented somewhere official.,create_ticket,4,True,generate_report,0.5795573592185974,0.4576513171195984
Someone should formalize this complaint from Bob.,create_ticket,4,True,send_notification,0.5874791145324707,0.49811527132987976
Someone should formalize this complaint from Eve.,create_ticket,4,True,send_notification,0.5736293792724609,0.4981866180896759
We should have a reference number for Diana's issue.,create_ticket,2,True,db_read,0.5833662748336792,0.5554094910621643
Eve reported something that needs tracking.,create_ticket,2,True,generate_report,0.5987683534622192,0.5398986339569092
Someone should formalize this complaint from Frank.,create_ticket,3,True,send_notification,0.5381977558135986,0.524086594581604
Charlie reported something that needs tracking.,create_ticket,3,True,generate_report,0.5827794671058655,0.5508965253829956
Someone should formalize this complaint from Alice.,create_ticket,4,True,send_notification,0.5610913634300232,0.5101995468139648
Alice reported something that needs tracking.,create_ticket,2,True,generate_report,0.5816390514373779,0.5660070180892944
Someone should formalize this complaint from Grace.,create_ticket,3,True,send_notification,0.5483583807945251,0.5035795569419861
Someone should formalize this complaint from Diana.,create_ticket,2,True,send_notification,0.5650632381439209,0.5234919786453247
Someone should formalize this complaint from Charlie.,create_ticket,4,True,send_notification,0.5645366907119751,0.5013834238052368
We should have a reference number for Grace's issue.,create_ticket,2,True,db_read,0.5354222059249878,0.512201726436615
Can we get a formal record of Grace's problem?,create_ticket,2,False,log_audit_event -> escalate_to_human,0.3910423219203949,0.38993021845817566
Grace reported something that needs tracking.,create_ticket,3,True,generate_report,0.560409665107727,0.5464058518409729
Eve reported something that needs tracking.,create_ticket,2,True,generate_report,0.5987683534622192,0.5398986339569092
Frank reported something that needs tracking.,create_ticket,2,True,generate_report,0.5855838060379028,0.5501291751861572
We should have a reference number for Bob's issue.,create_ticket,3,True,db_read,0.5378761291503906,0.5190106630325317
This needs to be logged for follow-up.,create_ticket,7,True,log_audit_event,0.6418008208274841,0.40430182218551636
Bob reported something that needs tracking.,create_ticket,2,True,generate_report,0.5989287495613098,0.5484737753868103
We should have a reference number for Eve's issue.,create_ticket,2,True,db_read,0.5418788194656372,0.5267781019210815
Diana reported something that needs tracking.,create_ticket,3,True,db_read,0.5899940729141235,0.5657127499580383
This should be documented somewhere official.,create_ticket,4,True,generate_report,0.5795573592185974,0.4576513171195984
Make sure this doesn't slip through the cracks.,create_ticket,8,True,db_read,0.525890052318573,0.41102439165115356
We should have a reference number for Eve's issue.,create_ticket,2,True,db_read,0.5418788194656372,0.5267781019210815
We should have a reference number for Alice's issue.,create_ticket,2,True,db_read,0.539438784122467,0.5318493247032166
This needs to be logged for follow-up.,create_ticket,7,True,log_audit_event,0.6418008208274841,0.40430182218551636
Alice reported something that needs tracking.,create_ticket,2,True,generate_report,0.5816390514373779,0.5660070180892944
We should have a reference number for Eve's issue.,create_ticket,2,True,db_read,0.5418788194656372,0.5267781019210815
Alice reported something that needs tracking.,create_ticket,2,True,generate_report,0.5816390514373779,0.5660070180892944
This needs to be logged for follow-up.,create_ticket,7,True,log_audit_event,0.6418008208274841,0.40430182218551636
Someone should formalize this complaint from Diana.,create_ticket,2,True,send_notification,0.5650632381439209,0.5234919786453247
This is beyond what automation can handle.,escalate_to_human,3,True,send_notification,0.5348305106163025,0.4509928822517395
We need someone with judgment on this.,escalate_to_human,6,True,process_refund,0.5014985203742981,0.39214107394218445
Can we get a senior person to look at Grace's case?,escalate_to_human,3,True,db_read,0.4674930274486542,0.4150100648403168
Can we get a senior person to look at Eve's case?,escalate_to_human,3,True,db_read,0.4819382429122925,0.43759623169898987
Can we get a senior person to look at Bob's case?,escalate_to_human,3,True,db_read,0.48855310678482056,0.39104944467544556
Can we get a senior person to look at Charlie's case?,escalate_to_human,3,True,db_read,0.4788004755973816,0.3814944624900818
The automated response isn't going to cut it for Frank.,escalate_to_human,4,True,db_read,0.5675665736198425,0.4614986181259155
The automated response isn't going to cut it for Alice.,escalate_to_human,4,True,db_read,0.5574876666069031,0.47945207357406616
The automated response isn't going to cut it for Diana.,escalate_to_human,4,True,db_read,0.5811558961868286,0.48031339049339294
Can we get a senior person to look at Frank's case?,escalate_to_human,3,True,db_read,0.4516046345233917,0.3880033493041992
The automated response isn't going to cut it for Bob.,escalate_to_human,4,True,db_read,0.5783284902572632,0.47112080454826355
The automated response isn't going to cut it for Charlie.,escalate_to_human,4,True,db_read,0.5638564229011536,0.4572499394416809
The automated response isn't going to cut it for Grace.,escalate_to_human,4,True,db_read,0.5697180032730103,0.47227832674980164
Can we get a senior person to look at Alice's case?,escalate_to_human,3,True,db_read,0.45950987935066223,0.3964914381504059
The automated response isn't going to cut it for Eve.,escalate_to_human,5,True,db_read,0.5452742576599121,0.4547436237335205
Can we get a senior person to look at Diana's case?,escalate_to_human,3,True,db_read,0.5156919360160828,0.38797450065612793
The automated response isn't going to cut it for Frank.,escalate_to_human,4,True,db_read,0.5675665736198425,0.4614986181259155
Can we get a senior person to look at Alice's case?,escalate_to_human,3,True,db_read,0.45950987935066223,0.3964914381504059
The automated response isn't going to cut it for Frank.,escalate_to_human,4,True,db_read,0.5675665736198425,0.4614986181259155
Can we get a senior person to look at Eve's case?,escalate_to_human,3,True,db_read,0.4819382429122925,0.43759623169898987
Can we get a senior person to look at Grace's case?,escalate_to_human,3,True,db_read,0.4674930274486542,0.4150100648403168
We need someone with judgment on this.,escalate_to_human,6,True,process_refund,0.5014985203742981,0.39214107394218445
We owe Finance a write-up.,generate_report,5,True,process_refund,0.5814565420150757,0.4039711356163025
Management is asking for numbers.,generate_report,6,True,scale_service,0.49762433767318726,0.4379247725009918
Stakeholders want to see the data in a digestible format.,generate_report,3,True,db_read,0.5118843913078308,0.43133655190467834
We owe HR a write-up.,generate_report,10,True,process_refund,0.5439713597297668,0.3827126920223236
We owe Marketing a write-up.,generate_report,4,True,send_notification,0.5454440712928772,0.4468621611595154
We owe Legal a write-up.,generate_report,9,True,process_refund,0.5379272699356079,0.37683501839637756
Management is asking for numbers.,generate_report,6,True,scale_service,0.49762433767318726,0.4379247725009918
Management is asking for numbers.,generate_report,6,True,scale_service,0.49762433767318726,0.4379247725009918
Management is asking for numbers.,generate_report,6,True,scale_service,0.49762433767318726,0.4379247725009918
Management is asking for numbers.,generate_report,6,True,scale_service,0.49762433767318726,0.4379247725009918
Management is asking for numbers.,generate_report,6,True,scale_service,0.49762433767318726,0.4379247725009918
Management is asking for numbers.,generate_report,6,True,scale_service,0.49762433767318726,0.4379247725009918
Management is asking for numbers.,generate_report,6,True,scale_service,0.49762433767318726,0.4379247725009918
Management is asking for numbers.,generate_report,6,True,scale_service,0.49762433767318726,0.4379247725009918
Stakeholders want to see the data in a digestible format.,generate_report,3,True,db_read,0.5118842720985413,0.4313366413116455
Management is asking for numbers.,generate_report,6,True,scale_service,0.49762436747550964,0.43792465329170227
We owe Legal a write-up.,generate_report,9,True,process_refund,0.5379270911216736,0.3768351376056671
We owe Finance a write-up.,generate_report,5,True,process_refund,0.5814566612243652,0.4039711654186249
Stakeholders want to see the data in a digestible format.,generate_report,3,True,db_read,0.5118842720985413,0.4313366413116455
This action needs to be documented for regulators.,log_audit_event,2,True,generate_report,0.5874203443527222,0.5361942648887634
This needs to be in the official record.,log_audit_event,7,True,db_read,0.5579217076301575,0.4377336800098419
We need proof that this action took place.,log_audit_event,2,True,process_refund,0.5456706881523132,0.5336324572563171
We need a record of what just happened.,log_audit_event,2,True,db_read,0.5422545671463013,0.5191083550453186
The regulator will ask if we documented this.,log_audit_event,3,True,db_read,0.5462517738342285,0.5222243070602417
This should be traceable later if anyone asks.,log_audit_event,2,True,db_read,0.6211588382720947,0.5099627375602722
The regulator will ask if we documented this.,log_audit_event,3,True,db_read,0.5462517738342285,0.5222243070602417
This needs to be in the official record.,log_audit_event,7,True,db_read,0.5579217076301575,0.4377336800098419
This needs to be in the official record.,log_audit_event,7,True,db_read,0.5579217076301575,0.4377336800098419
This action needs to be documented for regulators.,log_audit_event,2,True,generate_report,0.5874203443527222,0.5361942648887634
We need proof that this action took place.,log_audit_event,2,True,process_refund,0.5456706881523132,0.5336324572563171
This action needs to be documented for regulators.,log_audit_event,2,True,generate_report,0.5874203443527222,0.5361942648887634
We need a record of what just happened.,log_audit_event,2,True,db_read,0.5422545671463013,0.5191083550453186
This needs to be in the official record.,log_audit_event,7,True,db_read,0.5579217076301575,0.4377336800098419
This should be traceable later if anyone asks.,log_audit_event,2,True,db_read,0.6211588382720947,0.5099627375602722
This should be traceable later if anyone asks.,log_audit_event,2,True,db_read,0.6211588382720947,0.5099627375602722
This action needs to be documented for regulators.,log_audit_event,2,True,generate_report,0.5874203443527222,0.5361942648887634
This action needs to be documented for regulators.,log_audit_event,2,True,generate_report,0.5874203443527222,0.5361942648887634
We need proof that this action took place.,log_audit_event,2,True,process_refund,0.5456706881523132,0.5336324572563171
We need proof that this action took place.,log_audit_event,2,True,process_refund,0.5456706881523132,0.5336324572563171
This action needs to be documented for regulators.,log_audit_event,2,True,generate_report,0.5874203443527222,0.5361942648887634
We need a record of what just happened.,log_audit_event,2,True,db_read,0.5422545671463013,0.5191083550453186
This action needs to be documented for regulators.,log_audit_event,2,True,generate_report,0.5874203443527222,0.5361942648887634
This action needs to be documented for regulators.,log_audit_event,2,True,generate_report,0.5874203443527222,0.5361942648887634
This needs to be in the official record.,log_audit_event,7,True,db_read,0.5579217076301575,0.4377336800098419
This action needs to be documented for regulators.,log_audit_event,2,True,generate_report,0.5874203443527222,0.5361942648887634
We need a record of what just happened.,log_audit_event,2,True,db_read,0.5422545671463013,0.5191083550453186
The regulator will ask if we documented this.,log_audit_event,3,True,db_read,0.5462517738342285,0.5222243070602417
The regulator will ask if we documented this.,log_audit_event,3,True,db_read,0.5462517738342285,0.5222243070602417
This needs to be in the official record.,log_audit_event,7,True,db_read,0.5579217076301575,0.4377336800098419
The regulator will ask if we documented this.,log_audit_event,3,True,db_read,0.5462517738342285,0.5222243070602417
We need proof that this action took place.,log_audit_event,2,True,process_refund,0.545670747756958,0.5336325764656067
The regulator will ask if we documented this.,log_audit_event,3,True,db_read,0.5462518334388733,0.5222242474555969
We need proof that this action took place.,log_audit_event,2,True,process_refund,0.545670747756958,0.5336325764656067
The regulator will ask if we documented this.,log_audit_event,3,True,db_read,0.5462518334388733,0.5222242474555969
We need proof that this action took place.,log_audit_event,2,True,process_refund,0.545670747756958,0.5336325764656067
This should be traceable later if anyone asks.,log_audit_event,2,True,db_read,0.62115877866745,0.5099629163742065
This action needs to be documented for regulators.,log_audit_event,2,True,generate_report,0.5874203443527222,0.5361942052841187
The regulator will ask if we documented this.,log_audit_event,3,True,db_read,0.5462518334388733,0.5222242474555969
There was a billing mistake with #20891.,process_refund,2,True,update_subscription,0.5421050786972046,0.5143592953681946
There was a billing mistake with #53698.,process_refund,2,True,update_subscription,0.5624237060546875,0.5049520134925842
Grace says they didn't authorize this charge.,process_refund,2,True,approve_access,0.5563142895698547,0.5388974547386169
Charlie says they didn't authorize this charge.,process_refund,2,True,approve_access,0.5480422973632812,0.5373232960700989
There was a billing mistake with #10234.,process_refund,2,True,update_subscription,0.5353875756263733,0.5268039703369141
There was a billing mistake with #42017.,process_refund,2,True,update_subscription,0.548153281211853,0.5041898488998413
