condition,row_index,query,ground_truth_raw,ground_truth_tool,predicted_tool,correct,rank,top1_cosine,ground_truth_cosine,top5_tools,top5_cosines,source_row_id,generation_type,confusable_with
Paraphrase,0,bring up Bob's account information.,query_database,db_read,update_subscription,False,4,0.2989724576473236,0.24512214958667755,update_subscription;send_notification;quarantine_system;db_read;provision_vm,0.29897246;0.25625557;0.25523090;0.24512215;0.23724450,6,paraphrase_original,
Paraphrase,1,"Yo, bring up bob's account information.",query_database,db_read,update_subscription,False,7,0.31579768657684326,0.26332560181617737,update_subscription;scan_malware;quarantine_system;send_notification;reset_password,0.31579769;0.29687983;0.29223001;0.28767478;0.27342960,6,paraphrase_variant,
Paraphrase,2,We request that you bring up bob's account information.,query_database,db_read,send_notification,False,6,0.3581574857234955,0.31278592348098755,send_notification;quarantine_system;update_subscription;generate_report;provision_vm,0.35815749;0.35370636;0.35314810;0.31763405;0.31341648,6,paraphrase_variant,
Paraphrase,3,Is it possible to bring up bob's account information?,query_database,db_read,update_subscription,False,2,0.35438740253448486,0.32137349247932434,update_subscription;db_read;scan_malware;send_notification;quarantine_system,0.35438740;0.32137349;0.31834224;0.31066173;0.30049905,6,paraphrase_variant,
Paraphrase,4,bring up bob's account information -- that's what needs to happen.,query_database,db_read,quarantine_system,False,9,0.34326574206352234,0.2513323426246643,quarantine_system;send_notification;update_subscription;escalate_to_human;provision_vm,0.34326574;0.33536744;0.32142475;0.31633970;0.30819067,6,paraphrase_variant,
Paraphrase,5,Please check the database entry for Eve.,query_database,db_read,db_write,False,2,0.4850689768791199,0.47755342721939087,db_write;db_read;generate_report;send_notification;log_audit_event,0.48506898;0.47755343;0.31209040;0.28900275;0.28486395,11,paraphrase_original,
Paraphrase,6,Is it possible to check the database entry for eve?,query_database,db_read,db_read,True,1,0.41155534982681274,0.41155534982681274,db_read;db_write;scan_malware;log_audit_event;check_status,0.41155535;0.35147327;0.21605827;0.21279463;0.20957366,11,paraphrase_variant,
Paraphrase,7,What we need is for check the database entry for eve.,query_database,db_read,db_read,True,1,0.46345895528793335,0.46345895528793335,db_read;db_write;check_status;generate_report;log_audit_event,0.46345896;0.43224701;0.26225370;0.25230387;0.23778334,11,paraphrase_variant,
Paraphrase,8,Quick one -- check the database entry for eve.,query_database,db_read,db_write,False,2,0.4697069227695465,0.45847731828689575,db_write;db_read;generate_report;send_notification;quarantine_system,0.46970692;0.45847732;0.31768709;0.28384873;0.27679747,11,paraphrase_variant,
Paraphrase,9,Would you mind check the database entry for eve.,query_database,db_read,db_write,False,2,0.5020052194595337,0.49769026041030884,db_write;db_read;generate_report;log_audit_event;scan_malware,0.50200522;0.49769026;0.34884083;0.32408649;0.32017615,11,paraphrase_variant,
