query,ground_truth,domain_note
Just ping cdn-edge-06 for a health check. Nothing else needed.,check_status,
Simple request — assess prod-web-01's status and we're good.,check_status,
Quick task: ping prod-web-01 for a health check.,check_status,
Simple request — assess cdn-edge-06's status and we're good.,check_status,
Simple request — ping payment-api-03 for a health check and we're good.,check_status,
Simple request — verify staging-db-02's health and we're good.,check_status,
"When you get a chance, assess staging-db-02's status.",check_status,
Quick task: diagnose staging-db-02.,check_status,
Just ping cdn-edge-06 for a health check. Nothing else needed.,check_status,
Quick task: diagnose prod-web-01.,check_status,
Simple request — check if cdn-edge-06 is up and we're good.,check_status,
Simple request — ping cdn-edge-06 for a health check and we're good.,check_status,
Quick task: check if ml-infer-05 is up.,check_status,
Quick task: verify prod-web-01's health.,check_status,
Urgent: see what's going on with ml-infer-05.,check_status,
Simple request — check if auth-svc-04 is up and we're good.,check_status,
Simple request — check if prod-web-01 is up and we're good.,check_status,
All I need is for someone to check if prod-web-01 is up.,check_status,
Simple request — check if prod-web-01 is up and we're good.,check_status,
Quick task: diagnose staging-db-02.,check_status,
The HR team needs us to see what's going on with staging-db-02.,check_status,
Quick task: see what's going on with ml-infer-05.,check_status,
Quick task: assess prod-web-01's status.,check_status,
Just diagnose ml-infer-05. Nothing else needed.,check_status,
Quick task: check if staging-db-02 is up.,check_status,
Just diagnose cdn-edge-06. Nothing else needed.,check_status,
All I need is for someone to ping cdn-edge-06 for a health check.,check_status,
All I need is for someone to diagnose cdn-edge-06.,check_status,
Please ping ml-infer-05 for a health check.,check_status,
ASAP — ping auth-svc-04 for a health check.,check_status,
"Hey, can you check if staging-db-02 is up.",check_status,
Simple request — diagnose auth-svc-04 and we're good.,check_status,
Simple request — see what's going on with ml-infer-05 and we're good.,check_status,
Simple request — verify payment-api-03's health and we're good.,check_status,
Please diagnose prod-web-01.,check_status,
Simple request — ping staging-db-02 for a health check and we're good.,check_status,
Just see what's going on with cdn-edge-06. Nothing else needed.,check_status,
"Hey, can you assess auth-svc-04's status.",check_status,
Quick task: check if payment-api-03 is up.,check_status,
Quick task: see what's going on with payment-api-03.,check_status,
All I need is for someone to assess staging-db-02's status.,check_status,
Just diagnose staging-db-02. Nothing else needed.,check_status,
Simple request — check if payment-api-03 is up and we're good.,check_status,
Quick task: verify prod-web-01's health.,check_status,
Quick task: see what's going on with prod-web-01.,check_status,
Just see what's going on with auth-svc-04. Nothing else needed.,check_status,
Just diagnose prod-web-01. Nothing else needed.,check_status,
Quick task: assess payment-api-03's status.,check_status,
We gotta ping payment-api-03 for a health check.,check_status,
All I need is for someone to see what's going on with ml-infer-05.,check_status,
"Hey, can you diagnose payment-api-03.",check_status,
