query_id,query,ground_truth,taxonomy_name,predicted_tool,selected_branch,correct,branch_correct,latency_s,prompt_tokens,completion_tokens,total_tokens,error
0,look up the record for #60122.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,8.299787999998443,386,22,408,
1,pull Alice's account details.,query_database,Semantic Taxonomy (Baseline),check_status,IT Support,False,False,1.9346497999995336,374,22,396,
2,retrieve information on Frank.,query_database,Semantic Taxonomy (Baseline),check_status,IT Support,False,False,1.9089723999986745,372,22,394,
3,check the database entry for Charlie.,query_database,Semantic Taxonomy (Baseline),check_status,IT Support,False,False,1.9527906000002986,376,22,398,
4,fetch the record linked to #20891.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,2.0486019999989367,386,24,410,
5,search for transaction #20891 in the database.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,2.032182799999646,388,24,412,
6,bring up Bob's account information.,query_database,Semantic Taxonomy (Baseline),check_status,IT Support,False,False,1.924162699997396,376,22,398,
7,search the database for Frank.,query_database,Semantic Taxonomy (Baseline),check_status,IT Support,False,False,1.9283661999979813,374,22,396,
8,Please look up the record for Alice.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,1.9993237999988196,384,24,408,
9,Please retrieve the entry for #60122.,query_database,Semantic Taxonomy (Baseline),check_status,IT Support,False,False,1.9513842000014847,380,22,402,
10,Please retrieve information on Frank.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,2.036486999999397,380,24,404,
11,Please check the database entry for Eve.,query_database,Semantic Taxonomy (Baseline),check_status,IT Support,False,False,1.9782981999996991,378,22,400,
12,Please fetch the record linked to #10234.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,1.9514090000011493,388,24,412,
13,Please search for transaction #53698 in the database.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,2.4606794999999693,390,24,414,
14,Please bring up Diana's account information.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,2.875815999999759,384,25,409,
15,Please search the database for Alice.,query_database,Semantic Taxonomy (Baseline),check_status,IT Support,False,False,2.801783800001431,376,22,398,
16,Can you look up the record for Alice?,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,2.9182921000010538,386,24,410,
17,Can you pull Bob's account details?,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,2.904850799999622,384,25,409,
18,Can you check the database for #53698?,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,2.7317787000010867,388,22,410,
19,Can you pull the details associated with #53698?,query_database,Semantic Taxonomy (Baseline),check_status,IT Support,False,False,2.7777807000002213,384,22,406,
