,db_read,db_write,reset_password,create_ticket,send_notification,quarantine_system,scan_malware,generate_report,process_refund,update_subscription,provision_vm,restart_service,check_status,escalate_to_human,log_audit_event
db_read,7,23,0,0,2,7,0,27,0,0,3,0,0,1,0
db_write,0,70,0,5,0,0,0,2,0,1,8,0,0,4,0
reset_password,0,0,84,0,0,0,0,0,0,0,0,0,0,1,0
create_ticket,0,6,0,91,2,0,0,2,0,0,0,0,0,9,0
send_notification,0,0,0,8,63,0,0,4,0,4,9,0,0,12,0
quarantine_system,0,20,0,6,8,0,0,13,0,0,28,0,0,0,0
scan_malware,0,6,0,0,14,8,34,5,0,0,0,1,0,7,0
generate_report,0,0,0,5,7,0,0,38,0,0,0,0,0,0,0
process_refund,0,0,0,18,1,0,0,5,16,0,20,0,0,25,0
update_subscription,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0
provision_vm,0,0,0,13,1,3,0,13,0,0,64,0,0,11,0
restart_service,0,0,0,0,12,0,0,0,0,0,9,54,0,0,0
check_status,0,5,2,0,43,6,0,53,0,0,0,0,5,0,1
escalate_to_human,0,0,0,9,1,0,0,0,0,0,3,0,0,67,0
log_audit_event,0,25,3,1,6,0,0,29,0,0,0,0,0,2,14
