,db_read,db_write,reset_password,create_ticket,send_notification,quarantine_system,scan_malware,generate_report,process_refund,update_subscription,provision_vm,restart_service,check_status,escalate_to_human,log_audit_event
db_read,4,6,6,6,14,6,0,9,1,1,8,0,0,6,0
db_write,1,7,2,3,1,0,0,12,2,3,22,0,0,14,0
reset_password,0,0,45,5,0,2,0,0,5,0,6,0,0,4,0
create_ticket,0,1,0,20,0,0,0,19,0,0,4,0,0,23,0
send_notification,0,0,1,3,16,2,0,4,1,3,4,0,0,32,1
quarantine_system,0,9,6,1,8,3,5,4,0,0,30,0,0,1,0
scan_malware,0,10,5,7,8,3,10,15,0,0,6,0,0,2,1
generate_report,0,0,0,12,20,0,0,29,0,0,1,0,0,5,0
process_refund,0,1,0,15,0,0,0,4,3,21,10,0,0,12,1
update_subscription,0,0,0,4,3,1,0,2,2,37,11,2,1,4,0
provision_vm,0,0,0,21,9,0,0,10,4,0,13,1,0,9,0
restart_service,0,10,4,9,7,0,0,13,13,0,6,5,0,0,0
check_status,0,10,6,5,19,1,0,24,0,0,2,0,0,0,0
escalate_to_human,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0
log_audit_event,0,4,0,0,0,0,0,57,0,0,0,0,0,6,0
