query_id,query,ground_truth,taxonomy_name,predicted_tool,selected_branch,correct,branch_correct,latency_s,prompt_tokens,completion_tokens,total_tokens,error
0,What's going on with prod-web-01?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,6.409428400002071,380,22,402,
1,Is staging-db-02 still working?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.0417508000027738,378,22,400,
2,We haven't heard from staging-db-02 in a while.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.032119600000442,386,22,408,
3,What's going on with cdn-edge-06?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.0418552000046475,382,22,404,
4,Can you confirm prod-web-01 is operational?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9955712999944808,382,22,404,
5,Give me a quick look at how auth-svc-04 is doing.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9858719000039855,392,22,414,
6,Is everything okay with prod-web-01?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.0487218999987817,380,22,402,
7,What's going on with staging-db-02?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.0208161000045948,380,22,402,
8,We haven't heard from ml-infer-05 in a while.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.04110049999872,388,22,410,
9,Give me a quick look at how prod-web-01 is doing.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.0334728000016185,390,22,412,
10,Can you confirm staging-db-02 is operational?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.0350697000030777,382,22,404,
11,Can you confirm auth-svc-04 is operational?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.031410700001288,384,22,406,
12,We haven't heard from auth-svc-04 in a while.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.910336599998118,388,22,410,
13,Give me a quick look at how payment-api-03 is doing.,check_status,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,False,False,2.047590100009984,396,24,420,
14,Is everything okay with staging-db-02?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9254591000062646,380,22,402,
15,Any idea what state payment-api-03 is in?,check_status,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,False,False,2.0086569000050076,390,24,414,
16,We haven't heard from payment-api-03 in a while.,check_status,Semantic Taxonomy (Baseline),send_notification,Billing & Data Management,False,False,1.992321499994432,392,22,414,
17,Any idea what state prod-web-01 is in?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9140890000053332,384,22,406,
18,I'd like a pulse on payment-api-03.,check_status,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,False,False,1.9650857999949949,388,22,410,
19,Is everything okay with cdn-edge-06?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.941457499997341,382,22,404,
20,We need visibility into ml-infer-05's condition.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9320145000019693,384,22,406,
21,What's going on with auth-svc-04?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.0396082000006572,382,22,404,
22,What's going on with ml-infer-05?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.951425899998867,382,22,404,
23,Is cdn-edge-06 still working?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9157532999961404,380,22,402,
24,Give me a quick look at how staging-db-02 is doing.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.93834909999714,390,22,412,
25,Is auth-svc-04 still working?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.944227599997248,380,22,402,
26,I'd like a pulse on staging-db-02.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9311310999983107,382,22,404,
27,We haven't heard from cdn-edge-06 in a while.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9498354999959702,388,22,410,
28,Can someone tell me if ml-infer-05 is alive?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9190459999954328,388,22,410,
29,We need visibility into auth-svc-04's condition.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9801799999986542,384,22,406,
30,I'd like a pulse on prod-web-01.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9387435999960871,382,22,404,
31,We haven't heard from prod-web-01 in a while.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9352603000006638,386,22,408,
32,I'd like a pulse on auth-svc-04.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9418833000017912,384,22,406,
33,Is prod-web-01 still working?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9900105000051553,378,22,400,
34,We need visibility into staging-db-02's condition.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9641241999925114,382,22,404,
35,Can you confirm ml-infer-05 is operational?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9834163999985321,384,22,406,
36,We need visibility into prod-web-01's condition.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9045641000047908,382,22,404,
37,Can someone tell me if cdn-edge-06 is alive?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9350225999951363,388,22,410,
38,Any idea what state ml-infer-05 is in?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9244149000078323,386,22,408,
39,Is ml-infer-05 still working?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9461925000068732,380,22,402,
40,Can you confirm payment-api-03 is operational?,check_status,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,False,False,1.9466872999983025,388,24,412,
41,Can someone tell me if auth-svc-04 is alive?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9398096000004443,388,22,410,
42,Is everything okay with ml-infer-05?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9192079999993439,382,22,404,
43,Can someone tell me if payment-api-03 is alive?,check_status,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,False,False,1.959906999996747,392,24,416,
44,Any idea what state staging-db-02 is in?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.0744276999976137,384,22,406,
45,Can you confirm cdn-edge-06 is operational?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9460917999967933,384,23,407,
