query,ground_truth,domain_note
Confirm that cdn-edge-06 is still responding for Marketing.,check_service_status,
Check whether prod-web-01 is healthy for HR.,check_service_status,
Confirm that prod-web-01 is still responding for Engineering.,check_service_status,
Confirm that ml-infer-05 is still responding for Legal.,check_service_status,
Give me the current status of prod-web-01 before Finance starts work.,check_service_status,
Give me the current status of staging-db-02 before Marketing starts work.,check_service_status,
Check whether payment-api-03 is healthy for Marketing.,check_service_status,
Give me the current status of cdn-edge-06 before Legal starts work.,check_service_status,
Check whether ml-infer-05 is healthy for Marketing.,check_service_status,
Give me the current status of cdn-edge-06 before Engineering starts work.,check_service_status,
Confirm that prod-web-01 is still responding for Finance.,check_service_status,
Give me the current status of cdn-edge-06 before Marketing starts work.,check_service_status,
Confirm that ml-infer-05 is still responding for Finance.,check_service_status,
Give me the current status of cdn-edge-06 before HR starts work.,check_service_status,
Confirm that staging-db-02 is still responding for Engineering.,check_service_status,
Give me the current status of staging-db-02 before HR starts work.,check_service_status,
Check whether auth-svc-04 is healthy for Legal.,check_service_status,
Give me the current status of auth-svc-04 before HR starts work.,check_service_status,
Give me the current status of ml-infer-05 before Legal starts work.,check_service_status,
Check whether staging-db-02 is healthy for Finance.,check_service_status,
Confirm that auth-svc-04 is still responding for HR.,check_service_status,
Give me the current status of payment-api-03 before Engineering starts work.,check_service_status,
Give me the current status of prod-web-01 before Marketing starts work.,check_service_status,
Check whether cdn-edge-06 is healthy for Marketing.,check_service_status,
Confirm that payment-api-03 is still responding for Finance.,check_service_status,
Confirm that payment-api-03 is still responding for Legal.,check_service_status,
Check whether staging-db-02 is healthy for Engineering.,check_service_status,
Confirm that cdn-edge-06 is still responding for Legal.,check_service_status,
Confirm that staging-db-02 is still responding for Legal.,check_service_status,
Check whether ml-infer-05 is healthy for Legal.,check_service_status,
Confirm that cdn-edge-06 is still responding for Finance.,check_service_status,
Give me the current status of payment-api-03 before Legal starts work.,check_service_status,
Give me the current status of staging-db-02 before Engineering starts work.,check_service_status,
Check whether staging-db-02 is healthy for HR.,check_service_status,
Check whether cdn-edge-06 is healthy for Engineering.,check_service_status,
Confirm that auth-svc-04 is still responding for Finance.,check_service_status,
Give me the current status of prod-web-01 before Legal starts work.,check_service_status,
Check whether payment-api-03 is healthy for Engineering.,check_service_status,
Check whether auth-svc-04 is healthy for Finance.,check_service_status,
Confirm that cdn-edge-06 is still responding for HR.,check_service_status,
Check whether staging-db-02 is healthy for Legal.,check_service_status,
Check whether auth-svc-04 is healthy for Marketing.,check_service_status,
Check whether prod-web-01 is healthy for Engineering.,check_service_status,
Confirm that auth-svc-04 is still responding for Engineering.,check_service_status,
Give me the current status of ml-infer-05 before HR starts work.,check_service_status,
Give me the current status of ml-infer-05 before Marketing starts work.,check_service_status,
Confirm that payment-api-03 is still responding for Engineering.,check_service_status,
Confirm that payment-api-03 is still responding for Marketing.,check_service_status,
Check whether staging-db-02 is healthy for Marketing.,check_service_status,
Check whether cdn-edge-06 is healthy for Finance.,check_service_status,
Check whether ml-infer-05 is healthy for HR.,check_service_status,
Give me the current status of payment-api-03 before Marketing starts work.,check_service_status,
Check whether auth-svc-04 is healthy for Engineering.,check_service_status,
Check whether prod-web-01 is healthy for Legal.,check_service_status,
Give me the current status of auth-svc-04 before Marketing starts work.,check_service_status,
Give me the current status of auth-svc-04 before Engineering starts work.,check_service_status,
Give me the current status of payment-api-03 before HR starts work.,check_service_status,
Confirm that auth-svc-04 is still responding for Legal.,check_service_status,
Confirm that ml-infer-05 is still responding for Marketing.,check_service_status,
Check whether auth-svc-04 is healthy for HR.,check_service_status,
Give me the current status of ml-infer-05 before Finance starts work.,check_service_status,
Give me the current status of auth-svc-04 before Legal starts work.,check_service_status,
Check whether payment-api-03 is healthy for HR.,check_service_status,
Confirm that staging-db-02 is still responding for Marketing.,check_service_status,
Give me the current status of ml-infer-05 before Engineering starts work.,check_service_status,
Check whether prod-web-01 is healthy for Marketing.,check_service_status,
Check whether ml-infer-05 is healthy for Finance.,check_service_status,
Provision a new workspace for Diana in HR.,provision_workspace,
Set up a workstation environment for Frank on the Finance team.,provision_workspace,
Create a fresh desktop setup so Frank can start with Finance.,provision_workspace,
Provision a new workspace for Eve in HR.,provision_workspace,
Set up a workstation environment for Frank on the HR team.,provision_workspace,
Provision a new workspace for Frank in HR.,provision_workspace,
Create a fresh desktop setup so Grace can start with HR.,provision_workspace,
Create a fresh desktop setup so Charlie can start with Marketing.,provision_workspace,
Set up a workstation environment for Grace on the Legal team.,provision_workspace,
Create a fresh desktop setup so Grace can start with Finance.,provision_workspace,
Provision a new workspace for Frank in Marketing.,provision_workspace,
Create a fresh desktop setup so Grace can start with Legal.,provision_workspace,
Set up a workstation environment for Charlie on the Marketing team.,provision_workspace,
Provision a new workspace for Grace in HR.,provision_workspace,
Set up a workstation environment for Alice on the Finance team.,provision_workspace,
Provision a new workspace for Charlie in Marketing.,provision_workspace,
Create a fresh desktop setup so Charlie can start with HR.,provision_workspace,
Provision a new workspace for Bob in Legal.,provision_workspace,
Provision a new workspace for Frank in Legal.,provision_workspace,
Provision a new workspace for Alice in Legal.,provision_workspace,
Set up a workstation environment for Frank on the Legal team.,provision_workspace,
Set up a workstation environment for Frank on the Marketing team.,provision_workspace,
Provision a new workspace for Alice in Marketing.,provision_workspace,
Create a fresh desktop setup so Eve can start with Finance.,provision_workspace,
Create a fresh desktop setup so Diana can start with HR.,provision_workspace,
Set up a workstation environment for Bob on the HR team.,provision_workspace,
Set up a workstation environment for Alice on the Marketing team.,provision_workspace,
Create a fresh desktop setup so Grace can start with Engineering.,provision_workspace,
Set up a workstation environment for Diana on the Marketing team.,provision_workspace,
Provision a new workspace for Charlie in Engineering.,provision_workspace,
Set up a workstation environment for Alice on the Engineering team.,provision_workspace,
Provision a new workspace for Grace in Engineering.,provision_workspace,
Provision a new workspace for Grace in Legal.,provision_workspace,
Set up a workstation environment for Grace on the Marketing team.,provision_workspace,
Create a fresh desktop setup so Alice can start with Engineering.,provision_workspace,
Create a fresh desktop setup so Bob can start with Engineering.,provision_workspace,
Provision a new workspace for Bob in Finance.,provision_workspace,
Set up a workstation environment for Diana on the Legal team.,provision_workspace,
Provision a new workspace for Bob in Marketing.,provision_workspace,
Create a fresh desktop setup so Eve can start with Engineering.,provision_workspace,
Provision a new workspace for Alice in HR.,provision_workspace,
Provision a new workspace for Diana in Legal.,provision_workspace,
Provision a new workspace for Eve in Legal.,provision_workspace,
Provision a new workspace for Charlie in Legal.,provision_workspace,
Create a fresh desktop setup so Diana can start with Legal.,provision_workspace,
Set up a workstation environment for Charlie on the Legal team.,provision_workspace,
Set up a workstation environment for Frank on the Engineering team.,provision_workspace,
Create a fresh desktop setup so Diana can start with Engineering.,provision_workspace,
Create a fresh desktop setup so Charlie can start with Legal.,provision_workspace,
Set up a workstation environment for Eve on the Finance team.,provision_workspace,
Create a fresh desktop setup so Frank can start with Marketing.,provision_workspace,
Set up a workstation environment for Grace on the Engineering team.,provision_workspace,
Set up a workstation environment for Eve on the Marketing team.,provision_workspace,
Create a fresh desktop setup so Diana can start with Finance.,provision_workspace,
