query_id,query,ground_truth,taxonomy_name,predicted_tool,selected_branch,correct,branch_correct,latency_s,prompt_tokens,completion_tokens,total_tokens,error
0,Query payment-api-03 to see if it's still alive.,check_status,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,False,False,5.366074899997329,491,252,743,
1,Look up how staging-db-02 is performing.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,13.131503399999929,480,147,627,
2,Scan payment-api-03 -- is it healthy?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,3.9972707999986596,480,141,621,
3,Look up how cdn-edge-06 is performing.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,5.298341199988499,482,131,613,
4,Query auth-svc-04 to see if it's still alive.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,5.29937290000089,486,139,625,
5,Look up how auth-svc-04 is performing.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,3.7886531999974977,482,149,631,
6,Look up how prod-web-01 is performing.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.4277074999990873,480,129,609,
7,Look up how payment-api-03 is performing.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,3.5809281000110786,480,164,644,
8,Look up how ml-infer-05 is performing.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,3.6074423999962164,482,141,623,
9,Scan auth-svc-04 -- is it healthy?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,3.0606370999885257,482,126,608,
10,Query prod-web-01 to see if it's still alive.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.780941899996833,484,228,712,
11,Scan staging-db-02 -- is it healthy?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,4.298531700012973,480,126,606,
12,Query staging-db-02 to see if it's still alive.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,3.4020444999914616,484,113,597,
13,Scan ml-infer-05 -- is it healthy?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,6.204080299983616,482,145,627,
14,Scan prod-web-01 -- is it healthy?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,3.247659600005136,480,130,610,
15,Query ml-infer-05 to see if it's still alive.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,5.612084900014452,486,134,620,
16,Scan cdn-edge-06 -- is it healthy?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,3.560271600013948,482,137,619,
17,Query cdn-edge-06 to see if it's still alive.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,4.99063830000523,486,234,720,
18,Scan payment-api-03 -- is it healthy?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,4.699584300004062,480,116,596,
