query,positive_dag_id,negative_dag_id,negative_type,neg_tools,neg_edges,neg_dag_text
Time to back out the deployment on auth-svc-04 and at the same time file an incident report about staging-db-02 and recover Finance's data from backup.,433,neg_0,swap_edges,rollback_deployment;create_ticket;restore_backup,0->2;2->1,"restore_backup -> create_ticket, rollback_deployment -> restore_backup"
Time to back out the deployment on auth-svc-04 and at the same time file an incident report about staging-db-02 and recover Finance's data from backup.,433,neg_1,swap_tools,db_write;create_ticket;update_subscription,0->1;0->2,"db_write -> create_ticket, db_write -> update_subscription"
Time to back out the deployment on auth-svc-04 and at the same time file an incident report about staging-db-02 and recover Finance's data from backup.,433,neg_2,remove_edge,rollback_deployment;create_ticket;restore_backup,0->2,rollback_deployment -> restore_backup
Time to back out the deployment on auth-svc-04 and at the same time file an incident report about staging-db-02 and recover Finance's data from backup.,433,neg_3,add_edge,rollback_deployment;create_ticket;restore_backup,0->1;0->2;2->1,"restore_backup -> create_ticket, rollback_deployment -> create_ticket, rollback_deployment -> restore_backup"
Time to back out the deployment on auth-svc-04 and at the same time file an incident report about staging-db-02 and recover Finance's data from backup.,433,neg_4,extra_node,rollback_deployment;create_ticket;restore_backup;deploy_container,0->1;0->2;3->0,"deploy_container -> rollback_deployment, rollback_deployment -> create_ticket, rollback_deployment -> restore_backup"
"Time to query the database about #60122. Once that's done, refund Grace. Last step: record the event in Marketing's log.",81,neg_5,swap_edges,db_read;process_refund;log_audit_event,1->2;0->2,"db_read -> log_audit_event, process_refund -> log_audit_event"
"Time to query the database about #60122. Once that's done, refund Grace. Last step: record the event in Marketing's log.",81,neg_6,swap_tools,reset_password;disable_feature_flag;deploy_container,0->1;1->2,"disable_feature_flag -> deploy_container, reset_password -> disable_feature_flag"
"Time to query the database about #60122. Once that's done, refund Grace. Last step: record the event in Marketing's log.",81,neg_7,remove_edge,db_read;process_refund;log_audit_event,1->2,process_refund -> log_audit_event
"Time to query the database about #60122. Once that's done, refund Grace. Last step: record the event in Marketing's log.",81,neg_8,add_edge,db_read;process_refund;log_audit_event,0->1;1->2;0->2,"db_read -> log_audit_event, db_read -> process_refund, process_refund -> log_audit_event"
"Time to query the database about #60122. Once that's done, refund Grace. Last step: record the event in Marketing's log.",81,neg_9,extra_node,db_read;process_refund;log_audit_event;schedule_maintenance,0->1;1->2;1->3,"db_read -> process_refund, process_refund -> log_audit_event, process_refund -> schedule_maintenance"
"Hey, can you dump the database on prod-web-01, followed by push the container image for HR.",185,neg_10,swap_tools,schedule_maintenance;generate_report,0->1,schedule_maintenance -> generate_report
"Hey, can you dump the database on prod-web-01, followed by push the container image for HR.",185,neg_11,extra_node,backup_database;deploy_container;approve_access,0->1;2->1,"approve_access -> deploy_container, backup_database -> deploy_container"
"Do me a favor and spin up a VM for HR. Once that's done, send a heads-up to Legal.",79,neg_12,swap_tools,archive_data;create_ticket,0->1,archive_data -> create_ticket
"Do me a favor and spin up a VM for HR. Once that's done, send a heads-up to Legal.",79,neg_13,extra_node,provision_vm;send_notification;update_subscription,0->1;2->1,"provision_vm -> send_notification, update_subscription -> send_notification"
"Quick one — investigate auth-svc-04 for infections. Next, pull staging-db-02 from production — in parallel, ping Grace about it and record the event in HR's log.",142,neg_14,swap_edges,scan_malware;quarantine_system;send_notification;log_audit_event,2->3;1->2;1->3,"quarantine_system -> log_audit_event, quarantine_system -> send_notification, send_notification -> log_audit_event"
"Quick one — investigate auth-svc-04 for infections. Next, pull staging-db-02 from production — in parallel, ping Grace about it and record the event in HR's log.",142,neg_15,swap_tools,revoke_access;create_ticket;provision_vm;enable_feature_flag,0->1;1->2;1->3,"create_ticket -> enable_feature_flag, create_ticket -> provision_vm, revoke_access -> create_ticket"
"Quick one — investigate auth-svc-04 for infections. Next, pull staging-db-02 from production — in parallel, ping Grace about it and record the event in HR's log.",142,neg_16,remove_edge,scan_malware;quarantine_system;send_notification;log_audit_event,1->2;1->3,"quarantine_system -> log_audit_event, quarantine_system -> send_notification"
"Quick one — investigate auth-svc-04 for infections. Next, pull staging-db-02 from production — in parallel, ping Grace about it and record the event in HR's log.",142,neg_17,add_edge,scan_malware;quarantine_system;send_notification;log_audit_event,0->1;1->2;1->3;0->2,"quarantine_system -> log_audit_event, quarantine_system -> send_notification, scan_malware -> quarantine_system, scan_malware -> send_notification"
"Quick one — investigate auth-svc-04 for infections. Next, pull staging-db-02 from production — in parallel, ping Grace about it and record the event in HR's log.",142,neg_18,extra_node,scan_malware;quarantine_system;send_notification;log_audit_event;generate_report,0->1;1->2;1->3;4->2,"generate_report -> send_notification, quarantine_system -> log_audit_event, quarantine_system -> send_notification, scan_malware -> quarantine_system"
