query,gt_tool,rank_of_one_node,top1_is_one_node,top1_dag_text,top1_cosine,gt_cosine
We haven't heard from ml-infer-05 in a while.,check_status,2,False,transfer_ownership -> invalidate_cache,0.36499249935150146,0.3646809160709381
We haven't heard from auth-svc-04 in a while.,check_status,2,False,transfer_ownership -> invalidate_cache,0.38893917202949524,0.38029590249061584
We haven't heard from payment-api-03 in a while.,check_status,2,False,transfer_ownership -> invalidate_cache,0.37460267543792725,0.36430028080940247
I'd like a pulse on payment-api-03.,check_status,5,False,process_refund -> send_notification,0.42083731293678284,0.27798065543174744
We need visibility into ml-infer-05's condition.,check_status,2,False,transfer_ownership -> invalidate_cache,0.33761656284332275,0.3090445101261139
Give me a quick look at how staging-db-02 is doing.,check_status,2,False,backup_database -> deploy_container,0.4028500020503998,0.4007938802242279
I'd like a pulse on staging-db-02.,check_status,3,True,send_notification,0.3726755380630493,0.3329346477985382
We need visibility into auth-svc-04's condition.,check_status,2,False,transfer_ownership -> invalidate_cache,0.2890963852405548,0.24345481395721436
I'd like a pulse on prod-web-01.,check_status,3,False,process_refund -> send_notification,0.39403992891311646,0.31368231773376465
We haven't heard from prod-web-01 in a while.,check_status,2,False,transfer_ownership -> invalidate_cache,0.3774445056915283,0.36762145161628723
I'd like a pulse on auth-svc-04.,check_status,4,True,send_notification,0.36574071645736694,0.3096332550048828
We need visibility into prod-web-01's condition.,check_status,2,False,transfer_ownership -> invalidate_cache,0.3069725036621094,0.2821233868598938
We need visibility into cdn-edge-06's condition.,check_status,3,False,transfer_ownership -> invalidate_cache,0.32691606879234314,0.3036821484565735
We need visibility into payment-api-03's condition.,check_status,3,False,transfer_ownership -> invalidate_cache,0.27152302861213684,0.22300420701503754
Give me a quick look at how cdn-edge-06 is doing.,check_status,2,False,backup_database -> deploy_container,0.37611693143844604,0.3750225603580475
I'd like a pulse on cdn-edge-06.,check_status,6,False,process_refund -> send_notification,0.37786975502967834,0.27677690982818604
I'd like a pulse on ml-infer-05.,check_status,6,True,send_notification,0.3662221133708954,0.29799434542655945
We haven't heard from auth-svc-04 in a while.,check_status,2,False,transfer_ownership -> invalidate_cache,0.38893917202949524,0.38029590249061584
Make sure this doesn't slip through the cracks.,create_ticket,20,False,log_audit_event -> escalate_to_human,0.33315324783325195,0.16598515212535858
We should have a reference number for Frank's issue.,create_ticket,7,False,escalate_to_human -> archive_data,0.3564896881580353,0.2831050157546997
This needs an official entry in our tracking system.,create_ticket,8,False,log_audit_event -> escalate_to_human,0.37707197666168213,0.292140930891037
We should have a reference number for Charlie's issue.,create_ticket,6,False,escalate_to_human -> archive_data,0.3698834776878357,0.29297935962677
We need to track this issue with Bob.,create_ticket,4,False,log_audit_event -> escalate_to_human,0.4073501527309418,0.3217063248157501
This needs to be logged for follow-up.,create_ticket,21,False,log_audit_event -> escalate_to_human,0.472474068403244,0.11194814741611481
We should have a reference number for Alice's issue.,create_ticket,8,False,escalate_to_human -> archive_data,0.410258024930954,0.30398645997047424
We need a paper trail for the payment-api-03 issue.,create_ticket,7,False,log_audit_event -> escalate_to_human,0.42784157395362854,0.2720381021499634
We need a paper trail for the auth-svc-04 issue.,create_ticket,10,False,log_audit_event -> escalate_to_human,0.4094887673854828,0.2336083948612213
This should be documented somewhere official.,create_ticket,16,True,generate_report,0.36015641689300537,0.13727059960365295
Someone should formalize this complaint from Bob.,create_ticket,9,False,process_refund -> send_notification,0.40720197558403015,0.27169328927993774
Can we get a formal record of Charlie's problem?,create_ticket,5,False,"create_ticket -> send_notification, send_notification -> reset_password",0.301273375749588,0.18518075346946716
Can we get a formal record of Alice's problem?,create_ticket,7,False,"create_ticket -> send_notification, send_notification -> reset_password",0.33286136388778687,0.1693124920129776
Someone should formalize this complaint from Eve.,create_ticket,9,False,process_refund -> send_notification,0.43848493695259094,0.29475826025009155
We should have a reference number for Diana's issue.,create_ticket,6,False,escalate_to_human -> archive_data,0.3963424861431122,0.30167895555496216
We need to track this issue with Diana.,create_ticket,4,False,escalate_to_human -> archive_data,0.3822953701019287,0.34445303678512573
Eve reported something that needs tracking.,create_ticket,7,False,log_audit_event -> escalate_to_human,0.39993053674697876,0.2767450213432312
We need to track this issue with Alice.,create_ticket,5,False,escalate_to_human -> archive_data,0.40078118443489075,0.3419555723667145
We need a paper trail for the cdn-edge-06 issue.,create_ticket,9,False,log_audit_event -> escalate_to_human,0.39714404940605164,0.2235739827156067
We need to track this issue with Grace.,create_ticket,4,False,log_audit_event -> escalate_to_human,0.4033128321170807,0.3130779564380646
Can we get a formal record of Diana's problem?,create_ticket,6,False,escalate_to_human -> archive_data,0.30282047390937805,0.1847681999206543
Someone should formalize this complaint from Frank.,create_ticket,7,False,process_refund -> send_notification,0.3772340714931488,0.2761518657207489
Can we get a formal record of Eve's problem?,create_ticket,5,False,process_refund -> send_notification,0.3336736261844635,0.2095024585723877
Charlie reported something that needs tracking.,create_ticket,8,True,generate_report,0.4211902618408203,0.28155606985092163
Someone should formalize this complaint from Alice.,create_ticket,10,False,process_refund -> send_notification,0.41589057445526123,0.28672903776168823
Alice reported something that needs tracking.,create_ticket,8,True,generate_report,0.4267287850379944,0.2827964723110199
Someone should formalize this complaint from Grace.,create_ticket,12,False,process_refund -> send_notification,0.38586753606796265,0.27394112944602966
We need to track this issue with Frank.,create_ticket,4,False,log_audit_event -> escalate_to_human,0.39003944396972656,0.3123164772987366
Someone should formalize this complaint from Diana.,create_ticket,8,False,process_refund -> send_notification,0.4047991633415222,0.27971169352531433
Someone should formalize this complaint from Charlie.,create_ticket,7,False,process_refund -> send_notification,0.4002339243888855,0.2851838767528534
We should have a reference number for Grace's issue.,create_ticket,10,False,escalate_to_human -> archive_data,0.38238900899887085,0.2816305458545685
We need a paper trail for the prod-web-01 issue.,create_ticket,9,False,log_audit_event -> escalate_to_human,0.3927840292453766,0.24032673239707947
We need a paper trail for the ml-infer-05 issue.,create_ticket,8,False,log_audit_event -> escalate_to_human,0.36921384930610657,0.24629123508930206
Can we get a formal record of Grace's problem?,create_ticket,8,False,log_audit_event -> escalate_to_human,0.318448930978775,0.17472104728221893
Grace reported something that needs tracking.,create_ticket,9,True,generate_report,0.4192768335342407,0.26464661955833435
We need to track this issue with Charlie.,create_ticket,3,False,log_audit_event -> escalate_to_human,0.3962273597717285,0.3410176634788513
Eve reported something that needs tracking.,create_ticket,7,False,log_audit_event -> escalate_to_human,0.39993053674697876,0.2767450213432312
Frank reported something that needs tracking.,create_ticket,7,True,generate_report,0.39131730794906616,0.2593785226345062
We should have a reference number for Bob's issue.,create_ticket,7,False,process_refund -> send_notification,0.3856198191642761,0.28023186326026917
Can we get a formal record of Bob's problem?,create_ticket,7,False,"create_ticket -> send_notification, send_notification -> reset_password",0.30332180857658386,0.17170970141887665
This needs to be logged for follow-up.,create_ticket,21,False,log_audit_event -> escalate_to_human,0.472474068403244,0.11194814741611481
We need to track this issue with Eve.,create_ticket,4,False,log_audit_event -> escalate_to_human,0.41325920820236206,0.3565773665904999
Bob reported something that needs tracking.,create_ticket,8,True,generate_report,0.41856470704078674,0.2698131203651428
Can we get a formal record of Frank's problem?,create_ticket,6,False,"create_ticket -> send_notification, send_notification -> reset_password",0.30403509736061096,0.16357949376106262
This needs an official entry in our tracking system.,create_ticket,8,False,log_audit_event -> escalate_to_human,0.37707197666168213,0.292140930891037
We should have a reference number for Eve's issue.,create_ticket,4,False,escalate_to_human -> archive_data,0.41614386439323425,0.3194664716720581
We need a paper trail for the staging-db-02 issue.,create_ticket,10,True,check_status,0.369496613740921,0.23727741837501526
We should have a reference number for Frank's issue.,create_ticket,7,False,escalate_to_human -> archive_data,0.3564896881580353,0.2831050157546997
Diana reported something that needs tracking.,create_ticket,8,True,generate_report,0.42185652256011963,0.2687501609325409
This should be documented somewhere official.,create_ticket,16,True,generate_report,0.36015641689300537,0.13727059960365295
Make sure this doesn't slip through the cracks.,create_ticket,20,False,log_audit_event -> escalate_to_human,0.33315324783325195,0.16598515212535858
We should have a reference number for Eve's issue.,create_ticket,4,False,escalate_to_human -> archive_data,0.41614386439323425,0.3194664716720581
We need to track this issue with Charlie.,create_ticket,3,False,log_audit_event -> escalate_to_human,0.3962273597717285,0.3410176634788513
This needs an official entry in our tracking system.,create_ticket,8,False,log_audit_event -> escalate_to_human,0.37707197666168213,0.292140930891037
We should have a reference number for Alice's issue.,create_ticket,8,False,escalate_to_human -> archive_data,0.410258024930954,0.30398645997047424
This needs to be logged for follow-up.,create_ticket,21,False,log_audit_event -> escalate_to_human,0.472474068403244,0.11194814741611481
This needs an official entry in our tracking system.,create_ticket,8,False,log_audit_event -> escalate_to_human,0.37707197666168213,0.292140930891037
Alice reported something that needs tracking.,create_ticket,8,True,generate_report,0.4267287850379944,0.2827964723110199
We should have a reference number for Eve's issue.,create_ticket,4,False,escalate_to_human -> archive_data,0.41614386439323425,0.3194664716720581
We should have a reference number for Frank's issue.,create_ticket,7,False,escalate_to_human -> archive_data,0.3564896881580353,0.2831050157546997
Alice reported something that needs tracking.,create_ticket,8,True,generate_report,0.4267287850379944,0.2827964723110199
Can we get a formal record of Eve's problem?,create_ticket,5,False,process_refund -> send_notification,0.3336736261844635,0.2095024585723877
We need a paper trail for the auth-svc-04 issue.,create_ticket,10,False,log_audit_event -> escalate_to_human,0.4094887673854828,0.2336083948612213
We need a paper trail for the payment-api-03 issue.,create_ticket,7,False,log_audit_event -> escalate_to_human,0.42784157395362854,0.2720381021499634
This needs to be logged for follow-up.,create_ticket,21,False,log_audit_event -> escalate_to_human,0.472474068403244,0.11194814741611481
Someone should formalize this complaint from Diana.,create_ticket,8,False,process_refund -> send_notification,0.4047991633415222,0.27971169352531433
Can we get a formal record of Bob's problem?,create_ticket,7,False,"create_ticket -> send_notification, send_notification -> reset_password",0.30332180857658386,0.17170970141887665
We need human intervention for Eve.,escalate_to_human,10,True,db_read,0.31904488801956177,0.23989470303058624
This one needs a pair of human eyes.,escalate_to_human,8,True,provision_vm,0.2712838053703308,0.18994013965129852
Alice's case is too nuanced for a bot.,escalate_to_human,18,False,escalate_to_human -> archive_data,0.34740325808525085,0.15806931257247925
This is beyond what automation can handle.,escalate_to_human,6,True,send_notification,0.40078985691070557,0.2131137251853943
We need someone with judgment on this.,escalate_to_human,7,False,log_audit_event -> escalate_to_human,0.3970944583415985,0.27193182706832886
Can we get a senior person to look at Grace's case?,escalate_to_human,22,False,escalate_to_human -> archive_data,0.3370800018310547,0.0780576840043068
Automation isn't going to resolve Eve's issue.,escalate_to_human,13,True,db_read,0.30688077211380005,0.22163105010986328
Automation isn't going to resolve Bob's issue.,escalate_to_human,11,True,update_subscription,0.31451794505119324,0.20738236606121063
Can we get a senior person to look at Eve's case?,escalate_to_human,21,False,escalate_to_human -> archive_data,0.3570158779621124,0.08786838501691818
Can we get a senior person to look at Bob's case?,escalate_to_human,26,False,escalate_to_human -> archive_data,0.3128436207771301,0.03376086801290512
We need human intervention for Frank.,escalate_to_human,11,True,reset_password,0.3355158269405365,0.19510813057422638
This requires human decision-making.,escalate_to_human,5,True,db_read,0.39673149585723877,0.30856481194496155
We need human intervention for Charlie.,escalate_to_human,11,True,reset_password,0.35157257318496704,0.196324422955513
Grace's case is too nuanced for a bot.,escalate_to_human,11,False,escalate_to_human -> archive_data,0.3563331961631775,0.2100605070590973
Eve's case is too nuanced for a bot.,escalate_to_human,12,False,escalate_to_human -> archive_data,0.3517000079154968,0.21194733679294586
Automation isn't going to resolve Frank's issue.,escalate_to_human,10,True,update_subscription,0.3405441343784332,0.20149928331375122
Automation isn't going to resolve Grace's issue.,escalate_to_human,13,True,update_subscription,0.35580113530158997,0.19963683187961578
Can we get a senior person to look at Charlie's case?,escalate_to_human,29,False,escalate_to_human -> archive_data,0.3067886233329773,0.028288451954722404
Diana's situation needs a real person.,escalate_to_human,19,True,reset_password,0.28632017970085144,0.14619015157222748
We need human intervention for Diana.,escalate_to_human,15,True,reset_password,0.3151394724845886,0.16495217382907867
The automated response isn't going to cut it for Frank.,escalate_to_human,18,True,update_subscription,0.3869902193546295,0.19027943909168243
Frank's case is too nuanced for a bot.,escalate_to_human,11,False,escalate_to_human -> archive_data,0.30356621742248535,0.17604239284992218
We need human intervention for Grace.,escalate_to_human,9,True,reset_password,0.33851635456085205,0.22077693045139313
