query,dag_id,dag_text,tools,edges,topo_family,source,split,strict_fix_applied,had_duplicate_node_labels,original_tools
"Engineering escalated this: read Omar's profile from the database and check ml-infer-05 for vulnerabilities. When all of that's complete, create an audit trail for #53698.",12,"db_read -> log_audit_event, scan_malware -> log_audit_event",db_read;scan_malware;log_audit_event,0->2;1->2,fanin,original,train,FALSE,FALSE,db_read;scan_malware;log_audit_event
"Requesting the following: check the DB for Rosa and run a malware sweep on auth-svc-04. Consolidating all of that, make a compliance log about Nadia. Let me know when it's done.",12,"db_read -> log_audit_event, scan_malware -> log_audit_event",db_read;scan_malware;log_audit_event,0->2;1->2,fanin,original,train,FALSE,FALSE,db_read;scan_malware;log_audit_event
"The HR team needs us to grab Diana's account details and run a malware sweep on batch-worker-10. After both branches land, drop an audit entry for cdn-edge-06.",12,"db_read -> log_audit_event, scan_malware -> log_audit_event",db_read;scan_malware;log_audit_event,0->2;1->2,fanin,original,train,FALSE,FALSE,db_read;scan_malware;log_audit_event
"Kicking this off: fetch #42017's info and run a malware sweep on batch-worker-10, merge everything and log the whole prod-web-01 incident.",12,"db_read -> log_audit_event, scan_malware -> log_audit_event",db_read;scan_malware;log_audit_event,0->2;1->2,fanin,original,train,FALSE,FALSE,db_read;scan_malware;log_audit_event
"ASAP — pull Maya's data and sweep gateway-nginx-11 for IOCs. Once those have all settled, record the event in Marketing's log. Tracking under INC-2234.",12,"db_read -> log_audit_event, scan_malware -> log_audit_event",db_read;scan_malware;log_audit_event,0->2;1->2,fanin,original,train,FALSE,FALSE,db_read;scan_malware;log_audit_event
"Straightforward one: look up the records for #20891 and run a malware sweep on metrics-prom-12. Bringing those together, log the whole cdn-edge-06 incident. This is blocking Support.",12,"db_read -> log_audit_event, scan_malware -> log_audit_event",db_read;scan_malware;log_audit_event,0->2;1->2,fanin,original,train,FALSE,FALSE,db_read;scan_malware;log_audit_event
"On behalf of Finance, check the DB for Quinn and scan cdn-edge-06 for threats. After everything upstream completes, log Hector's action for compliance. Thanks.",12,"db_read -> log_audit_event, scan_malware -> log_audit_event",db_read;scan_malware;log_audit_event,0->2;1->2,fanin,original,train,FALSE,FALSE,db_read;scan_malware;log_audit_event
"I need you to give Hector their money back and update Karen's subscription. When every branch is finished, send a heads-up to Finance. Tracking under INC-6677.",13,"process_refund -> send_notification, update_subscription -> send_notification",process_refund;update_subscription;send_notification,0->2;1->2,fanin,original,train,FALSE,FALSE,process_refund;update_subscription;send_notification
"Straightforward one: push the refund through for #93781 and update James' subscription. After everything upstream completes, blast an alert to Marketing.",13,"process_refund -> send_notification, update_subscription -> send_notification",process_refund;update_subscription;send_notification,0->2;1->2,fanin,original,train,FALSE,FALSE,process_refund;update_subscription;send_notification
"Straightforward one: process the payout for Karen and downgrade Karen's account. When every branch is finished, fire off a notification to Alice. Needs to be done today.",13,"process_refund -> send_notification, update_subscription -> send_notification",process_refund;update_subscription;send_notification,0->2;1->2,fanin,original,train,FALSE,FALSE,process_refund;update_subscription;send_notification
"Time to give Frank their money back and switch Diana to the new plan. With both results in hand, notify the Product team.",13,"process_refund -> send_notification, update_subscription -> send_notification",process_refund;update_subscription;send_notification,0->2;1->2,fanin,original,train,FALSE,FALSE,process_refund;update_subscription;send_notification
"This came in from Security: refund Priya and update Nadia's subscription. With both results in hand, email Omar the update. This one's time-sensitive.",13,"process_refund -> send_notification, update_subscription -> send_notification",process_refund;update_subscription;send_notification,0->2;1->2,fanin,original,train,FALSE,FALSE,process_refund;update_subscription;send_notification
"Handing this to you: give Frank their money back and update Maya's subscription. Consolidating all of that, shoot Grace an email. Confirm once complete.",13,"process_refund -> send_notification, update_subscription -> send_notification",process_refund;update_subscription;send_notification,0->2;1->2,fanin,original,train,FALSE,FALSE,process_refund;update_subscription;send_notification
"Heads-up, we need to process the payout for James and modify Leo's subscription. Once each of those returns, fire off a notification to Grace.",13,"process_refund -> send_notification, update_subscription -> send_notification",process_refund;update_subscription;send_notification,0->2;1->2,fanin,original,train,FALSE,FALSE,process_refund;update_subscription;send_notification
"From Product: reverse the charge on #71003 and switch James to the new plan. Once both are done, ping Nadia about it.",13,"process_refund -> send_notification, update_subscription -> send_notification",process_refund;update_subscription;send_notification,0->2;1->2,fanin,original,train,FALSE,FALSE,process_refund;update_subscription;send_notification
"Before end of day, give Irene their money back and switch Eve to the new plan, then converge and notify the Finance team. Tracking under INC-2234.",13,"process_refund -> send_notification, update_subscription -> send_notification",process_refund;update_subscription;send_notification,0->2;1->2,fanin,original,train,FALSE,FALSE,process_refund;update_subscription;send_notification
"Urgent: refund Diana and adjust the billing tier for Rosa. After those finish, ping Bob about it. This one's time-sensitive.",13,"process_refund -> send_notification, update_subscription -> send_notification",process_refund;update_subscription;send_notification,0->2;1->2,fanin,original,train,FALSE,FALSE,process_refund;update_subscription;send_notification
"Engineering escalated this: process the payout for Leo and downgrade Grace's account, merge everything and send a heads-up to Security.",13,"process_refund -> send_notification, update_subscription -> send_notification",process_refund;update_subscription;send_notification,0->2;1->2,fanin,original,train,FALSE,FALSE,process_refund;update_subscription;send_notification
"Need this handled: see what's going on with staging-db-02. When that lands, investigate cdn-edge-06 for infections. Next, isolate auth-svc-04. As soon as that clears, restart the service on payment-api-03. That done, loop in a Finance manager. As soon as that clears, blast an alert to Marketing. Wrapping up, create an audit trail for #53698. Thanks.",16,"check_status -> scan_malware, scan_malware -> quarantine_system, quarantine_system -> restart_service, restart_service -> escalate_to_human, escalate_to_human -> send_notification, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,original,train,FALSE,FALSE,check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event
"Got a request from Bob — diagnose gateway-nginx-11. With that in place, scan metrics-prom-12 for threats. After that, pull prod-web-01 from production, then bounce staging-db-02. Then, hand Quinn's issue off to an engineer, after which please ping Charlie about it. The last thing is to drop an audit entry for cdn-edge-06.",16,"check_status -> scan_malware, scan_malware -> quarantine_system, quarantine_system -> restart_service, restart_service -> escalate_to_human, escalate_to_human -> send_notification, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,original,train,FALSE,FALSE,check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event
"From Security: verify metrics-prom-12's health. Next, run a malware sweep on metrics-prom-12. When that lands, pull ml-infer-05 from production. After that, bounce search-es-09. On completion of that, loop in a Finance manager. On completion of that, ping James about it. Wrapping up, make a compliance log about James.",16,"check_status -> scan_malware, scan_malware -> quarantine_system, quarantine_system -> restart_service, restart_service -> escalate_to_human, escalate_to_human -> send_notification, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,original,train,FALSE,FALSE,check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event
"Whenever you're free, check if search-es-09 is up. When that lands, check redis-cache-07 for vulnerabilities, then isolate payment-api-03. With that in place, cycle search-es-09, and then loop in a Engineering manager. Following that, blast an alert to Operations. And to finish, log Alice's action for compliance.",16,"check_status -> scan_malware, scan_malware -> quarantine_system, quarantine_system -> restart_service, restart_service -> escalate_to_human, escalate_to_human -> send_notification, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,original,train,FALSE,FALSE,check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event
"Quick one — see what's going on with queue-rabbit-08. With that in place, sweep staging-db-02 for IOCs. On completion of that, disconnect ml-infer-05 from everything. As soon as that clears, cycle auth-svc-04. That done, escalate Alice's case to the on-call, after which please email James the update. Last step: log Irene's action for compliance.",16,"check_status -> scan_malware, scan_malware -> quarantine_system, quarantine_system -> restart_service, restart_service -> escalate_to_human, escalate_to_human -> send_notification, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,original,train,FALSE,FALSE,check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event
