source_row_id,original_query,transformed_query,label,generation_type,lexical_cues_removed,paraphrase_family,confusable_with
1407,Simple request — authorize Eve for ml-infer-05 and we're good.,Can someone authorize Alice's pending request?,approve_access,lexical_cue_reduced,,,
1408,"Hey, can you approve Alice's access request.",Frank needs to get into the system for their job.,approve_access,lexical_cue_reduced,access;approve,,
1409,Ticket INC-7733 says authorize Diana for ml-infer-05.,Bob can't do their work without the right permissions.,approve_access,lexical_cue_reduced,authorize,,
1410,Quick task: grant Eve permissions to prod-web-01.,There's a pending request that's blocking Bob.,approve_access,lexical_cue_reduced,grant,,
1411,All I need is for someone to grant Frank permissions to cdn-edge-06.,Can someone authorize Frank's pending request?,approve_access,lexical_cue_reduced,grant,,
1412,All I need is for someone to sign off on Eve's permission request.,Alice's team lead already confirmed they need this.,approve_access,lexical_cue_reduced,permission;sign,,
1413,All I need is for someone to authorize Charlie for auth-svc-04.,Diana's team lead already confirmed they need this.,approve_access,lexical_cue_reduced,authorize,,
1414,Quick task: give Frank access to Engineering's resources.,Alice needs to get into the system for their job.,approve_access,lexical_cue_reduced,access,,
1415,Simple request — authorize Alice for auth-svc-04 and we're good.,Bob needs to get into the system for their job.,approve_access,lexical_cue_reduced,authorize,,
1416,I need you to sign off on Grace's permission request.,There's a pending request that's blocking Eve.,approve_access,lexical_cue_reduced,permission;sign,,
1417,Urgent: authorize Diana for auth-svc-04.,Bob's team lead already confirmed they need this.,approve_access,lexical_cue_reduced,authorize,,
1418,All I need is for someone to green-light Frank's access to Engineering.,Can someone authorize Eve's pending request?,approve_access,lexical_cue_reduced,access;green-light,,
1419,Simple request — authorize Diana for cdn-edge-06 and we're good.,The request has been sitting there for days.,approve_access,lexical_cue_reduced,authorize,,
1420,Simple request — green-light Diana's access to Engineering and we're good.,There's a pending request that's blocking Diana.,approve_access,lexical_cue_reduced,access;green-light,,
1421,Simple request — authorize Alice for payment-api-03 and we're good.,Charlie's team lead already confirmed they need this.,approve_access,lexical_cue_reduced,authorize,,
1422,Just sign off on Eve's permission request. Nothing else needed.,Grace needs to get into the system for their job.,approve_access,lexical_cue_reduced,permission;sign,,
1423,Bob reported an issue — authorize Alice for staging-db-02.,There's a pending request that's blocking Frank.,approve_access,lexical_cue_reduced,authorize,,
1424,Simple request — sign off on Charlie's permission request and we're good.,Charlie can't do their work without the right permissions.,approve_access,lexical_cue_reduced,permission;sign,,
1425,Simple request — grant Eve permissions to cdn-edge-06 and we're good.,Alice can't do their work without the right permissions.,approve_access,lexical_cue_reduced,grant,,
1426,"When you get a chance, give Eve access to HR's resources.",Diana needs to get into the system for their job.,approve_access,lexical_cue_reduced,access,,
1427,Simple request — authorize Frank for payment-api-03 and we're good.,Charlie needs to get into the system for their job.,approve_access,lexical_cue_reduced,authorize,,
1428,Just grant Diana permissions to ml-infer-05. Nothing else needed.,Eve can't do their work without the right permissions.,approve_access,lexical_cue_reduced,grant,,
1429,The Legal team needs us to authorize Eve for payment-api-03.,Grace can't do their work without the right permissions.,approve_access,lexical_cue_reduced,authorize,,
1430,All I need is for someone to green-light Eve's access to HR.,Eve needs to get into the system for their job.,approve_access,lexical_cue_reduced,access;green-light,,
1431,Quick task: authorize Diana for prod-web-01.,Can someone authorize Bob's pending request?,approve_access,lexical_cue_reduced,,,
1432,Just green-light Grace's access to Engineering. Nothing else needed.,There's a pending request that's blocking Grace.,approve_access,lexical_cue_reduced,access;green-light,,
1433,Quick one — green-light Grace's access to HR.,Diana can't do their work without the right permissions.,approve_access,lexical_cue_reduced,access;green-light,,
1434,Do me a favor and authorize Frank for staging-db-02.,Can someone authorize Grace's pending request?,approve_access,lexical_cue_reduced,,,
1435,Time to green-light Diana's access to Legal.,Frank can't do their work without the right permissions.,approve_access,lexical_cue_reduced,access;green-light,,
