query,gt_tool,rank_of_one_node,top1_is_one_node,top1_dag_text,top1_cosine,gt_cosine
Scan payment-api-03 -- is it healthy?,check_status,3,False,"check_status -> process_refund, scan_malware -> check_status",0.6364506483078003,0.5830394625663757
Scan auth-svc-04 -- is it healthy?,check_status,3,False,"check_status -> process_refund, scan_malware -> check_status",0.6316874027252197,0.617756187915802
Scan staging-db-02 -- is it healthy?,check_status,2,False,"check_status -> process_refund, scan_malware -> check_status",0.6471967101097107,0.6280821561813354
Scan prod-web-01 -- is it healthy?,check_status,3,False,"check_status -> process_refund, scan_malware -> check_status",0.645043671131134,0.6111308336257935
Scan cdn-edge-06 -- is it healthy?,check_status,2,False,"check_status -> process_refund, scan_malware -> check_status",0.6333876252174377,0.6316319704055786
Scan payment-api-03 -- is it healthy?,check_status,3,False,"check_status -> process_refund, scan_malware -> check_status",0.6364506483078003,0.5830394625663757
Scan prod-web-01 -- is it healthy?,check_status,3,False,"check_status -> process_refund, scan_malware -> check_status",0.645043671131134,0.6111308336257935
Scan prod-web-01 -- is it healthy?,check_status,3,False,"check_status -> process_refund, scan_malware -> check_status",0.645043671131134,0.6111308336257935
Scan cdn-edge-06 -- is it healthy?,check_status,2,False,"check_status -> process_refund, scan_malware -> check_status",0.6333876252174377,0.6316319704055786
Scan payment-api-03 -- is it healthy?,check_status,3,False,"check_status -> process_refund, scan_malware -> check_status",0.6364506483078003,0.5830394625663757
Scan cdn-edge-06 -- is it healthy?,check_status,2,False,"check_status -> process_refund, scan_malware -> check_status",0.6333876252174377,0.6316319704055786
Notify the team by creating a formal issue for cdn-edge-06.,create_ticket,5,True,send_notification,0.6881348490715027,0.40238088369369507
Log Diana's complaint so we can follow up.,create_ticket,5,True,log_audit_event,0.5997326970100403,0.44194117188453674
Log Frank's complaint so we can follow up.,create_ticket,5,True,log_audit_event,0.6127839684486389,0.43147745728492737
Send a record of this problem to the tracking system.,create_ticket,3,True,send_notification,0.7082324624061584,0.48806241154670715
Notify the team by creating a formal issue for ml-infer-05.,create_ticket,5,True,send_notification,0.7002053260803223,0.38098809123039246
Notify the team by creating a formal issue for payment-api-03.,create_ticket,5,True,send_notification,0.7054941654205322,0.3954886198043823
Log Grace's complaint so we can follow up.,create_ticket,5,False,generate_report -> send_notification,0.5974066257476807,0.4409118890762329
