dag_id,dag_text,tools,n_nodes,n_edges,action_group,topo_family,emb_dim,tsne_x,tsne_y
0,backup_database -> deploy_container,backup_database;deploy_container,2,1,mixed,chain_short,256,4.631865,-1.8725988
1,process_refund -> send_notification,process_refund;send_notification,2,1,mixed,chain_short,256,3.6032333,4.922652
2,log_audit_event -> escalate_to_human,log_audit_event;escalate_to_human,2,1,mixed,chain_short,256,2.4313788,3.2972252
3,"reset_password -> rotate_api_key, rotate_api_key -> deploy_container, update_subscription -> reset_password",update_subscription;reset_password;rotate_api_key;deploy_container,4,3,mostly-write,chain_medium,256,0.27632535,-0.24033011
4,archive_data -> restore_backup,archive_data;restore_backup,2,1,mostly-write,chain_short,256,4.053282,-4.5338683
5,"create_ticket -> send_notification, send_notification -> reset_password",create_ticket;send_notification;reset_password,3,2,mostly-orchestrate,chain_medium,256,2.1952972,5.15871
6,escalate_to_human -> archive_data,escalate_to_human;archive_data,2,1,mixed,chain_short,256,3.495966,-4.8735504
7,archive_data -> scan_malware,archive_data;scan_malware,2,1,mixed,chain_short,256,3.2896152,-4.4224577
8,"archive_data -> enable_feature_flag, enable_feature_flag -> revoke_access",archive_data;enable_feature_flag;revoke_access,3,2,mostly-write,chain_medium,256,2.6508317,-5.2372656
9,"process_refund -> send_notification, update_subscription -> process_refund",update_subscription;process_refund;send_notification,3,2,mostly-write,chain_medium,256,3.322464,5.224037
10,"revoke_access -> rotate_api_key, rotate_api_key -> log_audit_event",revoke_access;rotate_api_key;log_audit_event,3,2,mostly-write,chain_medium,256,-0.14891775,0.5627797
11,transfer_ownership -> invalidate_cache,transfer_ownership;invalidate_cache,2,1,mixed,chain_short,256,5.5293865,-3.4011838
12,"approve_access -> invalidate_cache, invalidate_cache -> run_pipeline, process_refund -> invalidate_cache",process_refund;approve_access;invalidate_cache;run_pipeline,4,3,mostly-write,fanin,256,-0.86698556,-4.6897798
13,"approve_access -> generate_report, generate_report -> run_pipeline, rotate_api_key -> generate_report",approve_access;rotate_api_key;generate_report;run_pipeline,4,3,mixed,fanin,256,-0.44983643,1.685236
