query_id,query,ground_truth,taxonomy_name,predicted_tool,selected_branch,correct,branch_correct,latency_s,prompt_tokens,completion_tokens,total_tokens,error
0,look up the record for #60122.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,12.302143100008834,485,100,585,
1,pull Alice's account details.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,5.998265699992771,479,153,632,
2,retrieve information on Frank.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,4.611267000000225,477,114,591,
3,check the database entry for Charlie.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,3.1062082999997074,481,112,593,
4,fetch the record linked to #20891.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,5.191064600003301,485,124,609,
5,search for transaction #20891 in the database.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,5.729520299981232,487,100,587,
6,bring up Bob's account information.,query_database,Semantic Taxonomy (Baseline),create_ticket,IT Support,False,False,7.6056174999976065,474,406,880,
7,search the database for Frank.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,5.994860800012248,479,244,723,
8,Please look up the record for Alice.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,25.48505920000025,483,126,609,
9,Please retrieve the entry for #60122.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,4.649579399992945,485,144,629,
10,Please retrieve information on Frank.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,5.146020800006227,479,131,610,
11,Please check the database entry for Eve.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,3.8349095999874407,483,98,581,
12,Please fetch the record linked to #10234.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,2.8013205000024755,487,85,572,
13,Please search for transaction #53698 in the database.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,3.127212799998233,489,114,603,
14,Please bring up Diana's account information.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,4.656203299993649,483,123,606,
15,Please search the database for Alice.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,3.653368600018439,481,194,675,
16,Can you look up the record for Alice?,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,20.426353499977267,485,110,595,
17,Can you pull Bob's account details?,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,3.1972306999959983,483,140,623,
18,Can you check the database for #53698?,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,3.6685108999954537,487,121,608,
19,Can you pull the details associated with #53698?,query_database,Semantic Taxonomy (Baseline),check_status,IT Support,False,False,5.990455499995733,482,247,729,
20,Can you fetch Alice's profile from the database?,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,2.796877599990694,487,126,613,
21,Can you read the record tied to Eve?,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,17.48416730000463,485,103,588,
22,Can you bring up the database entry for #20891?,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,3.5310035000002244,491,112,603,
23,Can you read back the data for #60122?,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,10.100067000006675,489,148,637,
24,Could you look up the record for #60122 for me?,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,7.239686199987773,493,232,725,
25,Could you pull Frank's account details for me?,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,5.083301300008316,487,118,605,
26,Could you retrieve information on Eve for me?,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,7.005899199997657,485,260,745,
27,Could you check the database entry for Diana for me?,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,2.8031368000083603,489,129,618,
28,Could you fetch the record linked to #20891 for me?,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,4.703325800015591,493,149,642,
29,Could you search for transaction #42017 in the database for me?,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,5.356907399996999,495,121,616,
30,Could you bring up the database entry for #31450 for me?,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,8.264252599998144,495,117,612,
31,Could you read back the data for #10234 for me?,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,6.9606088000000454,493,150,643,
32,I need you to look up the record for #20891.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,4.41068109999469,491,148,639,
33,I need you to retrieve the entry for #60122.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,6.716391499998281,489,147,636,
34,I need you to retrieve information on Diana.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,4.840695299993968,483,138,621,
35,I need you to pull the details associated with #31450.,query_database,Semantic Taxonomy (Baseline),check_status,IT Support,False,False,6.917039499981911,484,243,727,
36,I need you to fetch the record linked to #31450.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,3.3853792999871075,491,207,698,
37,I need you to read the record tied to Bob.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,6.5881603000016185,487,147,634,
38,I need you to bring up Bob's account information.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,3.875499400004628,487,150,637,
39,I need you to search the database for Grace.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,6.359239299999899,485,166,651,
40,We should look up the record for Charlie.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,4.220507299993187,483,125,608,
41,We should pull Alice's account details.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,3.0881676000135485,481,169,650,
42,We should retrieve information on Alice.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,7.6695550000004005,479,257,736,
43,We should check the database entry for Diana.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,4.447635999997146,483,126,609,
44,We should fetch the record linked to #10234.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,4.902214800007641,487,126,613,
45,We should read the record tied to Charlie.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,6.634679299997515,483,137,620,
46,We should bring up Grace's account information.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,5.745016899993061,483,210,693,
47,We should search the database for Charlie.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,5.461038599998574,481,101,582,
48,Let's look up the record for Charlie.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,6.906848899991019,483,116,599,
49,Let's retrieve the entry for #10234.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,3.127205899989349,485,139,624,
50,Let's check the database for #60122.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,5.110881499989773,485,177,662,
51,Let's pull the details associated with #42017.,query_database,Semantic Taxonomy (Baseline),check_status,IT Support,False,False,9.824022800006787,480,204,684,
52,Let's fetch Eve's profile from the database.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,4.59688019999885,485,126,611,
53,Let's search for transaction #10234 in the database.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,2.9365717000036966,489,111,600,
54,Let's bring up Alice's account information.,query_database,Semantic Taxonomy (Baseline),create_ticket,IT Support,False,False,8.808142000008957,476,197,673,
55,Let's search the database for Eve.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,5.205052399993292,481,173,654,
56,Kindly look up the record for #31450.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,4.409990899992408,489,138,627,
57,Kindly pull Grace's account details.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,6.191934400005266,483,224,707,
58,Kindly check the database for #60122.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,3.9709898000000976,487,92,579,
59,Kindly check the database entry for Eve.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,4.437386000005063,485,106,591,
60,Kindly fetch Grace's profile from the database.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,4.011550700000953,487,201,688,
61,Kindly read the record tied to Charlie.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,7.186684700005571,485,113,598,
62,Kindly bring up the database entry for #53698.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,3.103814100002637,491,120,611,
63,Kindly search the database for Bob.,query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,3.304670499986969,483,154,637,
64,"When you have a moment, look up the record for Frank.",query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,5.163599800012889,491,181,672,
65,"When you have a moment, retrieve the entry for #10234.",query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,5.599414600001182,493,200,693,
66,"When you have a moment, retrieve information on Frank.",query_database,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,True,True,6.330256199988071,487,133,620,
67,save the latest data for Bob to the database.,update_database,Semantic Taxonomy (Baseline),update_database,Billing & Data Management,True,True,6.366904499998782,487,118,605,
68,write Grace's updated information back to the database.,update_database,Semantic Taxonomy (Baseline),update_database,Billing & Data Management,True,True,4.0926284000015585,487,118,605,
69,persist the database changes for Marketing.,update_database,Semantic Taxonomy (Baseline),update_database,Billing & Data Management,True,True,4.815182299993467,481,148,629,
70,commit the new record for Alice to the database.,update_database,Semantic Taxonomy (Baseline),update_database,Billing & Data Management,True,True,6.214838999992935,487,163,650,
71,update the stored Finance settings in the database.,update_database,Semantic Taxonomy (Baseline),update_database,Billing & Data Management,True,True,5.8410708000010345,485,106,591,
72,store the revised details for Grace.,update_database,Semantic Taxonomy (Baseline),update_database,Billing & Data Management,True,True,7.75519890000578,481,273,754,
73,push the latest update for #10234 into the database.,update_database,Semantic Taxonomy (Baseline),update_database,Billing & Data Management,True,True,6.666817100005574,491,126,617,
74,apply the database update for Diana.,update_database,Semantic Taxonomy (Baseline),update_database,Billing & Data Management,True,True,4.559580899993307,481,97,578,
75,Please save the changes for #31450 to the database.,update_database,Semantic Taxonomy (Baseline),update_database,Billing & Data Management,True,True,5.627993200003402,491,189,680,
