condition,row_index,query,ground_truth_raw,ground_truth_tool,predicted_tool,correct,rank,top1_cosine,ground_truth_cosine,top5_tools,top5_cosines
Standard,0,look up the record for #60122.,query_database,db_read,db_read,True,1,0.38122445344924927,0.38122445344924927,db_read;process_refund;generate_report;db_write;check_status,0.38122445;0.34753171;0.34010831;0.33908355;0.32219926
Standard,1,pull Alice's account details.,query_database,db_read,update_subscription,False,3,0.2888299822807312,0.2574878931045532,update_subscription;escalate_to_human;db_read;send_notification;provision_vm,0.28882998;0.26021934;0.25748789;0.21491028;0.19487087
Standard,2,retrieve information on Frank.,query_database,db_read,db_read,True,1,0.4042133390903473,0.4042133390903473,db_read;send_notification;quarantine_system;provision_vm;db_write,0.40421334;0.32188776;0.32100770;0.30896279;0.30628663
Standard,3,check the database entry for Charlie.,query_database,db_read,db_read,True,1,0.504197895526886,0.504197895526886,db_read;db_write;quarantine_system;scan_malware;generate_report,0.50419790;0.41879249;0.32133159;0.32023990;0.31211132
Standard,4,fetch the record linked to #20891.,query_database,db_read,db_write,False,2,0.5015991926193237,0.4970080256462097,db_write;db_read;generate_report;process_refund;provision_vm,0.50159919;0.49700803;0.45127380;0.44317967;0.42384893
Standard,5,search for transaction #20891 in the database.,query_database,db_read,db_read,True,1,0.47806796431541443,0.47806796431541443,db_read;db_write;generate_report;process_refund;create_ticket,0.47806796;0.44475445;0.34098902;0.33782005;0.33022711
Standard,6,bring up Bob's account information.,query_database,db_read,update_subscription,False,4,0.2989724278450012,0.24512213468551636,update_subscription;send_notification;quarantine_system;db_read;provision_vm,0.29897243;0.25625560;0.25523090;0.24512213;0.23724447
Standard,7,search the database for Frank.,query_database,db_read,db_read,True,1,0.463081955909729,0.463081955909729,db_read;db_write;generate_report;send_notification;provision_vm,0.46308196;0.43221816;0.36120504;0.35346738;0.33571053
Standard,8,Please look up the record for Alice.,query_database,db_read,escalate_to_human,False,3,0.369205117225647,0.2950224280357361,escalate_to_human;db_write;db_read;generate_report;provision_vm,0.36920512;0.31020543;0.29502243;0.28793713;0.26793563
Standard,9,Please retrieve the entry for #60122.,query_database,db_read,generate_report,False,3,0.4701397120952606,0.462679922580719,generate_report;provision_vm;db_read;process_refund;db_write,0.47013971;0.46615088;0.46267992;0.45650071;0.44515100
Standard,10,Please retrieve information on Frank.,query_database,db_read,provision_vm,False,5,0.42245131731033325,0.39423972368240356,provision_vm;generate_report;send_notification;quarantine_system;db_read,0.42245132;0.41397697;0.40607795;0.40189710;0.39423972
Standard,11,Please check the database entry for Eve.,query_database,db_read,db_write,False,2,0.48506906628608704,0.4775533378124237,db_write;db_read;generate_report;send_notification;log_audit_event,0.48506907;0.47755334;0.31209040;0.28900275;0.28486404
Standard,12,Please fetch the record linked to #10234.,query_database,db_read,db_read,True,1,0.5252746343612671,0.5252746343612671,db_read;db_write;generate_report;process_refund;provision_vm,0.52527463;0.51068914;0.43506703;0.43464142;0.40504155
Standard,13,Please search for transaction #53698 in the database.,query_database,db_read,db_read,True,1,0.4890808165073395,0.4890808165073395,db_read;db_write;generate_report;provision_vm;reset_password,0.48908082;0.46448952;0.33378324;0.31190416;0.31129694
Standard,14,Please bring up Diana's account information.,query_database,db_read,db_read,True,1,0.4031889736652374,0.4031889736652374,db_read;db_write;generate_report;provision_vm;update_subscription,0.40318897;0.32061607;0.30886576;0.29910189;0.28801900
Standard,15,Please search the database for Alice.,query_database,db_read,db_read,True,1,0.3664943277835846,0.3664943277835846,db_read;db_write;escalate_to_human;generate_report;send_notification,0.36649433;0.36434636;0.29577520;0.25602233;0.23852487
Standard,16,Can you look up the record for Alice?,query_database,db_read,db_read,True,1,0.36938756704330444,0.36938756704330444,db_read;escalate_to_human;db_write;generate_report;provision_vm,0.36938757;0.35574311;0.33921018;0.31471634;0.29750365
Standard,17,Can you pull Bob's account details?,query_database,db_read,db_read,True,1,0.3625587522983551,0.3625587522983551,db_read;update_subscription;reset_password;scan_malware;send_notification,0.36255875;0.34203923;0.31565657;0.29143900;0.28768450
Standard,18,Can you check the database for #53698?,query_database,db_read,db_read,True,1,0.5489431619644165,0.5489431619644165,db_read;db_write;generate_report;provision_vm;send_notification,0.54894316;0.48770607;0.37211984;0.35062844;0.33979338
Standard,19,Can you pull the details associated with #53698?,query_database,db_read,generate_report,False,3,0.49275103211402893,0.48265978693962097,generate_report;provision_vm;db_read;process_refund;create_ticket,0.49275103;0.48794800;0.48265979;0.46657112;0.45433658
Standard,20,Can you fetch Alice's profile from the database?,query_database,db_read,db_read,True,1,0.37482160329818726,0.37482160329818726,db_read;db_write;scan_malware;send_notification;provision_vm,0.37482160;0.25547415;0.20703702;0.20096847;0.19318426
Standard,21,Can you read the record tied to Eve?,query_database,db_read,db_write,False,2,0.4004741609096527,0.3453518748283386,db_write;db_read;generate_report;escalate_to_human;provision_vm,0.40047416;0.34535187;0.31658286;0.29329637;0.28709710
Standard,22,Can you bring up the database entry for #20891?,query_database,db_read,db_write,False,2,0.572045624256134,0.5532464385032654,db_write;db_read;generate_report;provision_vm;process_refund,0.57204562;0.55324644;0.48022923;0.46709573;0.42414975
Standard,23,Can you read back the data for #60122?,query_database,db_read,db_read,True,1,0.5349457263946533,0.5349457263946533,db_read;db_write;generate_report;provision_vm;send_notification,0.53494573;0.46938616;0.40189382;0.38344103;0.37978297
Standard,24,Could you look up the record for #60122 for me?,query_database,db_read,db_read,True,1,0.426239550113678,0.426239550113678,db_read;db_write;generate_report;process_refund;provision_vm,0.42623955;0.39247417;0.38740057;0.35717496;0.34924531
Standard,25,Could you pull Frank's account details for me?,query_database,db_read,update_subscription,False,4,0.4448493421077728,0.4092230200767517,update_subscription;send_notification;generate_report;db_read;provision_vm,0.44484934;0.42820832;0.41189605;0.40922302;0.40482834
Standard,26,Could you retrieve information on Eve for me?,query_database,db_read,db_read,True,1,0.42082899808883667,0.42082899808883667,db_read;db_write;log_audit_event;generate_report;send_notification,0.42082900;0.38351616;0.35254699;0.31741324;0.30256575
Standard,27,Could you check the database entry for Diana for me?,query_database,db_read,db_read,True,1,0.551643431186676,0.551643431186676,db_read;db_write;generate_report;send_notification;provision_vm,0.55164343;0.49181908;0.37666899;0.32499155;0.31830779
Standard,28,Could you fetch the record linked to #20891 for me?,query_database,db_read,db_write,False,2,0.540950357913971,0.5228272676467896,db_write;db_read;generate_report;provision_vm;create_ticket,0.54095036;0.52282727;0.49760348;0.45362806;0.45257521
Standard,29,Could you search for transaction #42017 in the database for me?,query_database,db_read,db_read,True,1,0.5213529467582703,0.5213529467582703,db_read;db_write;generate_report;provision_vm;log_audit_event,0.52135295;0.49641705;0.38366312;0.34592438;0.34525454
Standard,30,Could you bring up the database entry for #31450 for me?,query_database,db_read,db_write,False,2,0.5450125336647034,0.5428046584129333,db_write;db_read;generate_report;provision_vm;send_notification,0.54501253;0.54280466;0.44649708;0.41585770;0.40892455
Standard,31,Could you read back the data for #10234 for me?,query_database,db_read,db_read,True,1,0.5527856945991516,0.5527856945991516,db_read;db_write;generate_report;send_notification;check_status,0.55278569;0.49188522;0.43851221;0.41996038;0.40247309
