,db_read,db_write,reset_password,create_ticket,send_notification,quarantine_system,scan_malware,generate_report,process_refund,update_subscription,provision_vm,restart_service,check_status,escalate_to_human,log_audit_event
db_read,16,4,0,0,0,0,0,8,0,0,0,0,0,1,1
db_write,0,5,1,0,0,0,0,5,0,0,13,3,0,2,1
reset_password,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
create_ticket,0,0,0,5,9,0,0,15,0,0,0,0,0,1,0
send_notification,0,0,0,0,11,0,0,3,0,0,5,0,0,11,0
quarantine_system,0,0,3,0,0,5,15,0,5,0,2,0,0,0,0
scan_malware,5,0,0,0,0,1,24,0,0,0,0,0,0,0,0
generate_report,0,3,0,0,0,0,0,27,0,0,0,0,0,0,0
process_refund,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
update_subscription,0,0,0,0,0,0,0,1,3,26,0,0,0,0,0
provision_vm,0,2,0,1,0,0,0,0,1,0,21,5,0,0,0
restart_service,0,4,3,0,0,0,0,2,9,0,4,8,0,0,0
check_status,2,1,0,0,0,0,11,14,0,0,0,0,0,0,2
escalate_to_human,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
log_audit_event,0,3,0,6,0,0,0,10,0,3,0,0,0,6,2
