query_id,query,ground_truth,taxonomy_name,predicted_tool,selected_branch,correct,branch_correct,latency_s,prompt_tokens,completion_tokens,total_tokens,error
0,Query payment-api-03 to see if it's still alive.,check_status,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,False,False,7.770767499998328,394,24,418,
1,Look up how staging-db-02 is performing.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9985448000006727,382,22,404,
2,Scan payment-api-03 -- is it healthy?,check_status,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,False,False,2.105647399992449,388,24,412,
3,Look up how cdn-edge-06 is performing.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9790615999954753,384,22,406,
4,Query auth-svc-04 to see if it's still alive.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.0544410000002244,390,22,412,
5,Look up how auth-svc-04 is performing.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.02322510000522,384,22,406,
6,Look up how prod-web-01 is performing.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.79665899999236,382,22,404,
7,Look up how payment-api-03 is performing.,check_status,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,False,False,2.7370270999890636,388,24,412,
8,Look up how ml-infer-05 is performing.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.7758672999989358,384,22,406,
9,Scan auth-svc-04 -- is it healthy?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.847708599998441,384,22,406,
10,Query prod-web-01 to see if it's still alive.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.831014099996537,388,22,410,
11,Scan staging-db-02 -- is it healthy?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.8827405000047293,382,22,404,
12,Query staging-db-02 to see if it's still alive.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.8663951000053203,388,22,410,
13,Scan ml-infer-05 -- is it healthy?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.8157609999980195,384,22,406,
14,Scan prod-web-01 -- is it healthy?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.74583210000128,382,22,404,
15,Query ml-infer-05 to see if it's still alive.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.550497099997301,390,22,412,
16,Scan cdn-edge-06 -- is it healthy?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.603313399995386,384,22,406,
17,Query cdn-edge-06 to see if it's still alive.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.770973899998353,390,22,412,
18,Scan payment-api-03 -- is it healthy?,check_status,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,False,False,2.6972329999989597,388,24,412,
19,Scan prod-web-01 -- is it healthy?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.7481259999985923,382,22,404,
20,Query cdn-edge-06 to see if it's still alive.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.60335589999886,390,22,412,
21,Look up how cdn-edge-06 is performing.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.25495249999949,384,22,406,
22,Scan prod-web-01 -- is it healthy?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.0544884000046295,382,22,404,
23,Scan cdn-edge-06 -- is it healthy?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.074854899998172,384,22,406,
24,Look up how prod-web-01 is performing.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,1.9949765999990632,382,22,404,
25,Scan payment-api-03 -- is it healthy?,check_status,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,False,False,2.080584199997247,388,24,412,
26,Query payment-api-03 to see if it's still alive.,check_status,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,False,False,2.131031700002495,394,24,418,
27,Scan cdn-edge-06 -- is it healthy?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.398882700006652,384,22,406,
28,Query payment-api-03 to see if it's still alive.,check_status,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,False,False,2.376559399999678,394,24,418,
29,Query prod-web-01 to see if it's still alive.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.0200557999996818,388,22,410,
30,Notify the team by creating a formal issue for cdn-edge-06.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,1.9868285999982618,392,23,415,
31,Log Diana's complaint so we can follow up.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,1.9946911000006367,382,23,405,
32,Log Frank's complaint so we can follow up.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,1.9590487000023131,382,23,405,
33,Send a record of this problem to the tracking system.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,2.0601880000031088,384,22,406,
34,Notify the team by creating a formal issue for ml-infer-05.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,2.045000699996308,392,23,415,
35,Notify the team by creating a formal issue for payment-api-03.,create_ticket,Semantic Taxonomy (Baseline),send_notification,Billing & Data Management,False,False,2.140943200000038,396,25,421,
36,Log Grace's complaint so we can follow up.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,1.9348863999912282,382,23,405,
37,Notify the team by creating a formal issue for staging-db-02.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,2.0463684999995166,390,23,413,
38,Notify the team by creating a formal issue for auth-svc-04.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,1.9603228999985731,392,23,415,
39,Notify the team by creating a formal issue for prod-web-01.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,1.923324199997296,390,22,412,
40,Log Charlie's complaint so we can follow up.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,1.9310718000051565,382,23,405,
41,Log Eve's complaint so we can follow up.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,2.0155808000054094,382,23,405,
42,Log Bob's complaint so we can follow up.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,1.9682496000023093,382,23,405,
43,Log Alice's complaint so we can follow up.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,1.9525653000018792,382,23,405,
44,Log Bob's complaint so we can follow up.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,1.949105799998506,382,23,405,
45,Log Diana's complaint so we can follow up.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,1.9640424000026542,382,23,405,
46,Log Eve's complaint so we can follow up.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,1.9275052000011783,382,23,405,
47,Notify the team by creating a formal issue for cdn-edge-06.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,2.0314260000086506,392,23,415,
48,Send a record of this problem to the tracking system.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,1.9351509000043734,384,22,406,
49,Send a record of this problem to the tracking system.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,1.8878065000026254,384,22,406,
50,Notify the team by creating a formal issue for cdn-edge-06.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,1.9233249999961117,392,23,415,
51,Notify the team by creating a formal issue for auth-svc-04.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,1.9432016999999178,392,23,415,
52,Log Charlie's complaint so we can follow up.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,1.9196514999930514,382,23,405,
53,Log Frank's complaint so we can follow up.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,2.0117754000020796,382,23,405,
54,Send a record of this problem to the tracking system.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,1.9902958999955445,384,22,406,
55,Send a record of this problem to the tracking system.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,2.0370220999975572,384,22,406,
56,Send a record of this problem to the tracking system.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,1.968045900008292,384,22,406,
57,Send a record of this problem to the tracking system.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,1.9371708999969997,384,22,406,
58,Send a record of this problem to the tracking system.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,1.929435600002762,384,22,406,
59,Send a record of this problem to the tracking system.,create_ticket,Semantic Taxonomy (Baseline),create_ticket,IT Support,True,True,1.99790159999975,384,22,406,
