condition,row_index,query,ground_truth_raw,ground_truth_tool,predicted_tool,correct,rank,top1_cosine,ground_truth_cosine,top5_tools,top5_cosines,source_row_id,generation_type,confusable_with
Confusable,0,Query payment-api-03 to see if it's still alive.,check_status,check_status,check_status,True,1,0.25329384207725525,0.25329384207725525,check_status;db_read;log_audit_event;process_refund;quarantine_system,0.25329384;0.22059490;0.21425317;0.20023714;0.19786985,-1,confusable_intent,query_database
Confusable,1,Look up how staging-db-02 is performing.,check_status,check_status,db_read,False,3,0.3953436017036438,0.2871999144554138,db_read;db_write;check_status;generate_report;send_notification,0.39534360;0.37830526;0.28719991;0.24118370;0.23657072,-1,confusable_intent,query_database
Confusable,2,Scan payment-api-03 -- is it healthy?,check_status,check_status,scan_malware,False,4,0.18233969807624817,0.10285044461488724,scan_malware;log_audit_event;quarantine_system;check_status;escalate_to_human,0.18233970;0.10787115;0.10289060;0.10285044;0.07630759,-1,confusable_intent,scan_malware
Confusable,3,Look up how cdn-edge-06 is performing.,check_status,check_status,check_status,True,1,0.3058267831802368,0.3058267831802368,check_status;log_audit_event;process_refund;generate_report;db_read,0.30582678;0.27381134;0.26125449;0.26062411;0.26055464,-1,confusable_intent,query_database
Confusable,4,Query auth-svc-04 to see if it's still alive.,check_status,check_status,log_audit_event,False,4,0.19967935979366302,0.14671669900417328,log_audit_event;restart_service;reset_password;check_status;quarantine_system,0.19967936;0.17793310;0.17371976;0.14671670;0.14398436,-1,confusable_intent,query_database
Confusable,5,Look up how auth-svc-04 is performing.,check_status,check_status,log_audit_event,False,6,0.28856581449508667,0.22161729633808136,log_audit_event;reset_password;quarantine_system;scan_malware;process_refund,0.28856581;0.24949372;0.24349335;0.23583561;0.22822878,-1,confusable_intent,query_database
Confusable,6,Look up how prod-web-01 is performing.,check_status,check_status,quarantine_system,False,7,0.42922499775886536,0.36754223704338074,quarantine_system;log_audit_event;scan_malware;generate_report;process_refund,0.42922500;0.41724983;0.41701201;0.41476500;0.41033736,-1,confusable_intent,query_database
Confusable,7,Look up how payment-api-03 is performing.,check_status,check_status,check_status,True,1,0.3399493992328644,0.3399493992328644,check_status;log_audit_event;quarantine_system;process_refund;db_read,0.33994940;0.33909002;0.32093433;0.30651131;0.29330567,-1,confusable_intent,query_database
Confusable,8,Look up how ml-infer-05 is performing.,check_status,check_status,log_audit_event,False,6,0.3198153078556061,0.2816851735115051,log_audit_event;db_read;process_refund;quarantine_system;generate_report,0.31981531;0.30360940;0.29488578;0.29138011;0.28473189,-1,confusable_intent,query_database
Confusable,9,Scan auth-svc-04 -- is it healthy?,check_status,check_status,scan_malware,False,9,0.2145797312259674,0.023701917380094528,scan_malware;reset_password;log_audit_event;quarantine_system;escalate_to_human,0.21457973;0.13493668;0.10914746;0.08570846;0.07003643,-1,confusable_intent,scan_malware
Confusable,10,Query prod-web-01 to see if it's still alive.,check_status,check_status,quarantine_system,False,8,0.34346798062324524,0.2770102024078369,quarantine_system;scan_malware;process_refund;db_read;log_audit_event,0.34346798;0.33205739;0.32380837;0.31141013;0.30422041,-1,confusable_intent,query_database
Confusable,11,Scan staging-db-02 -- is it healthy?,check_status,check_status,db_read,False,4,0.1187385767698288,0.03485392406582832,db_read;db_write;scan_malware;check_status;restart_service,0.11873858;0.11371402;0.07717762;0.03485392;0.02522696,-1,confusable_intent,scan_malware
Confusable,12,Query staging-db-02 to see if it's still alive.,check_status,check_status,db_read,False,3,0.32517239451408386,0.20398852229118347,db_read;db_write;check_status;restart_service;generate_report,0.32517239;0.29365629;0.20398852;0.18001555;0.14248449,-1,confusable_intent,query_database
Confusable,13,Scan ml-infer-05 -- is it healthy?,check_status,check_status,scan_malware,False,9,0.1809115707874298,0.0379229411482811,scan_malware;db_write;log_audit_event;quarantine_system;send_notification,0.18091157;0.09785617;0.07166342;0.07014073;0.06566570,-1,confusable_intent,scan_malware
Confusable,14,Scan prod-web-01 -- is it healthy?,check_status,check_status,scan_malware,False,10,0.3619065582752228,0.1309974193572998,scan_malware;quarantine_system;generate_report;log_audit_event;send_notification,0.36190656;0.23981458;0.19037995;0.17874998;0.17231905,-1,confusable_intent,scan_malware
Confusable,15,Query ml-infer-05 to see if it's still alive.,check_status,check_status,db_read,False,5,0.26958560943603516,0.21944351494312286,db_read;db_write;quarantine_system;process_refund;check_status,0.26958561;0.23652405;0.22294869;0.22044319;0.21944351,-1,confusable_intent,query_database
Confusable,16,Scan cdn-edge-06 -- is it healthy?,check_status,check_status,scan_malware,False,2,0.1298825889825821,0.06994740664958954,scan_malware;check_status;quarantine_system;escalate_to_human;send_notification,0.12988259;0.06994741;0.04867508;0.04710098;0.04094424,-1,confusable_intent,scan_malware
Confusable,17,Query cdn-edge-06 to see if it's still alive.,check_status,check_status,check_status,True,1,0.321816086769104,0.321816086769104,check_status;db_read;quarantine_system;process_refund;send_notification,0.32181609;0.27935842;0.27615651;0.25923735;0.25709972,-1,confusable_intent,query_database
Confusable,18,Scan payment-api-03 -- is it healthy?,check_status,check_status,scan_malware,False,4,0.18233969807624817,0.10285044461488724,scan_malware;log_audit_event;quarantine_system;check_status;escalate_to_human,0.18233970;0.10787115;0.10289060;0.10285044;0.07630759,-1,confusable_intent,scan_malware
Confusable,19,Scan prod-web-01 -- is it healthy?,check_status,check_status,scan_malware,False,10,0.3619065582752228,0.1309974193572998,scan_malware;quarantine_system;generate_report;log_audit_event;send_notification,0.36190656;0.23981458;0.19037995;0.17874998;0.17231905,-1,confusable_intent,scan_malware
Confusable,20,Query cdn-edge-06 to see if it's still alive.,check_status,check_status,check_status,True,1,0.321816086769104,0.321816086769104,check_status;db_read;quarantine_system;process_refund;send_notification,0.32181609;0.27935842;0.27615651;0.25923735;0.25709972,-1,confusable_intent,query_database
