query,gt_tool,rank_of_one_node,top1_is_one_node,top1_dag_text,top1_cosine,gt_cosine
Can you bring up the database entry for #20891?,db_read,2,True,db_write,0.647586464881897,0.6224532723426819
Do me a favor and let's commit the legal configuration update.,db_write,2,True,update_subscription,0.5937642455101013,0.5855540633201599
log a helpdesk issue for Bob.,create_ticket,2,True,log_audit_event,0.6476337909698486,0.5622726678848267
"Hey, can you log a helpdesk issue for bob.",create_ticket,2,True,log_audit_event,0.6607687473297119,0.6000851988792419
Is it possible to log a helpdesk issue for bob?,create_ticket,3,True,log_audit_event,0.6457077860832214,0.5500456690788269
It would help if log a helpdesk issue for bob.,create_ticket,2,True,log_audit_event,0.6363298892974854,0.6232690215110779
Could you please log a helpdesk issue for bob.,create_ticket,2,True,log_audit_event,0.6330593824386597,0.5593451261520386
Please log an issue against staging-db-02.,create_ticket,2,True,log_audit_event,0.5913827419281006,0.5861089825630188
Could you please log an issue against staging-db-02.,create_ticket,2,True,log_audit_event,0.6010018587112427,0.5858725309371948
Is it possible to log an issue against staging-db-02?,create_ticket,2,True,log_audit_event,0.6393693089485168,0.5391384363174438
What we need is for log an issue against staging-db-02.,create_ticket,2,True,log_audit_event,0.6302180290222168,0.6289414763450623
Could you log a helpdesk issue for Frank for me?,create_ticket,3,True,log_audit_event,0.6453334093093872,0.5564260482788086
Gonna need you to log a helpdesk issue for frank for me.,create_ticket,2,True,log_audit_event,0.6882678866386414,0.571281373500824
Could someone log a helpdesk issue for frank for me?,create_ticket,3,True,log_audit_event,0.6290050745010376,0.5356093645095825
I'd appreciate it if you could log a helpdesk issue for frank for me.,create_ticket,2,True,log_audit_event,0.6714287996292114,0.6040728688240051
log a helpdesk issue for frank for me -- that's what needs to happen.,create_ticket,2,True,log_audit_event,0.6675078272819519,0.635572075843811
Could you create a service request for auth-svc-04 for me?,create_ticket,3,True,restart_service,0.6842190027236938,0.5466650724411011
Could someone create a service request for auth-svc-04 for me?,create_ticket,3,True,restart_service,0.6674525141716003,0.5341638922691345
I'd appreciate it if you could create a service request for auth-svc-04 for me.,create_ticket,2,True,restart_service,0.681016743183136,0.5874608159065247
Need you to create a service request for auth-svc-04 for me.,create_ticket,3,True,restart_service,0.6676972508430481,0.5243233442306519
