query,ground_truth,class_id,intent_family,wrapper_family
obtain the current account information for Zara,db_read,0,0,0
Please handle this: obtain the current account information for Mateo,db_read,0,0,1
Can someone take care of this: obtain the current account information for Noor,db_read,0,0,2
This needs attention: obtain the current account information for Inez,db_read,0,0,3
The requested operation is: obtain the current account information for Kofi,db_read,0,0,4
"For the current case, obtain the current account information for Zara",db_read,0,0,5
Could the system do the following: obtain the current account information for Mateo,db_read,0,0,6
The user needs us to obtain the current account information for Noor,db_read,0,0,7
Operational request: obtain the current account information for Inez,db_read,0,0,8
Complete this task safely: obtain the current account information for Kofi,db_read,0,0,9
return what is presently stored under record REC-884,db_read,0,1,0
Please handle this: return what is presently stored under record REC-926,db_read,0,1,1
Can someone take care of this: return what is presently stored under record REC-447,db_read,0,1,2
This needs attention: return what is presently stored under record REC-518,db_read,0,1,3
The requested operation is: return what is presently stored under record REC-731,db_read,0,1,4
"For the current case, return what is presently stored under record REC-884",db_read,0,1,5
Could the system do the following: return what is presently stored under record REC-926,db_read,0,1,6
The user needs us to return what is presently stored under record REC-447,db_read,0,1,7
Operational request: return what is presently stored under record REC-518,db_read,0,1,8
Complete this task safely: return what is presently stored under record REC-731,db_read,0,1,9
inspect transaction ORD-935 without changing its data,db_read,0,2,0
Please handle this: inspect transaction ORD-406 without changing its data,db_read,0,2,1
Can someone take care of this: inspect transaction ORD-529 without changing its data,db_read,0,2,2
This needs attention: inspect transaction ORD-711 without changing its data,db_read,0,2,3
The requested operation is: inspect transaction ORD-842 without changing its data,db_read,0,2,4
"For the current case, inspect transaction ORD-935 without changing its data",db_read,0,2,5
Could the system do the following: inspect transaction ORD-406 without changing its data,db_read,0,2,6
The user needs us to inspect transaction ORD-529 without changing its data,db_read,0,2,7
Operational request: inspect transaction ORD-711 without changing its data,db_read,0,2,8
Complete this task safely: inspect transaction ORD-842 without changing its data,db_read,0,2,9
show the saved profile details associated with Zara,db_read,0,3,0
Please handle this: show the saved profile details associated with Mateo,db_read,0,3,1
Can someone take care of this: show the saved profile details associated with Noor,db_read,0,3,2
This needs attention: show the saved profile details associated with Inez,db_read,0,3,3
The requested operation is: show the saved profile details associated with Kofi,db_read,0,3,4
"For the current case, show the saved profile details associated with Zara",db_read,0,3,5
Could the system do the following: show the saved profile details associated with Mateo,db_read,0,3,6
The user needs us to show the saved profile details associated with Noor,db_read,0,3,7
Operational request: show the saved profile details associated with Inez,db_read,0,3,8
