canonical_dag_hash,graph_key,dag_text,tools,edges,tool_count,edge_count,read_count,edit_count,orchestrate_count,action_label,included_primary,source_files,declared_splits
a6ef3b9403982ff1,4cb5f6d054ff6678,"create_support_ticket -> read_subscription_status, read_database_record -> read_user_profile, read_subscription_status -> check_service_status, read_user_profile -> create_support_ticket",read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,0->1;1->2;2->3;3->4,5,4,4,1,0,read,True,train.csv,train
cdd682465be2d441,fecca842d533ed18,"create_support_ticket -> check_service_status, create_support_ticket -> read_subscription_status, read_database_record -> create_support_ticket, read_user_profile -> create_support_ticket",read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,0->2;1->2;2->3;2->4,5,4,4,1,0,read,True,train.csv,train
d28222f94940565f,377c3e0046888fc0,"read_database_record -> create_support_ticket, read_database_record -> read_subscription_status, read_database_record -> read_user_profile, read_subscription_status -> check_service_status",read_database_record;read_user_profile;create_support_ticket;read_subscription_status;check_service_status,0->1;0->2;0->3;3->4,5,4,4,1,0,read,True,train.csv,train
4de18802d22fce97,71468b87ec33252c,"create_support_ticket -> read_database_record, read_access_logs -> create_support_ticket",read_access_logs;create_support_ticket;read_database_record,0->1;1->2,3,2,2,1,0,read,True,train.csv,train
5c482e4485817d4b,a2dd2c56229f6c69,"create_support_ticket -> reset_user_password, read_database_record -> update_subscription_plan, reset_user_password -> read_database_record, update_subscription_plan -> edit_username",create_support_ticket;reset_user_password;read_database_record;update_subscription_plan;edit_username,0->1;1->2;2->3;3->4,5,4,1,4,0,edit,True,train.csv,train
1fbb33aa36eb6249,fec930db061194f7,"create_support_ticket -> reset_user_password, read_database_record -> update_subscription_plan, reset_user_password -> edit_username, update_subscription_plan -> edit_username",create_support_ticket;reset_user_password;read_database_record;update_subscription_plan;edit_username,0->1;1->4;2->3;3->4,5,4,1,4,0,edit,True,train.csv,train
4c2820922a5eff80,88aa034161125e9e,"create_support_ticket -> read_database_record, create_support_ticket -> reset_user_password, create_support_ticket -> update_subscription_plan, update_subscription_plan -> edit_username",create_support_ticket;reset_user_password;read_database_record;update_subscription_plan;edit_username,0->1;0->2;0->3;3->4,5,4,1,4,0,edit,True,train.csv,train
81fb0b7c6b74cee1,e3c8138895f3ac4d,"read_database_record -> check_service_status, read_user_profile -> read_database_record",read_user_profile;read_database_record;check_service_status,0->1;1->2,3,2,3,0,0,read,True,train.csv,train
707ff5d244177886,7c110351e6b51fd9,"read_user_profile -> check_service_status, read_user_profile -> read_database_record",read_user_profile;read_database_record;check_service_status,0->1;0->2,3,2,3,0,0,read,True,train.csv,train
d688371ecb972ef9,fdc00d941b94856c,"read_database_record -> check_service_status, read_user_profile -> check_service_status",read_user_profile;read_database_record;check_service_status,0->2;1->2,3,2,3,0,0,read,True,train.csv,train
fee1dbdc8bd7e651,9c8a67cc764d596b,"reset_user_password -> read_user_profile, update_subscription_plan -> read_user_profile",reset_user_password;update_subscription_plan;read_user_profile,0->2;1->2,3,2,1,2,0,edit,True,train.csv,train
579521f089402773,2753eafc45960c0b,"check_service_status -> create_support_ticket, create_support_ticket -> restart_service, escalate_case_to_human -> reset_user_password, restart_service -> escalate_case_to_human",check_service_status;create_support_ticket;restart_service;escalate_case_to_human;reset_user_password,0->1;1->2;2->3;3->4,5,4,1,3,1,edit,True,train.csv,train
d4fec711744734d5,fd04d7bfb892f94a,"check_service_status -> restart_service, create_support_ticket -> restart_service, restart_service -> escalate_case_to_human, restart_service -> reset_user_password",check_service_status;create_support_ticket;restart_service;escalate_case_to_human;reset_user_password,0->2;1->2;2->3;2->4,5,4,1,3,1,edit,True,train.csv,train
2c1cc44a35684c9c,0adfa8dc814eed12,"check_service_status -> create_support_ticket, create_support_ticket -> reset_user_password, escalate_case_to_human -> reset_user_password, restart_service -> escalate_case_to_human",check_service_status;create_support_ticket;restart_service;escalate_case_to_human;reset_user_password,0->1;1->4;2->3;3->4,5,4,1,3,1,edit,True,train.csv,train
cd0e729831c63a49,a5709800cb026a68,"check_service_status -> create_support_ticket, check_service_status -> escalate_case_to_human, check_service_status -> restart_service, escalate_case_to_human -> reset_user_password",check_service_status;create_support_ticket;restart_service;escalate_case_to_human;reset_user_password,0->1;0->2;0->3;3->4,5,4,1,3,1,edit,True,train.csv,train
40379047431bf609,84e1839d7a0336f3,"check_service_status -> read_subscription_status, check_service_status -> update_subscription_plan, check_service_status -> write_database_record",check_service_status;write_database_record;update_subscription_plan;read_subscription_status,0->1;0->2;0->3,4,3,2,2,0,mixed,False,train.csv,train
f25b58a6afc7d98d,cd5a09117cfb1e56,"check_service_status -> read_subscription_status, update_subscription_plan -> read_subscription_status, write_database_record -> read_subscription_status",check_service_status;write_database_record;update_subscription_plan;read_subscription_status,0->3;1->3;2->3,4,3,2,2,0,mixed,False,train.csv,train
1ebdc98d377a1a9a,ff8a32c889def0e6,"dispatch_message_to_usergroup -> read_access_logs, dispatch_message_to_usergroup -> route_task_by_condition",dispatch_message_to_usergroup;route_task_by_condition;read_access_logs,0->1;0->2,3,2,1,0,2,orchestrate,True,train.csv,train
8b78c39c577eb04a,fa160d5fe8f81d88,"edit_username -> read_subscription_status, read_subscription_status -> check_service_status, read_subscription_status -> read_access_logs, scan_system_for_malware -> read_subscription_status",edit_username;scan_system_for_malware;read_subscription_status;read_access_logs;check_service_status,0->2;1->2;2->3;2->4,5,4,4,1,0,read,True,train.csv,train
1cb9c050292959ee,9d9dccf3e2c33b0e,"edit_username -> scan_system_for_malware, read_access_logs -> check_service_status, read_subscription_status -> read_access_logs, scan_system_for_malware -> check_service_status",edit_username;scan_system_for_malware;read_subscription_status;read_access_logs;check_service_status,0->1;1->4;2->3;3->4,5,4,4,1,0,read,True,train.csv,train
a8759b78d47f49c2,40be9bd7061beed2,"edit_username -> read_access_logs, edit_username -> read_subscription_status, edit_username -> scan_system_for_malware, read_access_logs -> check_service_status",edit_username;scan_system_for_malware;read_subscription_status;read_access_logs;check_service_status,0->1;0->2;0->3;3->4,5,4,4,1,0,read,True,train.csv,train
74571a366640b2dc,be3ac8f220f8614f,"read_database_record -> edit_username, read_database_record -> escalate_case_to_human, read_database_record -> route_task_by_condition",read_database_record;route_task_by_condition;edit_username;escalate_case_to_human,0->1;0->2;0->3,4,3,1,1,2,orchestrate,True,train.csv,train
edb81dd2be8c4cb5,94995248dbf2590d,"edit_username -> escalate_case_to_human, read_database_record -> escalate_case_to_human, route_task_by_condition -> escalate_case_to_human",read_database_record;route_task_by_condition;edit_username;escalate_case_to_human,0->3;1->3;2->3,4,3,1,1,2,orchestrate,True,train.csv,train
49032e4d0c846f8e,a7c893590b61a608,"escalate_case_to_human -> scan_system_for_malware, scan_system_for_malware -> update_subscription_plan, update_subscription_plan -> read_subscription_status",escalate_case_to_human;scan_system_for_malware;update_subscription_plan;read_subscription_status,0->1;1->2;2->3,4,3,2,1,1,read,True,train.csv,train
1a7e059abe71f5f3,a7441fb28de5711b,"escalate_case_to_human -> read_subscription_status, escalate_case_to_human -> scan_system_for_malware, escalate_case_to_human -> update_subscription_plan",escalate_case_to_human;scan_system_for_malware;update_subscription_plan;read_subscription_status,0->1;0->2;0->3,4,3,2,1,1,read,True,train.csv,train
a7845e4393113e90,3de1c21397c52884,"escalate_case_to_human -> read_subscription_status, scan_system_for_malware -> read_subscription_status, update_subscription_plan -> read_subscription_status",escalate_case_to_human;scan_system_for_malware;update_subscription_plan;read_subscription_status,0->3;1->3;2->3,4,3,2,1,1,read,True,train.csv,train
a78215617346b9b0,67628087310d10bc,"escalate_case_to_human -> update_subscription_plan, scan_system_for_malware -> update_subscription_plan, update_subscription_plan -> read_subscription_status",escalate_case_to_human;scan_system_for_malware;update_subscription_plan;read_subscription_status,0->2;1->2;2->3,4,3,2,1,1,read,True,train.csv,train
42d58a87e9c829ba,5c489736d0550966,"create_support_ticket -> write_database_record, write_database_record -> reset_user_password",create_support_ticket;write_database_record;reset_user_password,0->1;1->2,3,2,0,3,0,edit,True,train.csv,train
37c9a19cbc5ed7df,b087c3b01d3392a8,"create_support_ticket -> reset_user_password, create_support_ticket -> write_database_record",create_support_ticket;write_database_record;reset_user_password,0->1;0->2,3,2,0,3,0,edit,True,train.csv,train
8e4ebd60ae170640,4db5103969d7b8f5,"create_support_ticket -> reset_user_password, write_database_record -> reset_user_password",create_support_ticket;write_database_record;reset_user_password,0->2;1->2,3,2,0,3,0,edit,True,train.csv,train
eff88fd8c18a862f,b27d3cbde15e73ee,"edit_username -> read_database_record, route_task_by_condition -> edit_username",route_task_by_condition;edit_username;read_database_record,0->1;1->2,3,2,1,1,1,mixed,False,train.csv,train
bb85c3c2d1526e6c,0ae611dc63af721a,"escalate_case_to_human -> restart_service, read_subscription_status -> escalate_case_to_human, restart_service -> update_subscription_plan, update_subscription_plan -> scan_system_for_malware",read_subscription_status;escalate_case_to_human;restart_service;update_subscription_plan;scan_system_for_malware,0->1;1->2;2->3;3->4,5,4,2,2,1,mixed,False,train.csv,train
745a7d46f65ff0c7,5280f670f77a2b55,"escalate_case_to_human -> scan_system_for_malware, read_subscription_status -> escalate_case_to_human, restart_service -> update_subscription_plan, update_subscription_plan -> scan_system_for_malware",read_subscription_status;escalate_case_to_human;restart_service;update_subscription_plan;scan_system_for_malware,0->1;1->4;2->3;3->4,5,4,2,2,1,mixed,False,train.csv,train
a1f2f43d18a84319,8535608fa11a9865,"read_subscription_status -> escalate_case_to_human, read_subscription_status -> restart_service, read_subscription_status -> update_subscription_plan, update_subscription_plan -> scan_system_for_malware",read_subscription_status;escalate_case_to_human;restart_service;update_subscription_plan;scan_system_for_malware,0->1;0->2;0->3;3->4,5,4,2,2,1,mixed,False,train.csv,train
022ac2957b00a9f8,63822a96fce22c67,"check_service_status -> create_support_ticket, create_support_ticket -> read_database_record, read_database_record -> read_user_profile, read_user_profile -> restart_service",check_service_status;create_support_ticket;read_database_record;read_user_profile;restart_service,0->1;1->2;2->3;3->4,5,4,3,2,0,read,True,train.csv,train
46cdbba07c6cd6ea,583aec74cf5cb0dc,"check_service_status -> create_support_ticket, create_support_ticket -> restart_service, read_database_record -> read_user_profile, read_user_profile -> restart_service",check_service_status;create_support_ticket;read_database_record;read_user_profile;restart_service,0->1;1->4;2->3;3->4,5,4,3,2,0,read,True,train.csv,train
715d26c3240e88d0,b1ede153fced04f7,"dispatch_message_to_usergroup -> read_database_record, read_subscription_status -> read_database_record",dispatch_message_to_usergroup;read_subscription_status;read_database_record,0->2;1->2,3,2,2,0,1,read,True,train.csv,train
d9e4b661f1083e62,38975f32522232ff,"escalate_case_to_human -> read_database_record, read_database_record -> edit_username",escalate_case_to_human;read_database_record;edit_username,0->1;1->2,3,2,1,1,1,mixed,False,train.csv,train
6b3725fa009acc7d,5a3af9fc27df7eea,"escalate_case_to_human -> edit_username, escalate_case_to_human -> read_database_record",escalate_case_to_human;read_database_record;edit_username,0->1;0->2,3,2,1,1,1,mixed,False,train.csv,train
9632c91c076852f0,c4a0a652232bb1d2,"escalate_case_to_human -> edit_username, read_database_record -> edit_username",escalate_case_to_human;read_database_record;edit_username,0->2;1->2,3,2,1,1,1,mixed,False,train.csv,train
2e50384de12f8911,d9d525f957f6788b,"restart_service -> scan_system_for_malware, scan_system_for_malware -> read_access_logs, write_database_record -> restart_service",write_database_record;restart_service;scan_system_for_malware;read_access_logs,0->1;1->2;2->3,4,3,2,2,0,mixed,False,train.csv,train
8e534881ee5d8ef3,4204fe691c145ed4,"write_database_record -> read_access_logs, write_database_record -> restart_service, write_database_record -> scan_system_for_malware",write_database_record;restart_service;scan_system_for_malware;read_access_logs,0->1;0->2;0->3,4,3,2,2,0,mixed,False,train.csv,train
e02ec54c3478ece4,e25548ad11294d51,"restart_service -> read_access_logs, scan_system_for_malware -> read_access_logs, write_database_record -> read_access_logs",write_database_record;restart_service;scan_system_for_malware;read_access_logs,0->3;1->3;2->3,4,3,2,2,0,mixed,False,train.csv,train
28136b5630b7f8b2,738ab26288f89e5d,"restart_service -> scan_system_for_malware, scan_system_for_malware -> read_access_logs, write_database_record -> scan_system_for_malware",write_database_record;restart_service;scan_system_for_malware;read_access_logs,0->2;1->2;2->3,4,3,2,2,0,mixed,False,train.csv,train
26e8b3c3559f9253,56955539ba45b971,"check_service_status -> restart_service, restart_service -> read_subscription_status, scan_system_for_malware -> check_service_status",scan_system_for_malware;check_service_status;restart_service;read_subscription_status,0->1;1->2;2->3,4,3,3,1,0,read,True,train.csv,train
5090a5642b63480c,a529fb64e94a21eb,"check_service_status -> restart_service, restart_service -> read_subscription_status, scan_system_for_malware -> restart_service",scan_system_for_malware;check_service_status;restart_service;read_subscription_status,0->2;1->2;2->3,4,3,3,1,0,read,True,train.csv,train
e7d926fe17568d8a,e39f39bac3154f1c,"escalate_case_to_human -> read_database_record, read_database_record -> update_subscription_plan, restart_service -> escalate_case_to_human, route_task_by_condition -> restart_service",route_task_by_condition;restart_service;escalate_case_to_human;read_database_record;update_subscription_plan,0->1;1->2;2->3;3->4,5,4,1,2,2,mixed,False,train.csv,train
08ef7b0ef358c73b,202606d9e67ca468,"escalate_case_to_human -> read_database_record, escalate_case_to_human -> update_subscription_plan, restart_service -> escalate_case_to_human, route_task_by_condition -> escalate_case_to_human",route_task_by_condition;restart_service;escalate_case_to_human;read_database_record;update_subscription_plan,0->2;1->2;2->3;2->4,5,4,1,2,2,mixed,False,train.csv,train
af0ce4298beb461c,c58ff46891e69303,"escalate_case_to_human -> read_database_record, read_database_record -> update_subscription_plan, restart_service -> update_subscription_plan, route_task_by_condition -> restart_service",route_task_by_condition;restart_service;escalate_case_to_human;read_database_record;update_subscription_plan,0->1;1->4;2->3;3->4,5,4,1,2,2,mixed,False,train.csv,train
3ef694a0dfd99752,f98e5439f47ba2be,"read_database_record -> update_subscription_plan, route_task_by_condition -> escalate_case_to_human, route_task_by_condition -> read_database_record, route_task_by_condition -> restart_service",route_task_by_condition;restart_service;escalate_case_to_human;read_database_record;update_subscription_plan,0->1;0->2;0->3;3->4,5,4,1,2,2,mixed,False,train.csv,train
797179ce50ac9bf1,a81be96913f76794,"check_service_status -> route_task_by_condition, create_support_ticket -> check_service_status, read_access_logs -> reset_user_password, reset_user_password -> create_support_ticket",read_access_logs;reset_user_password;create_support_ticket;check_service_status;route_task_by_condition,0->1;1->2;2->3;3->4,5,4,2,2,1,mixed,False,train.csv,train
2ff03e5fc966439b,b300f95cd94c01e4,"create_support_ticket -> check_service_status, create_support_ticket -> route_task_by_condition, read_access_logs -> create_support_ticket, reset_user_password -> create_support_ticket",read_access_logs;reset_user_password;create_support_ticket;check_service_status;route_task_by_condition,0->2;1->2;2->3;2->4,5,4,2,2,1,mixed,False,train.csv,train
11108c5cdda56880,58f4fcb34376c6fa,"check_service_status -> route_task_by_condition, create_support_ticket -> check_service_status, read_access_logs -> reset_user_password, reset_user_password -> route_task_by_condition",read_access_logs;reset_user_password;create_support_ticket;check_service_status;route_task_by_condition,0->1;1->4;2->3;3->4,5,4,2,2,1,mixed,False,train.csv,train
320b2d4178b1da14,fe37201407c68f5d,"check_service_status -> route_task_by_condition, read_access_logs -> check_service_status, read_access_logs -> create_support_ticket, read_access_logs -> reset_user_password",read_access_logs;reset_user_password;create_support_ticket;check_service_status;route_task_by_condition,0->1;0->2;0->3;3->4,5,4,2,2,1,mixed,False,train.csv,train
84376a9df76d91ee,0406ef64630d5299,"edit_username -> read_subscription_status, read_subscription_status -> restart_service, restart_service -> create_support_ticket",edit_username;read_subscription_status;restart_service;create_support_ticket,0->1;1->2;2->3,4,3,1,3,0,edit,True,train.csv,train
5d2288f8d4569e0b,051c3059c88e9a57,"edit_username -> restart_service, read_subscription_status -> restart_service, restart_service -> create_support_ticket",edit_username;read_subscription_status;restart_service;create_support_ticket,0->2;1->2;2->3,4,3,1,3,0,edit,True,train.csv,train
15a663ab3a69cfd5,d457bf8c7119383e,"check_service_status -> restart_service, read_user_profile -> route_task_by_condition, restart_service -> scan_system_for_malware, scan_system_for_malware -> read_user_profile",check_service_status;restart_service;scan_system_for_malware;read_user_profile;route_task_by_condition,0->1;1->2;2->3;3->4,5,4,3,1,1,read,True,train.csv,train
6028909955b850db,1d5e8322907a3b7d,"check_service_status -> scan_system_for_malware, restart_service -> scan_system_for_malware, scan_system_for_malware -> read_user_profile, scan_system_for_malware -> route_task_by_condition",check_service_status;restart_service;scan_system_for_malware;read_user_profile;route_task_by_condition,0->2;1->2;2->3;2->4,5,4,3,1,1,read,True,train.csv,train
2d120431ec895873,81b780e87b49be6a,"check_service_status -> restart_service, read_user_profile -> route_task_by_condition, restart_service -> route_task_by_condition, scan_system_for_malware -> read_user_profile",check_service_status;restart_service;scan_system_for_malware;read_user_profile;route_task_by_condition,0->1;1->4;2->3;3->4,5,4,3,1,1,read,True,train.csv,train
854a9971e96c3a89,6535bd9cdabbc8a4,"check_service_status -> read_user_profile, check_service_status -> restart_service, check_service_status -> scan_system_for_malware, read_user_profile -> route_task_by_condition",check_service_status;restart_service;scan_system_for_malware;read_user_profile;route_task_by_condition,0->1;0->2;0->3;3->4,5,4,3,1,1,read,True,train.csv,train
bb56f52234ce6b41,87caf944dc7d3260,"dispatch_message_to_usergroup -> scan_system_for_malware, scan_system_for_malware -> edit_username",dispatch_message_to_usergroup;scan_system_for_malware;edit_username,0->1;1->2,3,2,1,1,1,mixed,False,train.csv,train
2a555241dc3a0e4c,1d0e6e8239dba356,"dispatch_message_to_usergroup -> edit_username, dispatch_message_to_usergroup -> scan_system_for_malware",dispatch_message_to_usergroup;scan_system_for_malware;edit_username,0->1;0->2,3,2,1,1,1,mixed,False,train.csv,train
303a830486051dd0,0bdcad505e5790d1,"dispatch_message_to_usergroup -> edit_username, scan_system_for_malware -> edit_username",dispatch_message_to_usergroup;scan_system_for_malware;edit_username,0->2;1->2,3,2,1,1,1,mixed,False,train.csv,train
70b25e15ad1ec88a,e5aab5b0c7cff013,"check_service_status -> update_subscription_plan, read_database_record -> check_service_status, update_subscription_plan -> create_support_ticket",read_database_record;check_service_status;update_subscription_plan;create_support_ticket,0->1;1->2;2->3,4,3,2,2,0,mixed,False,train.csv,train
1bfe4ef649490284,5a85bfc40f17ef3b,"read_database_record -> check_service_status, read_database_record -> create_support_ticket, read_database_record -> update_subscription_plan",read_database_record;check_service_status;update_subscription_plan;create_support_ticket,0->1;0->2;0->3,4,3,2,2,0,mixed,False,train.csv,train
0b5e09dccf5cb97c,fdc569804fa8c04b,"check_service_status -> create_support_ticket, read_database_record -> create_support_ticket, update_subscription_plan -> create_support_ticket",read_database_record;check_service_status;update_subscription_plan;create_support_ticket,0->3;1->3;2->3,4,3,2,2,0,mixed,False,train.csv,train
ff0d30893278e92f,73bf8b5b52d40b03,"check_service_status -> update_subscription_plan, read_database_record -> update_subscription_plan, update_subscription_plan -> create_support_ticket",read_database_record;check_service_status;update_subscription_plan;create_support_ticket,0->2;1->2;2->3,4,3,2,2,0,mixed,False,train.csv,train
ef48c824fa1f6076,da047bb9f34a5ec5,"check_service_status -> edit_username, check_service_status -> restart_service, check_service_status -> write_database_record",check_service_status;restart_service;write_database_record;edit_username,0->1;0->2;0->3,4,3,1,3,0,edit,True,train.csv,train
0d4d69beadd73c60,0f742c3feb5e5277,"escalate_case_to_human -> check_service_status, read_access_logs -> read_subscription_status, read_subscription_status -> escalate_case_to_human, write_database_record -> read_access_logs",write_database_record;read_access_logs;read_subscription_status;escalate_case_to_human;check_service_status,0->1;1->2;2->3;3->4,5,4,3,1,1,read,True,train.csv,train
9d79207141a05e4f,80ff725d14f5b8a0,"read_access_logs -> read_subscription_status, read_subscription_status -> check_service_status, read_subscription_status -> escalate_case_to_human, write_database_record -> read_subscription_status",write_database_record;read_access_logs;read_subscription_status;escalate_case_to_human;check_service_status,0->2;1->2;2->3;2->4,5,4,3,1,1,read,True,train.csv,train
