id,query,ground_truth,domain_note,ground_truth_tool,class_id,predicted_tool,correct,rank,top5_tools
0,look up the record for #60122.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;check_status;create_ticket
1,pull Alice's account details.,query_database,,db_read,0,db_read,True,1,db_read;generate_report;db_write;log_audit_event;reset_password
2,retrieve information on Frank.,query_database,,db_read,0,db_read,True,1,db_read;check_status;db_write;generate_report;scan_malware
3,check the database entry for Charlie.,query_database,,db_read,0,db_read,True,1,db_read;db_write;scan_malware;generate_report;check_status
4,fetch the record linked to #20891.,query_database,,db_read,0,db_read,True,1,db_read;generate_report;db_write;create_ticket;process_refund
5,search for transaction #20891 in the database.,query_database,,db_read,0,db_read,True,1,db_read;log_audit_event;db_write;generate_report;scan_malware
6,bring up Bob's account information.,query_database,,db_read,0,db_read,True,1,db_read;generate_report;db_write;process_refund;update_subscription
7,search the database for Frank.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;create_ticket;check_status
8,Please look up the record for Alice.,query_database,,db_read,0,log_audit_event,False,2,log_audit_event;db_read;create_ticket;db_write;reset_password
9,Please retrieve the entry for #60122.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;process_refund;scan_malware
10,Please retrieve information on Frank.,query_database,,db_read,0,db_read,True,1,db_read;check_status;db_write;scan_malware;generate_report
11,Please check the database entry for Eve.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;log_audit_event;scan_malware
12,Please fetch the record linked to #10234.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;create_ticket;process_refund
13,Please search for transaction #53698 in the database.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;log_audit_event;process_refund
14,Please bring up Diana's account information.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;reset_password;log_audit_event
15,Please search the database for Alice.,query_database,,db_read,0,db_write,False,2,db_write;db_read;generate_report;create_ticket;log_audit_event
16,Can you look up the record for Alice?,query_database,,db_read,0,db_read,True,1,db_read;log_audit_event;db_write;create_ticket;generate_report
17,Can you pull Bob's account details?,query_database,,db_read,0,db_read,True,1,db_read;generate_report;reset_password;db_write;log_audit_event
18,Can you check the database for #53698?,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;scan_malware;check_status
