,db_read,db_write,reset_password,create_ticket,send_notification,quarantine_system,scan_malware,generate_report,process_refund,update_subscription,provision_vm,restart_service,check_status,escalate_to_human,log_audit_event
db_read,23,5,0,0,0,0,0,28,0,7,0,0,0,4,0
db_write,3,52,0,0,0,0,0,1,0,3,7,0,0,1,0
reset_password,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0
create_ticket,0,1,0,37,0,1,0,11,1,0,2,0,0,13,1
send_notification,0,0,0,1,30,2,0,8,0,2,8,0,0,16,0
quarantine_system,0,5,1,0,0,20,2,27,0,0,12,0,0,0,0
scan_malware,0,2,0,0,0,10,42,13,0,0,0,0,0,0,0
generate_report,0,0,0,2,0,0,0,65,0,0,0,0,0,0,0
process_refund,0,0,0,1,0,0,0,4,31,7,11,0,0,13,0
update_subscription,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0
provision_vm,0,0,0,2,0,2,0,12,0,1,45,0,0,5,0
restart_service,0,2,0,0,0,6,0,5,11,0,7,36,0,0,0
check_status,1,7,2,0,6,4,0,39,0,0,0,0,0,0,8
escalate_to_human,0,0,0,2,0,3,0,1,1,0,9,0,0,51,0
log_audit_event,4,5,1,3,2,0,0,23,0,0,0,0,0,2,27
