,db_read,db_write,reset_password,create_ticket,send_notification,quarantine_system,scan_malware,generate_report,process_refund,update_subscription,provision_vm,restart_service,check_status,escalate_to_human,log_audit_event
db_read,53,5,0,0,0,0,0,5,0,0,0,0,1,0,3
db_write,1,59,1,0,0,0,0,0,2,0,3,1,0,0,0
reset_password,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0
create_ticket,0,0,0,32,3,0,0,3,2,0,5,0,0,5,17
send_notification,0,1,2,3,39,0,0,0,3,1,5,1,0,4,8
quarantine_system,0,7,5,0,8,30,8,0,5,0,3,1,0,0,0
scan_malware,1,1,0,0,1,1,52,5,1,0,0,0,3,0,2
generate_report,0,0,0,0,0,0,3,54,0,0,0,0,0,0,10
process_refund,1,0,0,0,0,0,0,0,62,0,1,2,0,0,1
update_subscription,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0
provision_vm,0,0,0,7,0,0,3,2,0,3,50,1,0,1,0
restart_service,0,3,2,0,1,1,0,0,1,1,7,51,0,0,0
check_status,6,3,0,0,3,1,3,7,1,0,0,0,32,0,11
escalate_to_human,0,0,0,3,1,2,0,0,3,0,0,5,0,50,3
log_audit_event,0,5,1,0,0,0,0,7,1,0,0,0,0,0,53
