query,gt_tool,rank_of_one_node,top1_is_one_node,top1_dag_text,top1_cosine,gt_cosine
Please check the database entry for Eve.,db_read,2,True,db_write,0.5875462889671326,0.5611202716827393
Is it possible to check the database entry for eve?,db_read,3,True,backup_database,0.5070086717605591,0.4381880760192871
What we need is for check the database entry for eve.,db_read,3,True,db_write,0.5490972399711609,0.5363695025444031
Can you bring up the database entry for #20891?,db_read,2,True,db_write,0.6110802292823792,0.5883335471153259
Would anyone be able to bring up the database entry for #20891?,db_read,2,True,db_write,0.5951809883117676,0.5838221311569214
What we need is for bring up the database entry for #20891.,db_read,2,True,db_write,0.6266675591468811,0.6083723902702332
Kindly bring up the database entry for #53698.,db_read,2,True,db_write,0.5927093625068665,0.5770759582519531
bring up the database entry for #53698 -- that's what needs to happen.,db_read,2,True,db_write,0.6517049670219421,0.5995705127716064
Would anyone be able to bring up the database entry for #53698?,db_read,2,True,db_write,0.5886953473091125,0.5813336968421936
I'd appreciate it if you could store the revised details for alice.,db_write,2,True,archive_data,0.5582559108734131,0.5460596084594727
Could someone store the revised details for alice?,db_write,2,True,archive_data,0.5238205790519714,0.5218769907951355
log a helpdesk issue for Bob.,create_ticket,3,True,log_audit_event,0.6162577867507935,0.41015419363975525
"Hey, can you log a helpdesk issue for bob.",create_ticket,3,True,log_audit_event,0.6611066460609436,0.4529004395008087
Is it possible to log a helpdesk issue for bob?,create_ticket,3,True,log_audit_event,0.6348096132278442,0.39847883582115173
It would help if log a helpdesk issue for bob.,create_ticket,4,True,log_audit_event,0.6508852243423462,0.47853997349739075
Could you please log a helpdesk issue for bob.,create_ticket,4,True,log_audit_event,0.6326708197593689,0.42668259143829346
open a service desk case for Alice.,create_ticket,2,True,escalate_to_human,0.5459750890731812,0.4988687038421631
Could you please open a service desk case for alice.,create_ticket,2,True,escalate_to_human,0.5336811542510986,0.5117092132568359
"Hey, can you open a service desk case for alice.",create_ticket,2,True,escalate_to_human,0.5191243290901184,0.5165993571281433
The situation requires open a service desk case for alice.,create_ticket,2,True,escalate_to_human,0.5924016237258911,0.5779296159744263
Who can open a service desk case for alice?,create_ticket,2,True,escalate_to_human,0.5265371799468994,0.45188477635383606
Please log an issue against staging-db-02.,create_ticket,3,True,log_audit_event,0.5381767153739929,0.4582127332687378
Could you please log an issue against staging-db-02.,create_ticket,3,True,log_audit_event,0.5431063771247864,0.46405184268951416
Quick one -- log an issue against staging-db-02.,create_ticket,2,True,log_audit_event,0.5475324988365173,0.5209622979164124
Is it possible to log an issue against staging-db-02?,create_ticket,3,True,log_audit_event,0.5298423171043396,0.3772159814834595
What we need is for log an issue against staging-db-02.,create_ticket,3,True,log_audit_event,0.5859431624412537,0.4883587062358856
Who can raise an incident for auth-svc-04?,create_ticket,2,False,log_audit_event -> escalate_to_human,0.5302484035491943,0.5170360207557678
Could you log a helpdesk issue for Frank for me?,create_ticket,3,True,log_audit_event,0.6498810052871704,0.43807750940322876
Gonna need you to log a helpdesk issue for frank for me.,create_ticket,4,True,log_audit_event,0.6557191014289856,0.44665274024009705
Could someone log a helpdesk issue for frank for me?,create_ticket,3,True,log_audit_event,0.6365720629692078,0.4259577691555023
I'd appreciate it if you could log a helpdesk issue for frank for me.,create_ticket,3,True,log_audit_event,0.6489288210868835,0.4713459014892578
log a helpdesk issue for frank for me -- that's what needs to happen.,create_ticket,3,True,log_audit_event,0.6479443311691284,0.524052083492279
Could you create a service request for auth-svc-04 for me?,create_ticket,16,True,enable_feature_flag,0.5271857976913452,0.3859458267688751
Could someone create a service request for auth-svc-04 for me?,create_ticket,13,True,enable_feature_flag,0.5062680840492249,0.36876988410949707
I'd appreciate it if you could create a service request for auth-svc-04 for me.,create_ticket,11,True,enable_feature_flag,0.5396098494529724,0.44473132491111755
Need you to create a service request for auth-svc-04 for me.,create_ticket,13,True,enable_feature_flag,0.560560941696167,0.406277060508728
The situation requires create a service request for auth-svc-04 for me.,create_ticket,11,True,enable_feature_flag,0.5451601147651672,0.4408208131790161
I need you to open a service desk case for Eve.,create_ticket,3,True,escalate_to_human,0.5426087379455566,0.5124304890632629
It would help if open a service desk case for eve.,create_ticket,2,True,escalate_to_human,0.558780312538147,0.5221763253211975
Who can open a service desk case for eve?,create_ticket,3,True,escalate_to_human,0.512569785118103,0.4357154369354248
"Hey, can you open a service desk case for eve.",create_ticket,3,True,provision_vm,0.517599880695343,0.4936769902706146
We should log an issue against prod-web-01.,create_ticket,3,True,log_audit_event,0.5800631046295166,0.5166320204734802
Would anyone be able to we should log an issue against prod-web-01?,create_ticket,3,True,log_audit_event,0.6260221600532532,0.4793095588684082
Could you please we should log an issue against prod-web-01.,create_ticket,3,True,log_audit_event,0.595862627029419,0.5067139267921448
Gonna need you to we should log an issue against prod-web-01.,create_ticket,3,True,log_audit_event,0.6111587882041931,0.5138938426971436
The situation requires we should log an issue against prod-web-01.,create_ticket,3,True,log_audit_event,0.6055305600166321,0.54486083984375
Can you forward the latest update to Legal?,send_notification,5,True,rollback_deployment,0.4690086543560028,0.39786994457244873
It would help if forward the latest update to legal.,send_notification,6,True,archive_data,0.5088720321655273,0.4539257287979126
"Hey, can you forward the latest update to legal.",send_notification,2,True,transfer_ownership,0.5096397399902344,0.49158769845962524
Is it possible to forward the latest update to legal?,send_notification,8,True,rollback_deployment,0.4231487214565277,0.3052179515361786
we should forward the latest update to engineering -- that's what needs to happen.,send_notification,2,True,transfer_ownership,0.4777328372001648,0.4776303470134735
Could you contain payment-api-03 immediately for me?,quarantine_system,2,True,invalidate_cache,0.5228872895240784,0.5174900889396667
"Yo, contain payment-api-03 immediately for me.",quarantine_system,2,True,restart_service,0.564632773399353,0.5409605503082275
Please contain payment-api-03 immediately for me.,quarantine_system,2,True,restart_service,0.5523637533187866,0.5306863188743591
What we need is for contain payment-api-03 immediately for me.,quarantine_system,2,True,restart_service,0.5700058937072754,0.5397201776504517
I need you to contain staging-db-02 immediately.,quarantine_system,2,True,restart_service,0.5331858396530151,0.5052165985107422
The situation requires contain staging-db-02 immediately.,quarantine_system,3,True,restart_service,0.5627549290657043,0.5095155835151672
"Yo, contain staging-db-02 immediately.",quarantine_system,2,True,restart_service,0.5369251370429993,0.5155246257781982
