,db_read,db_write,reset_password,create_ticket,send_notification,quarantine_system,scan_malware,generate_report,process_refund,update_subscription,provision_vm,restart_service,check_status,escalate_to_human,log_audit_event
db_read,7,2,7,5,2,4,0,29,0,2,4,1,0,4,0
db_write,3,8,4,2,0,1,0,18,0,2,15,1,0,13,0
reset_password,0,0,48,4,0,4,1,0,6,0,1,0,0,3,0
create_ticket,0,0,0,10,0,0,0,34,0,0,0,0,0,23,0
send_notification,0,0,1,1,12,4,0,8,1,2,3,0,0,34,1
quarantine_system,0,7,6,0,1,11,8,14,0,0,20,0,0,0,0
scan_malware,3,6,6,2,0,7,16,25,0,0,2,0,0,0,0
generate_report,0,0,0,2,7,0,0,52,0,0,1,0,0,5,0
process_refund,0,1,1,7,0,0,0,10,6,26,4,0,0,11,1
update_subscription,0,0,0,1,0,1,0,3,5,33,20,0,0,4,0
provision_vm,0,0,0,11,2,3,0,23,0,0,17,1,0,10,0
restart_service,1,6,5,3,1,2,0,25,16,0,4,4,0,0,0
check_status,2,8,6,0,0,2,0,45,0,0,3,0,1,0,0
escalate_to_human,0,0,0,0,0,0,0,1,0,0,0,0,0,66,0
log_audit_event,0,4,0,0,0,0,0,63,0,0,0,0,0,0,0
