,db_read,db_write,reset_password,create_ticket,send_notification,quarantine_system,scan_malware,generate_report,process_refund,update_subscription,provision_vm,restart_service,check_status,escalate_to_human,log_audit_event
db_read,35,7,0,0,0,3,0,9,1,8,1,0,1,2,0
db_write,3,53,0,1,0,1,0,1,0,4,4,0,0,0,0
reset_password,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0
create_ticket,0,3,0,43,0,2,0,4,0,0,0,1,0,13,1
send_notification,0,0,0,1,21,8,0,6,0,2,6,0,0,23,0
quarantine_system,1,12,2,2,1,7,30,3,0,0,9,0,0,0,0
scan_malware,0,3,0,0,2,4,47,0,0,0,0,0,2,3,6
generate_report,3,8,0,17,3,1,0,14,13,1,1,0,2,0,4
process_refund,1,5,0,23,0,0,0,0,0,8,12,1,0,17,0
update_subscription,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0
provision_vm,0,3,0,2,3,13,4,3,3,18,7,5,0,6,0
restart_service,0,1,0,0,1,7,1,0,0,0,3,54,0,0,0
check_status,3,6,2,1,1,12,0,4,0,0,0,0,26,0,12
escalate_to_human,0,0,0,5,0,5,0,0,0,0,4,0,0,53,0
log_audit_event,3,11,1,8,1,0,0,8,0,0,0,0,0,2,33
