,db_read,db_write,reset_password,create_ticket,send_notification,quarantine_system,scan_malware,generate_report,process_refund,update_subscription,provision_vm,restart_service,check_status,escalate_to_human,log_audit_event
db_read,23,3,0,5,2,1,0,4,15,0,1,4,1,0,8
db_write,7,39,0,4,0,0,0,4,3,0,7,0,0,0,3
reset_password,0,0,48,3,0,4,0,0,1,0,5,1,0,4,1
create_ticket,0,0,0,20,0,0,0,12,3,0,3,0,0,8,21
send_notification,0,0,2,1,16,4,0,5,1,0,3,6,3,15,11
quarantine_system,2,6,9,0,0,25,8,3,11,0,2,0,0,0,1
scan_malware,6,4,5,1,0,13,22,1,8,0,0,0,2,0,5
generate_report,0,0,0,3,5,0,0,47,6,0,0,0,0,0,6
process_refund,0,0,3,0,0,0,0,0,47,4,1,0,0,0,12
update_subscription,0,0,0,0,0,1,0,0,11,38,12,0,2,3,0
provision_vm,0,0,0,6,1,1,0,3,4,2,36,1,0,13,0
restart_service,1,6,6,8,1,4,0,1,10,0,5,16,9,0,0
check_status,6,2,6,4,2,6,5,7,10,0,3,0,11,0,5
escalate_to_human,0,0,1,2,0,1,0,0,2,0,1,0,0,57,3
log_audit_event,0,0,0,0,0,0,0,18,0,0,0,0,0,0,49
