query,gt_tool,rank_of_one_node,top1_is_one_node,top1_dag_text,top1_cosine,gt_cosine
"Yo, persist the changes for frank.",db_write,2,True,db_read,0.5259265303611755,0.5129119157791138
It would help if store the revised data tied to #60122 for me.,db_write,2,False,check_status -> db_write,0.6367653012275696,0.631047248840332
"Yo, store the revised data tied to #60122 for me.",db_write,2,True,db_read,0.6498000621795654,0.6199550032615662
Please store the revised data tied to #60122 for me.,db_write,2,True,db_read,0.6500792503356934,0.6241390705108643
I need you to store the revised details for Alice.,db_write,2,True,db_read,0.6676689982414246,0.5518496632575989
It would help if store the revised details for alice.,db_write,3,True,db_read,0.6629279851913452,0.5558509826660156
"Hey, can you store the revised details for alice.",db_write,2,True,db_read,0.6886847019195557,0.5448248386383057
I'd appreciate it if you could store the revised details for alice.,db_write,3,True,db_read,0.6562416553497314,0.4854072630405426
Could someone store the revised details for alice?,db_write,2,True,db_read,0.6392868757247925,0.5416650176048279
We should store the revised details for Frank.,db_write,2,True,db_read,0.6045368313789368,0.5401161909103394
Could you please we should store the revised details for frank.,db_write,2,True,db_read,0.6162134408950806,0.527061402797699
The situation requires we should store the revised details for frank.,db_write,2,True,create_ticket,0.5644713640213013,0.5423579812049866
Would anyone be able to we should store the revised details for frank?,db_write,2,True,db_read,0.5605646967887878,0.5546075701713562
"Yo, we should store the revised details for frank.",db_write,3,True,db_read,0.6359160542488098,0.539598286151886
Let's commit the Legal configuration update.,db_write,6,True,update_subscription,0.5003211498260498,0.3622118830680847
Would anyone be able to let's commit the legal configuration update?,db_write,4,True,update_subscription,0.46877092123031616,0.3664723336696625
The situation requires let's commit the legal configuration update.,db_write,4,True,update_subscription,0.4787428677082062,0.37211182713508606
Please let's commit the legal configuration update.,db_write,7,True,update_subscription,0.4994463324546814,0.3644147217273712
Do me a favor and let's commit the legal configuration update.,db_write,8,True,update_subscription,0.49572741985321045,0.3335714638233185
open an incident ticket for payment-api-03.,create_ticket,3,False,create_ticket -> scan_malware,0.6324176788330078,0.5749393105506897
Could you please open an incident ticket for payment-api-03.,create_ticket,3,False,create_ticket -> scan_malware,0.633794367313385,0.58379065990448
The situation requires open an incident ticket for payment-api-03.,create_ticket,3,False,create_ticket -> scan_malware,0.6327061057090759,0.5679242610931396
Could someone open an incident ticket for payment-api-03?,create_ticket,2,False,create_ticket -> scan_malware,0.633007287979126,0.5834918022155762
"Hey, can you open an incident ticket for payment-api-03.",create_ticket,2,False,create_ticket -> scan_malware,0.6265857815742493,0.5885173678398132
log a helpdesk issue for Bob.,create_ticket,5,True,log_audit_event,0.6118410229682922,0.4527682662010193
"Hey, can you log a helpdesk issue for bob.",create_ticket,4,False,generate_report -> send_notification,0.5963159799575806,0.5065298080444336
Is it possible to log a helpdesk issue for bob?,create_ticket,6,True,log_audit_event,0.606801450252533,0.4595891833305359
It would help if log a helpdesk issue for bob.,create_ticket,4,False,generate_report -> send_notification,0.6011472940444946,0.5156261920928955
Could you please log a helpdesk issue for bob.,create_ticket,6,False,generate_report -> send_notification,0.5921409130096436,0.472899466753006
The situation requires open a service desk case for alice.,create_ticket,2,True,escalate_to_human,0.5338572263717651,0.5321521162986755
Who can open a service desk case for alice?,create_ticket,2,True,escalate_to_human,0.5073077082633972,0.4751446545124054
Please log an issue against staging-db-02.,create_ticket,7,False,create_ticket -> scan_malware,0.6122671961784363,0.3934032618999481
Could you please log an issue against staging-db-02.,create_ticket,6,False,create_ticket -> scan_malware,0.612496554851532,0.3894661068916321
Quick one -- log an issue against staging-db-02.,create_ticket,5,False,create_ticket -> scan_malware,0.6029739379882812,0.41569867730140686
Is it possible to log an issue against staging-db-02?,create_ticket,7,False,create_ticket -> scan_malware,0.5703246593475342,0.3632148802280426
What we need is for log an issue against staging-db-02.,create_ticket,4,False,create_ticket -> scan_malware,0.637614905834198,0.4505803883075714
Can you raise an incident for auth-svc-04?,create_ticket,3,False,create_ticket -> scan_malware,0.5250970721244812,0.4583049416542053
raise an incident for auth-svc-04 -- that's what needs to happen.,create_ticket,3,False,create_ticket -> scan_malware,0.5869154334068298,0.470226526260376
We request that you raise an incident for auth-svc-04.,create_ticket,2,False,create_ticket -> scan_malware,0.5599997639656067,0.49250003695487976
Gonna need you to raise an incident for auth-svc-04.,create_ticket,2,False,create_ticket -> scan_malware,0.5359815955162048,0.47182607650756836
Who can raise an incident for auth-svc-04?,create_ticket,4,False,create_ticket -> scan_malware,0.531834602355957,0.4377894699573517
Can you create a support issue for Finance?,create_ticket,2,False,"create_ticket -> generate_report, quarantine_system -> generate_report",0.5799208879470825,0.5331497192382812
Is it possible to create a support issue for finance?,create_ticket,2,False,"create_ticket -> generate_report, quarantine_system -> generate_report",0.589299201965332,0.516737699508667
