query,ground_truth,domain_note
Just accept the notification about cdn-edge-06. Nothing else needed.,acknowledge_alert,
Simple request — confirm we're aware of the prod-web-01 incident and we're good.,acknowledge_alert,
Quick task: accept the notification about prod-web-01.,acknowledge_alert,
Simple request — confirm we're aware of the cdn-edge-06 incident and we're good.,acknowledge_alert,
Simple request — accept the notification about payment-api-03 and we're good.,acknowledge_alert,
Simple request — ack the firing alert for staging-db-02 and we're good.,acknowledge_alert,
"When you get a chance, confirm we're aware of the staging-db-02 incident.",acknowledge_alert,
Quick task: silence the alert on staging-db-02 for now.,acknowledge_alert,
Just accept the notification about cdn-edge-06. Nothing else needed.,acknowledge_alert,
Quick task: silence the alert on prod-web-01 for now.,acknowledge_alert,
Simple request — acknowledge the alert on cdn-edge-06 and we're good.,acknowledge_alert,
Simple request — accept the notification about cdn-edge-06 and we're good.,acknowledge_alert,
Quick task: acknowledge the alert on ml-infer-05.,acknowledge_alert,
Quick task: ack the firing alert for prod-web-01.,acknowledge_alert,
Urgent: mark the ml-infer-05 alert as seen.,acknowledge_alert,
Simple request — acknowledge the alert on auth-svc-04 and we're good.,acknowledge_alert,
Simple request — acknowledge the alert on prod-web-01 and we're good.,acknowledge_alert,
All I need is for someone to acknowledge the alert on prod-web-01.,acknowledge_alert,
Simple request — acknowledge the alert on prod-web-01 and we're good.,acknowledge_alert,
Quick task: silence the alert on staging-db-02 for now.,acknowledge_alert,
The HR team needs us to mark the staging-db-02 alert as seen.,acknowledge_alert,
Quick task: mark the ml-infer-05 alert as seen.,acknowledge_alert,
Quick task: confirm we're aware of the prod-web-01 incident.,acknowledge_alert,
Just silence the alert on ml-infer-05 for now. Nothing else needed.,acknowledge_alert,
Quick task: acknowledge the alert on staging-db-02.,acknowledge_alert,
Just silence the alert on cdn-edge-06 for now. Nothing else needed.,acknowledge_alert,
All I need is for someone to accept the notification about cdn-edge-06.,acknowledge_alert,
All I need is for someone to silence the alert on cdn-edge-06 for now.,acknowledge_alert,
Please accept the notification about ml-infer-05.,acknowledge_alert,
ASAP — accept the notification about auth-svc-04.,acknowledge_alert,
"Hey, can you acknowledge the alert on staging-db-02.",acknowledge_alert,
Simple request — silence the alert on auth-svc-04 for now and we're good.,acknowledge_alert,
Simple request — mark the ml-infer-05 alert as seen and we're good.,acknowledge_alert,
Simple request — ack the firing alert for payment-api-03 and we're good.,acknowledge_alert,
Please silence the alert on prod-web-01 for now.,acknowledge_alert,
Simple request — accept the notification about staging-db-02 and we're good.,acknowledge_alert,
Just mark the cdn-edge-06 alert as seen. Nothing else needed.,acknowledge_alert,
"Hey, can you confirm we're aware of the auth-svc-04 incident.",acknowledge_alert,
Quick task: acknowledge the alert on payment-api-03.,acknowledge_alert,
Quick task: mark the payment-api-03 alert as seen.,acknowledge_alert,
All I need is for someone to confirm we're aware of the staging-db-02 incident.,acknowledge_alert,
Just silence the alert on staging-db-02 for now. Nothing else needed.,acknowledge_alert,
Simple request — acknowledge the alert on payment-api-03 and we're good.,acknowledge_alert,
Quick task: ack the firing alert for prod-web-01.,acknowledge_alert,
Quick task: mark the prod-web-01 alert as seen.,acknowledge_alert,
Just mark the auth-svc-04 alert as seen. Nothing else needed.,acknowledge_alert,
Just silence the alert on prod-web-01 for now. Nothing else needed.,acknowledge_alert,
Quick task: confirm we're aware of the payment-api-03 incident.,acknowledge_alert,
We gotta accept the notification about payment-api-03.,acknowledge_alert,
All I need is for someone to mark the ml-infer-05 alert as seen.,acknowledge_alert,
"Hey, can you silence the alert on payment-api-03 for now.",acknowledge_alert,
Urgent: accept the notification about prod-web-01.,acknowledge_alert,
Simple request — acknowledge the alert on cdn-edge-06 and we're good.,acknowledge_alert,
Simple request — accept the notification about auth-svc-04 and we're good.,acknowledge_alert,
Simple request — silence the alert on ml-infer-05 for now and we're good.,acknowledge_alert,
All I need is for someone to acknowledge the alert on prod-web-01.,acknowledge_alert,
From Engineering: mark the auth-svc-04 alert as seen.,acknowledge_alert,
Just silence the alert on ml-infer-05 for now. Nothing else needed.,acknowledge_alert,
Quick task: mark the payment-api-03 alert as seen.,acknowledge_alert,
Quick task: mark the cdn-edge-06 alert as seen.,acknowledge_alert,
All I need is for someone to confirm we're aware of the ml-infer-05 incident.,acknowledge_alert,
All I need is for someone to confirm we're aware of the payment-api-03 incident.,acknowledge_alert,
Simple request — accept the notification about ml-infer-05 and we're good.,acknowledge_alert,
"When you get a chance, mark the staging-db-02 alert as seen.",acknowledge_alert,
Simple request — accept the notification about cdn-edge-06 and we're good.,acknowledge_alert,
Just confirm we're aware of the prod-web-01 incident. Nothing else needed.,acknowledge_alert,
Just acknowledge the alert on prod-web-01. Nothing else needed.,acknowledge_alert,
Urgent: move Finance's stale data to cold storage.,archive_data,
All I need is for someone to move Marketing's stale data to cold storage.,archive_data,
All I need is for someone to archive the old entries for Alice.,archive_data,
Simple request — cold-store the old records for Grace and we're good.,archive_data,
Simple request — cold-store the old records for Bob and we're good.,archive_data,
Just put Engineering's historical data into the archive. Nothing else needed.,archive_data,
All I need is for someone to shelve Legal's outdated data.,archive_data,
All I need is for someone to put Marketing's historical data into the archive.,archive_data,
Quick task: shelve Legal's outdated data.,archive_data,
Just move Marketing's stale data to cold storage. Nothing else needed.,archive_data,
Just archive the old entries for Bob. Nothing else needed.,archive_data,
Simple request — put Marketing's historical data into the archive and we're good.,archive_data,
Just shelve Marketing's outdated data. Nothing else needed.,archive_data,
Quick task: put Finance's historical data into the archive.,archive_data,
Just archive Frank's old records. Nothing else needed.,archive_data,
Quick task: put Marketing's historical data into the archive.,archive_data,
Simple request — archive the old entries for Frank and we're good.,archive_data,
Quick task: move Engineering's stale data to cold storage.,archive_data,
The Finance team needs us to archive the old entries for Eve.,archive_data,
All I need is for someone to move HR's stale data to cold storage.,archive_data,
Just archive Frank's old records. Nothing else needed.,archive_data,
Please shelve Finance's outdated data.,archive_data,
Just move Finance's stale data to cold storage. Nothing else needed.,archive_data,
Simple request — archive the old entries for Diana and we're good.,archive_data,
Quick task: cold-store the old records for Diana.,archive_data,
Simple request — move Marketing's stale data to cold storage and we're good.,archive_data,
ASAP — archive the old entries for Frank.,archive_data,
Just move HR's stale data to cold storage. Nothing else needed.,archive_data,
Simple request — put Finance's historical data into the archive and we're good.,archive_data,
Simple request — cold-store the old records for Frank and we're good.,archive_data,
Simple request — cold-store the old records for Charlie and we're good.,archive_data,
Simple request — archive the old entries for Grace and we're good.,archive_data,
All I need is for someone to shelve Engineering's outdated data.,archive_data,
Quick task: archive the old entries for Bob.,archive_data,
Simple request — shelve Engineering's outdated data and we're good.,archive_data,
"Per Grace's request, shelve Marketing's outdated data.",archive_data,
All I need is for someone to move Legal's stale data to cold storage.,archive_data,
Simple request — shelve Marketing's outdated data and we're good.,archive_data,
All I need is for someone to put Engineering's historical data into the archive.,archive_data,
All I need is for someone to shelve Finance's outdated data.,archive_data,
Quick task: move HR's stale data to cold storage.,archive_data,
Quick task: put Marketing's historical data into the archive.,archive_data,
Quick task: archive the old entries for Bob.,archive_data,
Simple request — cold-store the old records for Frank and we're good.,archive_data,
Just archive the old entries for Diana. Nothing else needed.,archive_data,
Quick task: cold-store the old records for Diana.,archive_data,
Just cold-store the old records for Frank. Nothing else needed.,archive_data,
Quick task: archive Diana's old records.,archive_data,
Simple request — put Finance's historical data into the archive and we're good.,archive_data,
Just put Marketing's historical data into the archive. Nothing else needed.,archive_data,
Simple request — archive Bob's old records and we're good.,archive_data,
Quick task: archive Bob's old records.,archive_data,
Quick task: archive Frank's old records.,archive_data,
Quick task: put HR's historical data into the archive.,archive_data,
Eve is asking us to archive the old entries for Charlie.,archive_data,
Just archive Frank's old records. Nothing else needed.,archive_data,
Just archive the old entries for Eve. Nothing else needed.,archive_data,
Quick task: archive Diana's old records.,archive_data,
Just archive Eve's old records. Nothing else needed.,archive_data,
From Legal: move Marketing's stale data to cold storage.,archive_data,
Just archive Bob's old records. Nothing else needed.,archive_data,
