id,query,ground_truth,domain_note,ground_truth_tool,class_id,predicted_tool,correct,rank,top5_tools
0,look up the record for #60122.,query_database,,db_read,0,generate_report,False,2,generate_report;db_read;process_refund;db_write;create_ticket
1,pull Alice's account details.,query_database,,db_read,0,update_subscription,False,3,update_subscription;escalate_to_human;db_read;generate_report;reset_password
2,retrieve information on Frank.,query_database,,db_read,0,db_read,True,1,db_read;generate_report;escalate_to_human;quarantine_system;provision_vm
3,check the database entry for Charlie.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;scan_malware;quarantine_system
4,fetch the record linked to #20891.,query_database,,db_read,0,generate_report,False,4,generate_report;process_refund;db_write;db_read;provision_vm
5,search for transaction #20891 in the database.,query_database,,db_read,0,db_read,True,1,db_read;generate_report;db_write;process_refund;reset_password
6,bring up Bob's account information.,query_database,,db_read,0,update_subscription,False,8,update_subscription;provision_vm;escalate_to_human;quarantine_system;generate_report
7,search the database for Frank.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;provision_vm;escalate_to_human
8,Please look up the record for Alice.,query_database,,db_read,0,escalate_to_human,False,4,escalate_to_human;generate_report;db_write;db_read;create_ticket
9,Please retrieve the entry for #60122.,query_database,,db_read,0,generate_report,False,4,generate_report;provision_vm;process_refund;db_read;reset_password
10,Please retrieve information on Frank.,query_database,,db_read,0,generate_report,False,6,generate_report;provision_vm;escalate_to_human;create_ticket;quarantine_system
11,Please check the database entry for Eve.,query_database,,db_read,0,db_write,False,2,db_write;db_read;generate_report;provision_vm;scan_malware
12,Please fetch the record linked to #10234.,query_database,,db_read,0,generate_report,False,2,generate_report;db_read;db_write;process_refund;provision_vm
13,Please search for transaction #53698 in the database.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;reset_password;scan_malware
14,Please bring up Diana's account information.,query_database,,db_read,0,db_read,True,1,db_read;generate_report;db_write;provision_vm;escalate_to_human
15,Please search the database for Alice.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;escalate_to_human;provision_vm
16,Can you look up the record for Alice?,query_database,,db_read,0,escalate_to_human,False,3,escalate_to_human;generate_report;db_read;db_write;create_ticket
17,Can you pull Bob's account details?,query_database,,db_read,0,update_subscription,False,2,update_subscription;db_read;reset_password;scan_malware;generate_report
18,Can you check the database for #53698?,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;scan_malware;provision_vm
19,Can you pull the details associated with #53698?,query_database,,db_read,0,generate_report,False,6,generate_report;provision_vm;process_refund;create_ticket;escalate_to_human
20,Can you fetch Alice's profile from the database?,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;scan_malware;reset_password
21,Can you read the record tied to Eve?,query_database,,db_read,0,db_write,False,3,db_write;generate_report;db_read;escalate_to_human;provision_vm
22,Can you bring up the database entry for #20891?,query_database,,db_read,0,generate_report,False,3,generate_report;db_write;db_read;provision_vm;reset_password
23,Can you read back the data for #60122?,query_database,,db_read,0,db_read,True,1,db_read;generate_report;db_write;provision_vm;process_refund
24,Could you look up the record for #60122 for me?,query_database,,db_read,0,generate_report,False,2,generate_report;db_read;db_write;process_refund;provision_vm
25,Could you pull Frank's account details for me?,query_database,,db_read,0,update_subscription,False,5,update_subscription;generate_report;provision_vm;reset_password;db_read
26,Could you retrieve information on Eve for me?,query_database,,db_read,0,generate_report,False,2,generate_report;db_read;db_write;log_audit_event;send_notification
27,Could you check the database entry for Diana for me?,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;scan_malware;provision_vm
28,Could you fetch the record linked to #20891 for me?,query_database,,db_read,0,generate_report,False,3,generate_report;db_write;db_read;create_ticket;provision_vm
29,Could you search for transaction #42017 in the database for me?,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;reset_password;scan_malware
30,Could you bring up the database entry for #31450 for me?,query_database,,db_read,0,db_write,False,3,db_write;generate_report;db_read;provision_vm;create_ticket
31,Could you read back the data for #10234 for me?,query_database,,db_read,0,generate_report,False,2,generate_report;db_read;db_write;process_refund;provision_vm
32,I need you to look up the record for #20891.,query_database,,db_read,0,generate_report,False,9,generate_report;create_ticket;process_refund;provision_vm;db_write
33,I need you to retrieve the entry for #60122.,query_database,,db_read,0,generate_report,False,5,generate_report;provision_vm;process_refund;db_write;db_read
34,I need you to retrieve information on Diana.,query_database,,db_read,0,db_read,True,1,db_read;generate_report;db_write;escalate_to_human;provision_vm
35,I need you to pull the details associated with #31450.,query_database,,db_read,0,generate_report,False,9,generate_report;provision_vm;create_ticket;db_write;process_refund
36,I need you to fetch the record linked to #31450.,query_database,,db_read,0,generate_report,False,3,generate_report;db_write;db_read;provision_vm;process_refund
37,I need you to read the record tied to Bob.,query_database,,db_read,0,generate_report,False,6,generate_report;escalate_to_human;reset_password;process_refund;create_ticket
38,I need you to bring up Bob's account information.,query_database,,db_read,0,generate_report,False,8,generate_report;provision_vm;update_subscription;reset_password;scan_malware
39,I need you to search the database for Grace.,query_database,,db_read,0,db_read,True,1,db_read;db_write;reset_password;generate_report;scan_malware
40,We should look up the record for Charlie.,query_database,,db_read,0,generate_report,False,3,generate_report;quarantine_system;db_read;process_refund;scan_malware
41,We should pull Alice's account details.,query_database,,db_read,0,update_subscription,False,4,update_subscription;escalate_to_human;generate_report;db_read;send_notification
42,We should retrieve information on Alice.,query_database,,db_read,0,escalate_to_human,False,4,escalate_to_human;generate_report;send_notification;db_read;quarantine_system
43,We should check the database entry for Diana.,query_database,,db_read,0,db_read,True,1,db_read;db_write;generate_report;scan_malware;provision_vm
44,We should fetch the record linked to #10234.,query_database,,db_read,0,generate_report,False,2,generate_report;db_read;db_write;process_refund;provision_vm
45,We should read the record tied to Charlie.,query_database,,db_read,0,generate_report,False,4,generate_report;quarantine_system;process_refund;db_read;restart_service
46,We should bring up Grace's account information.,query_database,,db_read,0,update_subscription,False,6,update_subscription;reset_password;scan_malware;generate_report;provision_vm
47,We should search the database for Charlie.,query_database,,db_read,0,db_read,True,1,db_read;generate_report;db_write;quarantine_system;scan_malware
48,Let's look up the record for Charlie.,query_database,,db_read,0,generate_report,False,4,generate_report;process_refund;quarantine_system;db_read;scan_malware
