source_row_id,original_query,transformed_query,label,generation_type,lexical_cues_removed,paraphrase_family,confusable_with
0,look up the record for #60122.,look up the record for #60122.,query_database,paraphrase_original,,0,
0,look up the record for #60122.,Is it possible to look up the record for #60122?,query_database,paraphrase_variant,,0,
0,look up the record for #60122.,Need you to look up the record for #60122.,query_database,paraphrase_variant,,0,
0,look up the record for #60122.,I'd appreciate it if you could look up the record for #60122.,query_database,paraphrase_variant,,0,
0,look up the record for #60122.,What we need is for look up the record for #60122.,query_database,paraphrase_variant,,0,
1,pull Alice's account details.,pull Alice's account details.,query_database,paraphrase_original,,1,
1,pull Alice's account details.,Is it possible to pull alice's account details?,query_database,paraphrase_variant,,1,
1,pull Alice's account details.,"Yo, pull alice's account details.",query_database,paraphrase_variant,,1,
1,pull Alice's account details.,pull alice's account details -- that's what needs to happen.,query_database,paraphrase_variant,,1,
1,pull Alice's account details.,Kindly pull alice's account details.,query_database,paraphrase_variant,,1,
2,retrieve information on Frank.,retrieve information on Frank.,query_database,paraphrase_original,,2,
2,retrieve information on Frank.,It would help if retrieve information on frank.,query_database,paraphrase_variant,,2,
2,retrieve information on Frank.,We request that you retrieve information on frank.,query_database,paraphrase_variant,,2,
2,retrieve information on Frank.,Gonna need you to retrieve information on frank.,query_database,paraphrase_variant,,2,
2,retrieve information on Frank.,Would anyone be able to retrieve information on frank?,query_database,paraphrase_variant,,2,
3,check the database entry for Charlie.,check the database entry for Charlie.,query_database,paraphrase_original,,3,
3,check the database entry for Charlie.,Quick one -- check the database entry for charlie.,query_database,paraphrase_variant,,3,
3,check the database entry for Charlie.,check the database entry for charlie -- that's what needs to happen.,query_database,paraphrase_variant,,3,
3,check the database entry for Charlie.,Could someone check the database entry for charlie?,query_database,paraphrase_variant,,3,
3,check the database entry for Charlie.,Would you mind check the database entry for charlie.,query_database,paraphrase_variant,,3,
4,fetch the record linked to #20891.,fetch the record linked to #20891.,query_database,paraphrase_original,,4,
4,fetch the record linked to #20891.,The situation requires fetch the record linked to #20891.,query_database,paraphrase_variant,,4,
4,fetch the record linked to #20891.,Is it possible to fetch the record linked to #20891?,query_database,paraphrase_variant,,4,
4,fetch the record linked to #20891.,Quick one -- fetch the record linked to #20891.,query_database,paraphrase_variant,,4,
4,fetch the record linked to #20891.,Would you mind fetch the record linked to #20891.,query_database,paraphrase_variant,,4,
5,search for transaction #20891 in the database.,search for transaction #20891 in the database.,query_database,paraphrase_original,,5,
5,search for transaction #20891 in the database.,Would anyone be able to search for transaction #20891 in the database?,query_database,paraphrase_variant,,5,
5,search for transaction #20891 in the database.,What we need is for search for transaction #20891 in the database.,query_database,paraphrase_variant,,5,
