,db_read,db_write,reset_password,create_ticket,send_notification,quarantine_system,scan_malware,generate_report,process_refund,update_subscription,provision_vm,restart_service,check_status,escalate_to_human,log_audit_event
db_read,21,4,0,0,0,0,0,41,0,3,0,0,0,1,0
db_write,8,61,0,3,0,0,0,6,0,1,7,0,0,4,0
reset_password,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0
create_ticket,0,0,0,77,0,4,0,20,0,0,1,0,0,7,1
send_notification,0,0,0,6,42,0,0,21,0,3,10,0,0,18,0
quarantine_system,1,10,0,0,0,5,2,37,0,0,20,0,0,0,0
scan_malware,0,5,0,0,0,15,35,20,0,0,0,0,0,0,0
generate_report,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
process_refund,0,0,0,3,0,0,0,6,37,0,14,0,0,25,0
update_subscription,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0
provision_vm,0,0,0,7,0,3,0,32,0,0,55,0,0,8,0
restart_service,0,0,0,0,0,3,0,8,3,0,10,51,0,0,0
check_status,0,5,2,0,1,8,0,90,0,0,0,0,3,0,6
escalate_to_human,0,0,0,1,0,0,0,4,0,0,5,0,0,70,0
log_audit_event,4,10,5,0,1,0,0,36,0,0,0,0,0,1,23
