query,gt_tool,rank_of_one_node,top1_is_one_node,top1_dag_text,top1_cosine,gt_cosine
We haven't heard from staging-db-02 in a while.,check_status,2,True,quarantine_system,0.6238647699356079,0.581454873085022
We haven't heard from ml-infer-05 in a while.,check_status,2,True,quarantine_system,0.6090304255485535,0.5704417824745178
We haven't heard from auth-svc-04 in a while.,check_status,3,True,quarantine_system,0.6209660172462463,0.5584776997566223
We haven't heard from payment-api-03 in a while.,check_status,2,True,quarantine_system,0.6343662738800049,0.5920359492301941
I'd like a pulse on payment-api-03.,check_status,3,True,restart_service,0.643319845199585,0.5625819563865662
I'd like a pulse on staging-db-02.,check_status,3,True,quarantine_system,0.6173744201660156,0.5815386176109314
We haven't heard from cdn-edge-06 in a while.,check_status,2,True,quarantine_system,0.6195809245109558,0.562608003616333
I'd like a pulse on prod-web-01.,check_status,3,True,restart_service,0.6408668160438538,0.5793778300285339
We haven't heard from prod-web-01 in a while.,check_status,2,True,quarantine_system,0.6372625827789307,0.5929797291755676
I'd like a pulse on auth-svc-04.,check_status,3,True,restart_service,0.644389808177948,0.5513367056846619
I'd like a pulse on cdn-edge-06.,check_status,3,True,quarantine_system,0.6042467951774597,0.5727628469467163
I'd like a pulse on ml-infer-05.,check_status,3,True,restart_service,0.6340065598487854,0.5651084184646606
We haven't heard from auth-svc-04 in a while.,check_status,3,True,quarantine_system,0.6209660172462463,0.5584776997566223
Make sure this doesn't slip through the cracks.,create_ticket,2,True,escalate_to_human,0.5441374182701111,0.5216109156608582
We should have a reference number for Frank's issue.,create_ticket,2,True,escalate_to_human,0.5218425393104553,0.5142525434494019
We should have a reference number for Charlie's issue.,create_ticket,3,True,escalate_to_human,0.5164892673492432,0.5040571689605713
This needs to be logged for follow-up.,create_ticket,3,True,log_audit_event,0.6755034923553467,0.5653958320617676
We should have a reference number for Alice's issue.,create_ticket,3,True,escalate_to_human,0.5525165796279907,0.5110132098197937
This should be documented somewhere official.,create_ticket,2,True,generate_report,0.6477375030517578,0.6058352589607239
Someone should formalize this complaint from Bob.,create_ticket,5,True,send_notification,0.6076822876930237,0.4707014560699463
Can we get a formal record of Alice's problem?,create_ticket,2,False,generate_report -> send_notification,0.3431105613708496,0.3164016604423523
Someone should formalize this complaint from Eve.,create_ticket,3,True,send_notification,0.6070422530174255,0.500339925289154
We should have a reference number for Diana's issue.,create_ticket,3,True,db_read,0.5644852519035339,0.5040664672851562
Eve reported something that needs tracking.,create_ticket,2,True,generate_report,0.685967743396759,0.6632989645004272
Can we get a formal record of Diana's problem?,create_ticket,2,True,db_read,0.34006422758102417,0.337346613407135
Someone should formalize this complaint from Frank.,create_ticket,4,True,send_notification,0.5773259401321411,0.474471777677536
Charlie reported something that needs tracking.,create_ticket,2,True,generate_report,0.6705030798912048,0.623390793800354
Someone should formalize this complaint from Alice.,create_ticket,5,True,send_notification,0.589286744594574,0.45660388469696045
Alice reported something that needs tracking.,create_ticket,2,True,generate_report,0.6681101322174072,0.6344690918922424
Someone should formalize this complaint from Grace.,create_ticket,3,True,send_notification,0.5867301225662231,0.48055052757263184
Someone should formalize this complaint from Diana.,create_ticket,4,True,send_notification,0.5873314142227173,0.4610653817653656
Someone should formalize this complaint from Charlie.,create_ticket,4,True,send_notification,0.5527375340461731,0.45187947154045105
Can we get a formal record of Grace's problem?,create_ticket,2,False,"escalate_to_human -> log_audit_event, log_audit_event -> reset_password",0.35230347514152527,0.3431539535522461
Grace reported something that needs tracking.,create_ticket,2,True,generate_report,0.6747423410415649,0.6393146514892578
Eve reported something that needs tracking.,create_ticket,2,True,generate_report,0.685967743396759,0.6632989645004272
Frank reported something that needs tracking.,create_ticket,2,True,generate_report,0.6562509536743164,0.6280181407928467
We should have a reference number for Bob's issue.,create_ticket,2,True,escalate_to_human,0.5520533323287964,0.5279815196990967
This needs to be logged for follow-up.,create_ticket,3,True,log_audit_event,0.6755034923553467,0.5653958320617676
Bob reported something that needs tracking.,create_ticket,2,True,generate_report,0.6855014562606812,0.6333279609680176
We should have a reference number for Frank's issue.,create_ticket,2,True,escalate_to_human,0.5218425393104553,0.5142525434494019
Diana reported something that needs tracking.,create_ticket,2,True,generate_report,0.6441096067428589,0.6168668270111084
This should be documented somewhere official.,create_ticket,2,True,generate_report,0.6477375030517578,0.6058352589607239
Make sure this doesn't slip through the cracks.,create_ticket,2,True,escalate_to_human,0.5441374182701111,0.5216109156608582
We should have a reference number for Alice's issue.,create_ticket,3,True,escalate_to_human,0.5525165796279907,0.5110132098197937
This needs to be logged for follow-up.,create_ticket,3,True,log_audit_event,0.6755034923553467,0.5653958320617676
Alice reported something that needs tracking.,create_ticket,2,True,generate_report,0.6681101322174072,0.6344690918922424
We should have a reference number for Frank's issue.,create_ticket,2,True,escalate_to_human,0.5218425393104553,0.5142525434494019
Alice reported something that needs tracking.,create_ticket,2,True,generate_report,0.6681101322174072,0.6344690918922424
This needs to be logged for follow-up.,create_ticket,3,True,log_audit_event,0.6755034923553467,0.5653958320617676
Someone should formalize this complaint from Diana.,create_ticket,4,True,send_notification,0.5873314142227173,0.4610653817653656
We need human intervention for Eve.,escalate_to_human,2,True,restart_service,0.522682249546051,0.5035678744316101
This is beyond what automation can handle.,escalate_to_human,3,True,send_notification,0.5985233187675476,0.5342012047767639
We need someone with judgment on this.,escalate_to_human,6,True,create_ticket,0.5242671966552734,0.47069045901298523
Can we get a senior person to look at Grace's case?,escalate_to_human,2,True,create_ticket,0.43774092197418213,0.3997604250907898
Can we get a senior person to look at Eve's case?,escalate_to_human,2,True,create_ticket,0.46017587184906006,0.44316548109054565
Grace's case is too nuanced for a bot.,escalate_to_human,2,True,provision_vm,0.43818211555480957,0.4310099184513092
Eve's case is too nuanced for a bot.,escalate_to_human,2,True,create_ticket,0.4506323039531708,0.4503684639930725
Can we get a senior person to look at Charlie's case?,escalate_to_human,2,True,db_read,0.4030629098415375,0.40254080295562744
The automated response isn't going to cut it for Frank.,escalate_to_human,3,True,send_notification,0.6200259923934937,0.540830671787262
We need human intervention for Grace.,escalate_to_human,3,True,restart_service,0.4843212962150574,0.4629287123680115
The automated response isn't going to cut it for Alice.,escalate_to_human,3,True,send_notification,0.6266034245491028,0.5793623328208923
The automated response isn't going to cut it for Diana.,escalate_to_human,4,True,send_notification,0.6183945536613464,0.5595204830169678
The automated response isn't going to cut it for Bob.,escalate_to_human,3,True,send_notification,0.6395083069801331,0.5845045447349548
