condition,row_index,query,ground_truth_raw,ground_truth_tool,predicted_tool,correct,rank,top1_cosine,ground_truth_cosine,top5_tools,top5_cosines,source_row_id,generation_type,confusable_with
Lexical,0,What's going on with prod-web-01?,check_status,check_status,scan_malware,False,12,0.39518052339553833,0.25692927837371826,scan_malware;quarantine_system;provision_vm;generate_report;create_ticket,0.39518052;0.38453269;0.38408783;0.38143116;0.36472979,804,lexical_cue_reduced,
Lexical,1,Is staging-db-02 still working?,check_status,check_status,db_write,False,4,0.31463298201560974,0.2010604590177536,db_write;db_read;restart_service;check_status;generate_report,0.31463298;0.30035311;0.20415576;0.20106046;0.18861768,805,lexical_cue_reduced,
Lexical,2,We haven't heard from staging-db-02 in a while.,check_status,check_status,db_read,False,4,0.3070363402366638,0.22139199078083038,db_read;db_write;generate_report;check_status;send_notification,0.30703634;0.30053487;0.22624743;0.22139199;0.21616538,806,lexical_cue_reduced,
Lexical,3,What's going on with cdn-edge-06?,check_status,check_status,create_ticket,False,7,0.21387244760990143,0.15782716870307922,create_ticket;provision_vm;generate_report;send_notification;escalate_to_human,0.21387245;0.19156697;0.17700404;0.17631502;0.17047462,807,lexical_cue_reduced,
Lexical,4,Can you confirm prod-web-01 is operational?,check_status,check_status,quarantine_system,False,9,0.46000465750694275,0.3893030881881714,quarantine_system;generate_report;process_refund;log_audit_event;scan_malware,0.46000466;0.43203214;0.42781857;0.42001697;0.41639593,808,lexical_cue_reduced,
Lexical,5,Give me a quick look at how auth-svc-04 is doing.,check_status,check_status,reset_password,False,12,0.3473280072212219,0.21270912885665894,reset_password;log_audit_event;quarantine_system;provision_vm;generate_report,0.34732801;0.32292578;0.31907630;0.30703497;0.30413696,809,lexical_cue_reduced,
Lexical,6,Is everything okay with prod-web-01?,check_status,check_status,scan_malware,False,11,0.4138566255569458,0.2732301354408264,scan_malware;generate_report;provision_vm;quarantine_system;send_notification,0.41385663;0.39103103;0.38469949;0.37837046;0.35275495,810,lexical_cue_reduced,
Lexical,7,What's going on with staging-db-02?,check_status,check_status,db_write,False,4,0.26808246970176697,0.1437346190214157,db_write;db_read;generate_report;check_status;restart_service,0.26808247;0.26710743;0.14551003;0.14373462;0.13922083,811,lexical_cue_reduced,
Lexical,8,We haven't heard from ml-infer-05 in a while.,check_status,check_status,generate_report,False,11,0.30002158880233765,0.20280204713344574,generate_report;db_write;log_audit_event;send_notification;process_refund,0.30002159;0.27782741;0.27744687;0.26913726;0.26434875,812,lexical_cue_reduced,
Lexical,9,Give me a quick look at how prod-web-01 is doing.,check_status,check_status,quarantine_system,False,11,0.47132888436317444,0.33601149916648865,quarantine_system;generate_report;provision_vm;scan_malware;process_refund,0.47132888;0.46328565;0.45547447;0.44880441;0.44352436,813,lexical_cue_reduced,
Lexical,10,Can you confirm staging-db-02 is operational?,check_status,check_status,db_write,False,3,0.3694533407688141,0.3179565668106079,db_write;db_read;check_status;restart_service;send_notification,0.36945334;0.35479346;0.31795657;0.28580892;0.25548783,814,lexical_cue_reduced,
Lexical,11,Can you confirm auth-svc-04 is operational?,check_status,check_status,log_audit_event,False,3,0.3177925646305084,0.27685320377349854,log_audit_event;quarantine_system;check_status;restart_service;process_refund,0.31779256;0.28830045;0.27685320;0.27491596;0.26268846,815,lexical_cue_reduced,
