query,dag_id,dag_text,tools,edges,topo_family,source,split,strict_fix_applied,had_duplicate_node_labels,original_tools,tool_count,canonical_dag_hash,canonical_toolset_hash,num_nodes,num_edges,query_condition,structural_twin_group,heldout_topology,dataset_version
"Start by checking the service status. Once that's done, escalate the case to a human and check the user's profile at the same time. After both of those tasks are completed, update the subscription plan.",329,"check_service_status -> escalate_case_to_human, check_service_status -> read_user_profile, escalate_case_to_human -> update_subscription_plan, read_user_profile -> update_subscription_plan",check_service_status;escalate_case_to_human;read_user_profile;update_subscription_plan,0->1;0->2;1->3;2->3,diamond,azure_gpt4o,test_topology_heldout,False,False,check_service_status;escalate_case_to_human;read_user_profile;update_subscription_plan,15,ea358ac50f94103d,0de72cfd5282af57,4,4,standard,0de72cfd5282af57,True,campaign_v4
"Start by reviewing the access logs. Once that's done, check if the services are running as expected and simultaneously evaluate which path the task should take. After both of these are completed, log the final outcome into the database.",330,"check_service_status -> write_database_record, read_access_logs -> check_service_status, read_access_logs -> route_task_by_condition, route_task_by_condition -> write_database_record",read_access_logs;check_service_status;route_task_by_condition;write_database_record,0->1;0->2;1->3;2->3,diamond,azure_gpt4o,test_topology_heldout,False,False,read_access_logs;check_service_status;route_task_by_condition;write_database_record,15,e4349b1470f8fbd4,ddc9f58e6b96ddc5,4,4,standard,ddc9f58e6b96ddc5,True,campaign_v4
"Can you restart the service first, then while you're looking up the database record, also update the subscription plan? After both of those are done, check the service status to confirm everything is working.",331,"read_database_record -> check_service_status, restart_service -> read_database_record, restart_service -> update_subscription_plan, update_subscription_plan -> check_service_status",restart_service;read_database_record;update_subscription_plan;check_service_status,0->1;0->2;1->3;2->3,diamond,azure_gpt4o,test_topology_heldout,False,False,restart_service;read_database_record;update_subscription_plan;check_service_status,15,59b64606dd7743c9,f15b5bdcdfe86051,4,4,standard,f15b5bdcdfe86051,True,campaign_v4
"First, update the database with the necessary information. Once that's done, create a support ticket and check the user's subscription status at the same time. After both of those tasks are complete, run a malware scan on the system.",332,"create_support_ticket -> scan_system_for_malware, read_subscription_status -> scan_system_for_malware, write_database_record -> create_support_ticket, write_database_record -> read_subscription_status",write_database_record;create_support_ticket;read_subscription_status;scan_system_for_malware,0->1;0->2;1->3;2->3,diamond,azure_gpt4o,test_topology_heldout,False,False,write_database_record;create_support_ticket;read_subscription_status;scan_system_for_malware,15,5b21bd02e0172cbb,0c5151e3f011293f,4,4,standard,0c5151e3f011293f,True,campaign_v4
"First, review the access logs. After that's done, update the subscription plan and escalate the case to a human in parallel. Once both of those tasks are finished, create a support ticket.",333,"escalate_case_to_human -> create_support_ticket, read_access_logs -> escalate_case_to_human, read_access_logs -> update_subscription_plan, update_subscription_plan -> create_support_ticket",read_access_logs;update_subscription_plan;escalate_case_to_human;create_support_ticket,0->1;0->2;1->3;2->3,diamond,azure_gpt4o,test_topology_heldout,False,False,read_access_logs;update_subscription_plan;escalate_case_to_human;create_support_ticket,15,23b66380a4b7fbeb,a4e9dd916ffb29f8,4,4,standard,a4e9dd916ffb29f8,True,campaign_v4
"Start by opening a new support ticket. After that, gather details from the database while simultaneously notifying the user group. Once both of those are finished, check the access logs.",334,"create_support_ticket -> dispatch_message_to_usergroup, create_support_ticket -> read_database_record, dispatch_message_to_usergroup -> read_access_logs, read_database_record -> read_access_logs",create_support_ticket;read_database_record;dispatch_message_to_usergroup;read_access_logs,0->1;0->2;1->3;2->3,diamond,azure_gpt4o,test_topology_heldout,False,False,create_support_ticket;read_database_record;dispatch_message_to_usergroup;read_access_logs,15,ee7375770c72cc3f,853b791d55302a54,4,4,standard,853b791d55302a54,True,campaign_v4
"Start by checking the subscription status. Once that’s done, look up the database records and update the subscription plan at the same time. After both tasks finish, retrieve the user profile.",335,"read_database_record -> read_user_profile, read_subscription_status -> read_database_record, read_subscription_status -> update_subscription_plan, update_subscription_plan -> read_user_profile",read_subscription_status;read_database_record;update_subscription_plan;read_user_profile,0->1;0->2;1->3;2->3,diamond,azure_gpt4o,test_topology_heldout,False,False,read_subscription_status;read_database_record;update_subscription_plan;read_user_profile,15,8cfc720dbf5f6e8e,fd8096ddef26125f,4,4,standard,fd8096ddef26125f,True,campaign_v4
"Can you route the task first, then check the subscription status and update the plan simultaneously? After both are done, restart the service.",336,"read_subscription_status -> restart_service, route_task_by_condition -> read_subscription_status, route_task_by_condition -> update_subscription_plan, update_subscription_plan -> restart_service",route_task_by_condition;read_subscription_status;update_subscription_plan;restart_service,0->1;0->2;1->3;2->3,diamond,azure_gpt4o,test_topology_heldout,False,False,route_task_by_condition;read_subscription_status;update_subscription_plan;restart_service,15,05501ef15b6284f9,b5d6369b2878b7ca,4,4,standard,b5d6369b2878b7ca,True,campaign_v4
"Start by determining the appropriate path for the task. Then, depending on the result, either update the username or escalate the case to a human, both of which can happen at the same time. Once those are completed, proceed to open a support ticket.",337,"edit_username -> create_support_ticket, escalate_case_to_human -> create_support_ticket, route_task_by_condition -> edit_username, route_task_by_condition -> escalate_case_to_human",route_task_by_condition;edit_username;escalate_case_to_human;create_support_ticket,0->1;0->2;1->3;2->3,diamond,azure_gpt4o,test_topology_heldout,False,False,route_task_by_condition;edit_username;escalate_case_to_human;create_support_ticket,15,be5b849831fa2dc3,d79166b7074cf5a8,4,4,standard,d79166b7074cf5a8,True,campaign_v4
"First, check the current status of the service. Once that's done, retrieve the user’s information from the database and update their subscription plan simultaneously. Finally, after both of those steps are complete, create a support ticket to confirm the changes or handle any issues.",338,"check_service_status -> read_database_record, check_service_status -> update_subscription_plan, read_database_record -> create_support_ticket, update_subscription_plan -> create_support_ticket",check_service_status;read_database_record;update_subscription_plan;create_support_ticket,0->1;0->2;1->3;2->3,diamond,azure_gpt4o,test_topology_heldout,False,False,check_service_status;read_database_record;update_subscription_plan;create_support_ticket,15,66515d91548c178d,189210a80ea0fe42,4,4,standard,189210a80ea0fe42,True,campaign_v4
