query,dag_id,dag_text,tools,edges,topo_family,source,split,strict_fix_applied,had_duplicate_node_labels,original_tools,tool_count,canonical_dag_hash,canonical_toolset_hash,num_nodes,num_edges,query_condition,structural_twin_group,heldout_topology,dataset_version
"First, process the refund for the customer. Then, make sure to add the customer to the appropriate group. After that, try running any tasks that failed earlier. Finally, update the customer's username as needed.",531,"add_user_to_group -> retry_failed_task, issue_refund -> add_user_to_group, retry_failed_task -> edit_username",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->1;1->2;2->3,chain_medium_4,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,0100f77002706987,c5758e05109955e9,4,3,standard,c5758e05109955e9,False,campaign_v4
"Start by issuing the refund for the customer. Once that's done, assign the customer to their designated group. Next, reattempt any tasks that didn’t complete successfully. Lastly, modify the customer’s username.",531,"add_user_to_group -> retry_failed_task, issue_refund -> add_user_to_group, retry_failed_task -> edit_username",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->1;1->2;2->3,chain_medium_4,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,0100f77002706987,c5758e05109955e9,4,3,paraphrase,c5758e05109955e9,False,campaign_v4
"This workflow has a strict order. First, the refund needs to be issued. Only after that can the customer be added to their designated group. Once they’re in the group, any failed tasks should be retried. Finally, the user’s username can be updated. Each step depends on the completion of the previous one, and none of the tasks can run in parallel.",531,"add_user_to_group -> retry_failed_task, issue_refund -> add_user_to_group, retry_failed_task -> edit_username",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->1;1->2;2->3,chain_medium_4,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,0100f77002706987,c5758e05109955e9,4,3,structural_clear,c5758e05109955e9,False,campaign_v4
"The tasks in this workflow must be completed one at a time, in order. Initially, the refund must be handled. After the refund is processed, the user can be associated with a group. Following that, failed tasks should be addressed and executed again. The last step, which depends on all prior tasks, is changing the username for the user.",531,"add_user_to_group -> retry_failed_task, issue_refund -> add_user_to_group, retry_failed_task -> edit_username",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->1;1->2;2->3,chain_medium_4,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,0100f77002706987,c5758e05109955e9,4,3,structural_paraphrase,c5758e05109955e9,False,campaign_v4
"Begin by returning any money owed to the customer. After that, place them into the correct category or membership. Once they’re properly categorized, revisit any incomplete processes and try them again. In the end, adjust their account name as required.",531,"add_user_to_group -> retry_failed_task, issue_refund -> add_user_to_group, retry_failed_task -> edit_username",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->1;1->2;2->3,chain_medium_4,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,0100f77002706987,c5758e05109955e9,4,3,lexical,c5758e05109955e9,False,campaign_v4
"Please start by handling the financial transaction for the customer. Then, organize their account by assigning them to the proper category. Afterward, make sure any unfinished processes get completed. Conclude by making changes to their account details, specifically their identifier.",531,"add_user_to_group -> retry_failed_task, issue_refund -> add_user_to_group, retry_failed_task -> edit_username",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->1;1->2;2->3,chain_medium_4,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,0100f77002706987,c5758e05109955e9,4,3,confusable,c5758e05109955e9,False,campaign_v4
"Start by processing the refund, and once that's done, add the user to the group. At the same time, retry the failed task and update the username.",532,"issue_refund -> add_user_to_group, issue_refund -> edit_username, issue_refund -> retry_failed_task",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->1;0->2;0->3,fanout_3,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,5c93a4293913b827,c5758e05109955e9,4,3,standard,c5758e05109955e9,False,campaign_v4
"First handle the refund. After the refund is complete, you can simultaneously assign the user to their group, reattempt the failed operation, and modify the username.",532,"issue_refund -> add_user_to_group, issue_refund -> edit_username, issue_refund -> retry_failed_task",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->1;0->2;0->3,fanout_3,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,5c93a4293913b827,c5758e05109955e9,4,3,paraphrase,c5758e05109955e9,False,campaign_v4
"The refund must be completed first. After that, adding the user to the group, retrying the failed operation, and updating the username can all happen concurrently.",532,"issue_refund -> add_user_to_group, issue_refund -> edit_username, issue_refund -> retry_failed_task",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->1;0->2;0->3,fanout_3,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,5c93a4293913b827,c5758e05109955e9,4,3,structural_clear,c5758e05109955e9,False,campaign_v4
"Begin by issuing the refund. Once the refund is fully processed, proceed with adding the user to their group, retrying the unsuccessful task, and editing the username—all of which can occur in parallel.",532,"issue_refund -> add_user_to_group, issue_refund -> edit_username, issue_refund -> retry_failed_task",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->1;0->2;0->3,fanout_3,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,5c93a4293913b827,c5758e05109955e9,4,3,structural_paraphrase,c5758e05109955e9,False,campaign_v4
