source_row_id,original_query,transformed_query,label,generation_type,lexical_cues_removed,paraphrase_family,confusable_with
0,All I need is for someone to query the database about #60122.,All I need is for someone to query the database about #60122.,query_database,paraphrase_original,,0,
0,All I need is for someone to query the database about #60122.,Is it possible to all i need is for someone to query the database about #60122?,query_database,paraphrase_variant,,0,
0,All I need is for someone to query the database about #60122.,Need you to all i need is for someone to query the database about #60122.,query_database,paraphrase_variant,,0,
0,All I need is for someone to query the database about #60122.,I'd appreciate it if you could all i need is for someone to query the database about #60122.,query_database,paraphrase_variant,,0,
0,All I need is for someone to query the database about #60122.,What we need is for all i need is for someone to query the database about #60122.,query_database,paraphrase_variant,,0,
2,All I need is for someone to grab Frank's account details.,All I need is for someone to grab Frank's account details.,query_database,paraphrase_original,,2,
2,All I need is for someone to grab Frank's account details.,It would help if all i need is for someone to grab frank's account details.,query_database,paraphrase_variant,,2,
2,All I need is for someone to grab Frank's account details.,We request that you all i need is for someone to grab frank's account details.,query_database,paraphrase_variant,,2,
2,All I need is for someone to grab Frank's account details.,Gonna need you to all i need is for someone to grab frank's account details.,query_database,paraphrase_variant,,2,
2,All I need is for someone to grab Frank's account details.,Would anyone be able to all i need is for someone to grab frank's account details?,query_database,paraphrase_variant,,2,
3,Simple request — dig up the history on Charlie and we're good.,Simple request — dig up the history on Charlie and we're good.,query_database,paraphrase_original,,3,
3,Simple request — dig up the history on Charlie and we're good.,Quick one -- simple request — dig up the history on charlie and we're good.,query_database,paraphrase_variant,,3,
3,Simple request — dig up the history on Charlie and we're good.,simple request — dig up the history on charlie and we're good -- that's what needs to happen.,query_database,paraphrase_variant,,3,
3,Simple request — dig up the history on Charlie and we're good.,Could someone simple request — dig up the history on charlie and we're good?,query_database,paraphrase_variant,,3,
3,Simple request — dig up the history on Charlie and we're good.,Would you mind simple request — dig up the history on charlie and we're good.,query_database,paraphrase_variant,,3,
4,All I need is for someone to query the database about #20891.,All I need is for someone to query the database about #20891.,query_database,paraphrase_original,,4,
4,All I need is for someone to query the database about #20891.,The situation requires all i need is for someone to query the database about #20891.,query_database,paraphrase_variant,,4,
4,All I need is for someone to query the database about #20891.,Is it possible to all i need is for someone to query the database about #20891?,query_database,paraphrase_variant,,4,
4,All I need is for someone to query the database about #20891.,Quick one -- all i need is for someone to query the database about #20891.,query_database,paraphrase_variant,,4,
4,All I need is for someone to query the database about #20891.,Would you mind all i need is for someone to query the database about #20891.,query_database,paraphrase_variant,,4,
7,Just pull Frank's data. Nothing else needed.,Just pull Frank's data. Nothing else needed.,query_database,paraphrase_original,,7,
7,Just pull Frank's data. Nothing else needed.,We request that you just pull frank's data. nothing else needed.,query_database,paraphrase_variant,,7,
7,Just pull Frank's data. Nothing else needed.,Gonna need you to just pull frank's data. nothing else needed.,query_database,paraphrase_variant,,7,
7,Just pull Frank's data. Nothing else needed.,Who can just pull frank's data. nothing else needed?,query_database,paraphrase_variant,,7,
7,Just pull Frank's data. Nothing else needed.,The situation requires just pull frank's data. nothing else needed.,query_database,paraphrase_variant,,7,
9,Just query the database about #60122. Nothing else needed.,Just query the database about #60122. Nothing else needed.,query_database,paraphrase_original,,9,
9,Just query the database about #60122. Nothing else needed.,The situation requires just query the database about #60122. nothing else needed.,query_database,paraphrase_variant,,9,
