,db_read,db_write,reset_password,create_ticket,send_notification,quarantine_system,scan_malware,generate_report,process_refund,update_subscription,provision_vm,restart_service,check_status,escalate_to_human,log_audit_event
db_read,10,3,5,9,11,9,1,2,1,1,7,1,1,6,0
db_write,7,16,2,1,1,2,0,2,1,4,17,0,0,14,0
reset_password,0,0,44,4,0,2,1,0,0,0,8,3,0,5,0
create_ticket,0,1,0,22,0,0,0,14,0,0,4,0,0,24,2
send_notification,2,0,1,3,2,5,0,0,0,3,2,1,1,44,3
quarantine_system,1,8,6,2,2,4,20,4,0,0,20,0,0,0,0
scan_malware,2,6,5,2,2,1,27,4,0,0,6,0,0,6,6
generate_report,3,7,0,12,17,9,0,7,4,0,1,0,0,5,2
process_refund,0,2,0,17,0,0,0,2,0,16,8,0,0,21,1
update_subscription,0,0,0,4,1,1,0,0,1,39,6,4,4,7,0
provision_vm,0,1,0,17,7,0,0,10,3,1,7,2,0,19,0
restart_service,1,7,4,16,2,6,0,5,5,0,3,16,0,2,0
check_status,5,5,6,8,4,12,3,11,0,0,5,0,4,0,4
escalate_to_human,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0
log_audit_event,0,4,0,18,0,0,0,16,0,0,0,0,0,19,10
