source_row_id,original_query,transformed_query,label,generation_type,lexical_cues_removed,paraphrase_family,confusable_with
0,Just accept the notification about cdn-edge-06. Nothing else needed.,We're on it — just need to silence the notification.,acknowledge_alert,lexical_cue_reduced,accept,,
1,Simple request — confirm we're aware of the prod-web-01 incident and we're good.,The alert keeps firing but we're already working on it.,acknowledge_alert,lexical_cue_reduced,confirm,,
2,Quick task: accept the notification about prod-web-01.,Someone needs to confirm we've seen the warning.,acknowledge_alert,lexical_cue_reduced,accept,,
3,Simple request — confirm we're aware of the cdn-edge-06 incident and we're good.,We know about the issue — stop the noise.,acknowledge_alert,lexical_cue_reduced,confirm,,
4,Simple request — accept the notification about payment-api-03 and we're good.,Mark the incident as acknowledged so it stops escalating.,acknowledge_alert,lexical_cue_reduced,accept,,
5,Simple request — ack the firing alert for staging-db-02 and we're good.,The pager is going off but we're aware.,acknowledge_alert,lexical_cue_reduced,ack;alert,,
6,"When you get a chance, confirm we're aware of the staging-db-02 incident.",The pager is going off but we're aware.,acknowledge_alert,lexical_cue_reduced,confirm,,
7,Quick task: silence the alert on staging-db-02 for now.,The pager is going off but we're aware.,acknowledge_alert,lexical_cue_reduced,alert;silence,,
8,Just accept the notification about cdn-edge-06. Nothing else needed.,The alert keeps firing but we're already working on it.,acknowledge_alert,lexical_cue_reduced,accept,,
9,Quick task: silence the alert on prod-web-01 for now.,Mark the incident as acknowledged so it stops escalating.,acknowledge_alert,lexical_cue_reduced,alert;silence,,
10,Simple request — acknowledge the alert on cdn-edge-06 and we're good.,We know about the issue — stop the noise.,acknowledge_alert,lexical_cue_reduced,acknowledge;alert,,
11,Simple request — accept the notification about cdn-edge-06 and we're good.,We know about the issue — stop the noise.,acknowledge_alert,lexical_cue_reduced,accept,,
12,Quick task: acknowledge the alert on ml-infer-05.,The pager is going off but we're aware.,acknowledge_alert,lexical_cue_reduced,acknowledge;alert,,
13,Quick task: ack the firing alert for prod-web-01.,Mark the incident as acknowledged so it stops escalating.,acknowledge_alert,lexical_cue_reduced,ack;alert,,
14,Urgent: mark the ml-infer-05 alert as seen.,We know about the issue — stop the noise.,acknowledge_alert,lexical_cue_reduced,alert;seen,,
15,Simple request — acknowledge the alert on auth-svc-04 and we're good.,We're on it — just need to silence the notification.,acknowledge_alert,lexical_cue_reduced,acknowledge;alert,,
16,Simple request — acknowledge the alert on prod-web-01 and we're good.,We're on it — just need to silence the notification.,acknowledge_alert,lexical_cue_reduced,acknowledge;alert,,
17,All I need is for someone to acknowledge the alert on prod-web-01.,The alert keeps firing but we're already working on it.,acknowledge_alert,lexical_cue_reduced,acknowledge,,
18,Simple request — acknowledge the alert on prod-web-01 and we're good.,We know about the issue — stop the noise.,acknowledge_alert,lexical_cue_reduced,acknowledge;alert,,
19,Quick task: silence the alert on staging-db-02 for now.,We know about the issue — stop the noise.,acknowledge_alert,lexical_cue_reduced,alert;silence,,
20,The HR team needs us to mark the staging-db-02 alert as seen.,Mark the incident as acknowledged so it stops escalating.,acknowledge_alert,lexical_cue_reduced,alert;seen,,
21,Quick task: mark the ml-infer-05 alert as seen.,The alert keeps firing but we're already working on it.,acknowledge_alert,lexical_cue_reduced,seen,,
22,Quick task: confirm we're aware of the prod-web-01 incident.,The alert keeps firing but we're already working on it.,acknowledge_alert,lexical_cue_reduced,confirm,,
23,Just silence the alert on ml-infer-05 for now. Nothing else needed.,The pager is going off but we're aware.,acknowledge_alert,lexical_cue_reduced,alert;silence,,
24,Quick task: acknowledge the alert on staging-db-02.,We're on it — just need to silence the notification.,acknowledge_alert,lexical_cue_reduced,acknowledge;alert,,
25,Just silence the alert on cdn-edge-06 for now. Nothing else needed.,We know about the issue — stop the noise.,acknowledge_alert,lexical_cue_reduced,alert;silence,,
26,All I need is for someone to accept the notification about cdn-edge-06.,Mark the incident as acknowledged so it stops escalating.,acknowledge_alert,lexical_cue_reduced,accept,,
27,All I need is for someone to silence the alert on cdn-edge-06 for now.,We know about the issue — stop the noise.,acknowledge_alert,lexical_cue_reduced,alert;silence,,
28,Please accept the notification about ml-infer-05.,Mark the incident as acknowledged so it stops escalating.,acknowledge_alert,lexical_cue_reduced,accept,,
29,ASAP — accept the notification about auth-svc-04.,We know about the issue — stop the noise.,acknowledge_alert,lexical_cue_reduced,accept,,
