source_row_id,original_query,query,ground_truth,generation_type,lexical_cues_removed,paraphrase_family,confusable_with,ground_truth_tool,class_id,predicted_tool,correct,rank,top5_tools
804,check the status of cdn-edge-06.,What's going on with prod-web-01?,check_status,lexical_cue_reduced,check;status,,,check_status,12,generate_report,False,12,generate_report;provision_vm;quarantine_system;scan_malware;create_ticket
805,verify whether payment-api-03 is healthy.,Is staging-db-02 still working?,check_status,lexical_cue_reduced,verify,,,check_status,12,db_write,False,6,db_write;db_read;generate_report;process_refund;restart_service
806,see if ml-infer-05 is up.,We haven't heard from staging-db-02 in a while.,check_status,lexical_cue_reduced,up,,,check_status,12,db_write,False,7,db_write;db_read;generate_report;send_notification;provision_vm
807,inspect the current state of ml-infer-05.,What's going on with cdn-edge-06?,check_status,lexical_cue_reduced,,,,check_status,12,generate_report,False,9,generate_report;provision_vm;create_ticket;send_notification;quarantine_system
808,look into auth-svc-04's health.,Can you confirm prod-web-01 is operational?,check_status,lexical_cue_reduced,health,,,check_status,12,generate_report,False,10,generate_report;quarantine_system;provision_vm;send_notification;process_refund
809,confirm that auth-svc-04 is running normally.,Give me a quick look at how auth-svc-04 is doing.,check_status,lexical_cue_reduced,,,,check_status,12,reset_password,False,12,reset_password;generate_report;quarantine_system;create_ticket;provision_vm
810,check whether cdn-edge-06 is operational.,Is everything okay with prod-web-01?,check_status,lexical_cue_reduced,check,,,check_status,12,generate_report,False,11,generate_report;provision_vm;quarantine_system;scan_malware;create_ticket
811,review the status of ml-infer-05.,What's going on with staging-db-02?,check_status,lexical_cue_reduced,status,,,check_status,12,db_write,False,9,db_write;db_read;generate_report;provision_vm;quarantine_system
812,Please check the status of payment-api-03.,We haven't heard from ml-infer-05 in a while.,check_status,lexical_cue_reduced,check;status,,,check_status,12,generate_report,False,13,generate_report;process_refund;send_notification;quarantine_system;provision_vm
813,Please verify whether staging-db-02 is healthy.,Give me a quick look at how prod-web-01 is doing.,check_status,lexical_cue_reduced,verify,,,check_status,12,generate_report,False,12,generate_report;provision_vm;quarantine_system;create_ticket;scan_malware
814,Please see if prod-web-01 is up.,Can you confirm staging-db-02 is operational?,check_status,lexical_cue_reduced,up,,,check_status,12,db_write,False,4,db_write;generate_report;db_read;check_status;send_notification
815,Please inspect the current state of payment-api-03.,Can you confirm auth-svc-04 is operational?,check_status,lexical_cue_reduced,,,,check_status,12,quarantine_system,False,6,quarantine_system;generate_report;log_audit_event;send_notification;process_refund
816,Please look into auth-svc-04's health.,We haven't heard from auth-svc-04 in a while.,check_status,lexical_cue_reduced,health,,,check_status,12,generate_report,False,12,generate_report;quarantine_system;reset_password;log_audit_event;escalate_to_human
817,Please confirm that staging-db-02 is running normally.,Give me a quick look at how payment-api-03 is doing.,check_status,lexical_cue_reduced,,,,check_status,12,generate_report,False,11,generate_report;provision_vm;create_ticket;process_refund;quarantine_system
818,Please check whether auth-svc-04 is operational.,Is everything okay with staging-db-02?,check_status,lexical_cue_reduced,check,,,check_status,12,db_write,False,8,db_write;db_read;generate_report;provision_vm;quarantine_system
819,Please review the status of ml-infer-05.,Any idea what state payment-api-03 is in?,check_status,lexical_cue_reduced,status,,,check_status,12,generate_report,False,8,generate_report;create_ticket;process_refund;provision_vm;quarantine_system
