query_id,query,ground_truth,taxonomy_name,predicted_tool,selected_branch,correct,branch_correct,latency_s,prompt_tokens,completion_tokens,total_tokens,error
0,What's going on with prod-web-01?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,3.678568000002997,478,127,605,
1,Is staging-db-02 still working?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.713942699992913,476,165,641,
2,We haven't heard from staging-db-02 in a while.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.2225536000041757,482,139,621,
3,What's going on with cdn-edge-06?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,4.0248761999973794,480,124,604,
4,Can you confirm prod-web-01 is operational?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,3.2203196000045864,480,114,594,
5,Give me a quick look at how auth-svc-04 is doing.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,3.5842832999915117,490,150,640,
6,Is everything okay with prod-web-01?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,4.496548700000858,478,222,700,
7,What's going on with staging-db-02?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,4.384378700007801,478,130,608,
8,We haven't heard from ml-infer-05 in a while.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,7.523423500009812,484,119,603,
9,Give me a quick look at how prod-web-01 is doing.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.3129799000016646,488,130,618,
10,Can you confirm staging-db-02 is operational?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,3.2302052000159165,480,105,585,
11,Can you confirm auth-svc-04 is operational?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,3.3914837000047555,482,130,612,
12,We haven't heard from auth-svc-04 in a while.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,4.143439999985276,484,205,689,
13,Give me a quick look at how payment-api-03 is doing.,check_status,Semantic Taxonomy (Baseline),query_database,Billing & Data Management,False,False,3.0708665999991354,495,226,721,
14,Is everything okay with staging-db-02?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.452287400010391,478,136,614,
15,Any idea what state payment-api-03 is in?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,3.770282400000724,482,156,638,
16,We haven't heard from payment-api-03 in a while.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,8.774882400000934,482,187,669,
17,Any idea what state prod-web-01 is in?,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,4.809695099989767,482,115,597,
18,I'd like a pulse on payment-api-03.,check_status,Semantic Taxonomy (Baseline),check_status,IT Support,True,True,2.4841132999863476,480,167,647,
