id,query,ground_truth,domain_note
0,All I need is for someone to query the database about #60122.,query_database,
1,"For the Engineering team, pull Alice's data.",query_database,
2,All I need is for someone to grab Frank's account details.,query_database,
3,Simple request — dig up the history on Charlie and we're good.,query_database,
4,All I need is for someone to query the database about #20891.,query_database,
5,Simple request — fetch #20891's info and we're good.,query_database,
6,All I need is for someone to grab Bob's account details.,query_database,
7,Just pull Frank's data. Nothing else needed.,query_database,
8,All I need is for someone to check the DB for Alice.,query_database,
9,Just query the database about #60122. Nothing else needed.,query_database,
10,All I need is for someone to grab Frank's account details.,query_database,
11,Just check the DB for Eve. Nothing else needed.,query_database,
12,Just query the database about #10234. Nothing else needed.,query_database,
13,Simple request — look up the records for #53698 and we're good.,query_database,
14,All I need is for someone to pull Diana's data.,query_database,
15,Simple request — pull Alice's data and we're good.,query_database,
16,The Engineering team needs us to grab Alice's account details.,query_database,
17,Ticket INC-7733 says check the DB for Bob.,query_database,
18,All I need is for someone to query the database about #53698.,query_database,
19,Simple request — fetch #53698's info and we're good.,query_database,
20,Just pull Alice's data. Nothing else needed.,query_database,
21,Simple request — read Eve's profile from the database and we're good.,query_database,
22,Quick task: query the database about #20891.,query_database,
23,All I need is for someone to fetch #60122's info.,query_database,
24,Please fetch #60122's info.,query_database,
25,Just dig up the history on Frank. Nothing else needed.,query_database,
26,Simple request — pull Eve's data and we're good.,query_database,
27,Simple request — dig up the history on Diana and we're good.,query_database,
28,All I need is for someone to look up the records for #20891.,query_database,
29,Ticket INC-8842 says query the database about #42017.,query_database,
30,Just query the database about #31450. Nothing else needed.,query_database,
31,"Hey, can you fetch #10234's info.",query_database,
32,Quick task: look up the records for #20891.,query_database,
33,Quick task: query the database about #60122.,query_database,
34,All I need is for someone to read Diana's profile from the database.,query_database,
35,Just query the database about #31450. Nothing else needed.,query_database,
36,Quick task: look up the records for #31450.,query_database,
37,All I need is for someone to grab Bob's account details.,query_database,
38,Simple request — check the DB for Bob and we're good.,query_database,
39,Simple request — pull Grace's data and we're good.,query_database,
40,All I need is for someone to read Charlie's profile from the database.,query_database,
41,Quick task: dig up the history on Alice.,query_database,
42,Just dig up the history on Alice. Nothing else needed.,query_database,
43,"Hey, can you read Diana's profile from the database.",query_database,
44,Just look up the records for #10234. Nothing else needed.,query_database,
45,Simple request — pull Charlie's data and we're good.,query_database,
46,Simple request — dig up the history on Grace and we're good.,query_database,
47,From HR: pull Charlie's data.,query_database,
48,Simple request — read Charlie's profile from the database and we're good.,query_database,
49,Urgent: query the database about #10234.,query_database,
50,Time to query the database about #60122.,query_database,
51,All I need is for someone to query the database about #42017.,query_database,
52,All I need is for someone to check the DB for Eve.,query_database,
53,From Legal: look up the records for #10234.,query_database,
54,"When you get a chance, dig up the history on Alice.",query_database,
55,Simple request — read Eve's profile from the database and we're good.,query_database,
56,Just query the database about #31450. Nothing else needed.,query_database,
57,Just pull Grace's data. Nothing else needed.,query_database,
58,Simple request — look up the records for #60122 and we're good.,query_database,
59,All I need is for someone to dig up the history on Eve.,query_database,
60,Simple request — grab Grace's account details and we're good.,query_database,
61,Just dig up the history on Charlie. Nothing else needed.,query_database,
62,All I need is for someone to fetch #53698's info.,query_database,
63,Do me a favor and dig up the history on Bob.,query_database,
64,Just dig up the history on Frank. Nothing else needed.,query_database,
65,All I need is for someone to look up the records for #10234.,query_database,
66,"Per Alice's request, dig up the history on Frank.",query_database,
67,Urgent: persist Bob's data to the database.,update_database,
68,All I need is for someone to persist Grace's data to the database.,update_database,
69,Simple request — store the Marketing config in the database and we're good.,update_database,
70,Simple request — persist Alice's data to the database and we're good.,update_database,
71,Simple request — store the Finance config in the database and we're good.,update_database,
72,Simple request — commit Grace's update to the database and we're good.,update_database,
73,Just write the new data for #10234 back. Nothing else needed.,update_database,
74,All I need is for someone to push the changes for Diana to the DB.,update_database,
75,All I need is for someone to write the new data for #31450 back.,update_database,
76,Quick task: push the changes for Diana to the DB.,update_database,
77,Just persist Frank's data to the database. Nothing else needed.,update_database,
78,Just update Grace's record in the DB. Nothing else needed.,update_database,
79,Simple request — write the new data for #31450 back and we're good.,update_database,
80,Just store the Finance config in the database. Nothing else needed.,update_database,
81,From Marketing: store the Marketing config in the database.,update_database,
82,Just store the Finance config in the database. Nothing else needed.,update_database,
83,All I need is for someone to update Frank's record in the DB.,update_database,
84,The Engineering team needs us to persist Charlie's data to the database.,update_database,
85,Quick task: write the new data for #53698 back.,update_database,
86,Quick task: persist Frank's data to the database.,update_database,
87,Quick task: store the Finance config in the database.,update_database,
88,Just write the new data for #53698 back. Nothing else needed.,update_database,
89,I need you to persist Frank's data to the database.,update_database,
90,Quick task: update Bob's record in the DB.,update_database,
91,"Hey, can you store the Finance config in the database.",update_database,
92,Quick task: write the new data for #42017 back.,update_database,
93,Simple request — persist Diana's data to the database and we're good.,update_database,
94,ASAP — update Charlie's record in the DB.,update_database,
95,Just persist Frank's data to the database. Nothing else needed.,update_database,
96,Simple request — write the new data for #60122 back and we're good.,update_database,
97,Simple request — commit Eve's update to the database and we're good.,update_database,
98,Simple request — commit Bob's update to the database and we're good.,update_database,
99,Simple request — update Frank's record in the DB and we're good.,update_database,
100,All I need is for someone to push the changes for Charlie to the DB.,update_database,
101,Quick task: update Grace's record in the DB.,update_database,
102,Simple request — store the Engineering config in the database and we're good.,update_database,
103,"Per Bob's request, push the changes for Grace to the DB.",update_database,
104,All I need is for someone to persist Alice's data to the database.,update_database,
105,Simple request — push the changes for Grace to the DB and we're good.,update_database,
106,All I need is for someone to write the new data for #31450 back.,update_database,
107,All I need is for someone to push the changes for Diana to the DB.,update_database,
108,Quick task: persist Charlie's data to the database.,update_database,
109,Quick task: write the new data for #10234 back.,update_database,
110,Quick task: update Bob's record in the DB.,update_database,
111,Simple request — commit Eve's update to the database and we're good.,update_database,
112,Just update Frank's record in the DB. Nothing else needed.,update_database,
113,Quick task: commit Charlie's update to the database.,update_database,
114,Just store the Finance config in the database. Nothing else needed.,update_database,
115,Quick task: save the changes for Frank to the DB.,update_database,
116,Simple request — write the new data for #42017 back and we're good.,update_database,
117,Just write the new data for #42017 back. Nothing else needed.,update_database,
118,Quick task: store the Legal config in the database.,update_database,
119,Quick one — commit Bob's update to the database.,update_database,
120,Just persist Charlie's data to the database. Nothing else needed.,update_database,
121,Quick task: persist Bob's data to the database.,update_database,
122,Quick task: persist Bob's data to the database.,update_database,
123,Urgent: update Frank's record in the DB.,update_database,
124,Quick task: save the changes for Eve to the DB.,update_database,
125,Quick one — save the changes for Eve to the DB.,update_database,
126,Simple request — persist Charlie's data to the database and we're good.,update_database,
127,All I need is for someone to save the changes for Frank to the DB.,update_database,
128,Quick task: update Eve's record in the DB.,update_database,
129,Time to save the changes for Diana to the DB.,update_database,
130,Quick task: store the HR config in the database.,update_database,
131,All I need is for someone to save the changes for Diana to the DB.,update_database,
132,Quick task: write the new data for #31450 back.,update_database,
133,Simple request — push the changes for Bob to the DB and we're good.,update_database,
134,Just reset Bob's password. Nothing else needed.,reset_password,
135,"For the Legal team, reset Eve's password.",reset_password,
136,Just change Alice's auth credentials. Nothing else needed.,reset_password,
137,All I need is for someone to give Grace a new password.,reset_password,
138,Simple request — rotate Alice's credentials and we're good.,reset_password,
139,We gotta force a credential change for Grace.,reset_password,
140,All I need is for someone to reset Alice's password.,reset_password,
141,All I need is for someone to nuke Bob's old login and issue a fresh one.,reset_password,
142,Quick one — rotate Frank's credentials.,reset_password,
143,All I need is for someone to rotate Bob's credentials.,reset_password,
144,All I need is for someone to nuke Grace's old login and issue a fresh one.,reset_password,
145,Quick task: rotate Frank's credentials.,reset_password,
146,All I need is for someone to change Diana's auth credentials.,reset_password,
147,Simple request — nuke Eve's old login and issue a fresh one and we're good.,reset_password,
148,ASAP — change Alice's auth credentials.,reset_password,
149,Simple request — change Diana's auth credentials and we're good.,reset_password,
150,Simple request — rotate Diana's credentials and we're good.,reset_password,
151,Simple request — nuke Eve's old login and issue a fresh one and we're good.,reset_password,
152,Simple request — change Diana's auth credentials and we're good.,reset_password,
