query,dag_id,dag_text,tools,edges,topo_family,source,split
"Kicking this off: assess auth-svc-04's status. Once that's done, run a malware sweep on batch-worker-10. That done, disconnect prod-web-01 from everything, then reboot search-es-09, then escalate Irene's case to the on-call. Next, blast an alert to Legal. The last thing is to record the event in Finance's log.",16,"check_status -> scan_malware, scan_malware -> quarantine_system, quarantine_system -> restart_service, restart_service -> escalate_to_human, escalate_to_human -> send_notification, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Heads-up, we need to check if queue-rabbit-08 is up — then do a security check on prod-web-01. Following that, lock down batch-worker-10. Once that's done, cycle prod-web-01. Then, get a human involved for Alice. Only once that succeeds, shoot Omar an email. And to finish, create an audit trail for #93781. Needs to be done today.",16,"check_status -> scan_malware, scan_malware -> quarantine_system, quarantine_system -> restart_service, restart_service -> escalate_to_human, escalate_to_human -> send_notification, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Support escalated this: ping payment-api-03 for a health check. Then go ahead and investigate payment-api-03 for infections. Right after, lock down staging-db-02. Only once that succeeds, bounce batch-worker-10. When that lands, bring in tier-2 support for Frank. Right after, send a heads-up to Security. The last thing is to log the whole search-es-09 incident.",16,"check_status -> scan_malware, scan_malware -> quarantine_system, quarantine_system -> restart_service, restart_service -> escalate_to_human, escalate_to_human -> send_notification, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"This came in from Finance: check if prod-web-01 is up. After that, run a malware sweep on batch-worker-10. After that, disconnect cdn-edge-06 from everything. Then, restart the main process on auth-svc-04. Next, loop in a Security manager. When that lands, email Quinn the update. And to finish, record the event in Security's log. Appreciate it.",16,"check_status -> scan_malware, scan_malware -> quarantine_system, quarantine_system -> restart_service, restart_service -> escalate_to_human, escalate_to_human -> send_notification, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Following up on INC-2234 — verify cdn-edge-06's health. When that lands, check gateway-nginx-11 for vulnerabilities. With that in place, pull gateway-nginx-11 from production. With that in place, cycle queue-rabbit-08. Once that's done, loop in a Finance manager. After that, ping Irene about it. Last step: record the event in Engineering's log.",16,"check_status -> scan_malware, scan_malware -> quarantine_system, quarantine_system -> restart_service, restart_service -> escalate_to_human, escalate_to_human -> send_notification, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Priority request — assess gateway-nginx-11's status, after which please scan prod-web-01 for threats, then quarantine redis-cache-07. Once that's done, restart the main process on redis-cache-07. Following that, escalate Diana's case to the on-call. Following that, blast an alert to Marketing. And to finish, make a compliance log about Maya.",16,"check_status -> scan_malware, scan_malware -> quarantine_system, quarantine_system -> restart_service, restart_service -> escalate_to_human, escalate_to_human -> send_notification, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Requesting the following: diagnose batch-worker-10, then check metrics-prom-12 for vulnerabilities. As soon as that clears, quarantine queue-rabbit-08, then cycle prod-web-01. Following that, get a human involved for Diana. That done, send a heads-up to Engineering. Last of all, create an audit trail for #20891. Let me know when it's done.",16,"check_status -> scan_malware, scan_malware -> quarantine_system, quarantine_system -> restart_service, restart_service -> escalate_to_human, escalate_to_human -> send_notification, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Straightforward one: assess queue-rabbit-08's status. When that lands, investigate staging-db-02 for infections. After that, quarantine gateway-nginx-11. Next, restart the main process on payment-api-03. After that, wake up the on-call about metrics-prom-12. Only once that succeeds, send a heads-up to Product, and lastly make a compliance log about Priya. Appreciate it.",16,"check_status -> scan_malware, scan_malware -> quarantine_system, quarantine_system -> restart_service, restart_service -> escalate_to_human, escalate_to_human -> send_notification, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Handing this to you: check if search-es-09 is up. Subsequently, investigate batch-worker-10 for infections. Right after, yank cdn-edge-06 off the network, and then reboot ml-infer-05. Then, get a human involved for Omar. Right after, ping Frank about it. The last thing is to log Hector's action for compliance.",16,"check_status -> scan_malware, scan_malware -> quarantine_system, quarantine_system -> restart_service, restart_service -> escalate_to_human, escalate_to_human -> send_notification, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Priority request — ping redis-cache-07 for a health check. Right after, do a security check on gateway-nginx-11. After that, lock down queue-rabbit-08 — then restart the main process on search-es-09. With that in place, loop in a Security manager. After that, notify the Product team. Wrapping up, drop an audit entry for redis-cache-07. Thanks.",16,"check_status -> scan_malware, scan_malware -> quarantine_system, quarantine_system -> restart_service, restart_service -> escalate_to_human, escalate_to_human -> send_notification, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
