query,dag_id,dag_text,tools,edges,topo_family,source,split
"Time to create an audit trail for #42017. Next, save the changes for Diana to the DB, and then see what's going on with prod-web-01. Finally, restart the main process on auth-svc-04.",388,"check_status -> restart_service, db_write -> check_status, log_audit_event -> db_write",log_audit_event;db_write;check_status;restart_service,0->1;1->2;2->3,chain_medium,original,train
"Urgent: downgrade Grace's account and send a heads-up to HR, merge everything and do a security check on auth-svc-04.",459,"send_notification -> scan_malware, update_subscription -> scan_malware",update_subscription;send_notification;scan_malware,0->2;1->2,fanin,original,train
From Marketing: change Alice's plan and at the same time credit Charlie's account and quarantine staging-db-02.,412,"update_subscription -> process_refund, update_subscription -> quarantine_system",update_subscription;process_refund;quarantine_system,0->1;0->2,fanout,original,train
"Per Alice's request, look up the records for #60122. Once that's done, spin up a tracking ticket for Grace.",57,db_read -> create_ticket,db_read;create_ticket,0->1,chain_short,original,train
"For the Engineering team, compile a summary for HR, then investigate prod-web-01 for infections. End with give Alice their money back.",274,"generate_report -> scan_malware, scan_malware -> process_refund",generate_report;scan_malware;process_refund,0->1;1->2,chain_medium,original,train
"Ticket INC-1198 says notify the Finance team. Next, sweep prod-web-01 for IOCs. Last step: create a virtual machine for HR.",258,"scan_malware -> provision_vm, send_notification -> scan_malware",send_notification;scan_malware;provision_vm,0->1;1->2,chain_medium,original,train
We gotta produce the Finance performance summary — then send a heads-up to Finance.,47,generate_report -> send_notification,generate_report;send_notification,0->1,chain_short,original,train
"For the Finance team, cycle ml-infer-05, and then check if payment-api-03 is up.",185,restart_service -> check_status,restart_service;check_status,0->1,chain_short,original,train
"Cycle prod-web-01, followed by check if ml-infer-05 is up.",185,restart_service -> check_status,restart_service;check_status,0->1,chain_short,original,train
"Ticket INC-7733 says sweep staging-db-02 for IOCs — then see what's going on with payment-api-03, and lastly reverse the charge on #20891.",301,"check_status -> process_refund, scan_malware -> check_status",scan_malware;check_status;process_refund,0->1;1->2,chain_medium,original,train
"Urgent: sweep payment-api-03 for IOCs. Next, open a ticket for Frank. To wrap up, hand Alice's issue off to an engineer.",81,"create_ticket -> escalate_to_human, scan_malware -> create_ticket",scan_malware;create_ticket;escalate_to_human,0->1;1->2,chain_medium,original,train
"Ticket INC-4021 says cycle payment-api-03 and file a bug about prod-web-01, then converge and get a human involved for Alice.",462,"create_ticket -> escalate_to_human, restart_service -> escalate_to_human",restart_service;create_ticket;escalate_to_human,0->2;1->2,fanin,original,train
"Time to pull auth-svc-04 from production. Next, make a compliance log about Bob.",52,quarantine_system -> log_audit_event,quarantine_system;log_audit_event,0->1,chain_short,original,train
"We gotta blast an alert to Engineering, and then run a malware sweep on ml-infer-05. Finally, stand up a new box for HR.",258,"scan_malware -> provision_vm, send_notification -> scan_malware",send_notification;scan_malware;provision_vm,0->1;1->2,chain_medium,original,train
"From Finance: check the DB for Charlie. Next, quarantine cdn-edge-06. End with record the event in Legal's log.",316,"db_read -> quarantine_system, quarantine_system -> log_audit_event",db_read;quarantine_system;log_audit_event,0->1;1->2,chain_medium,original,train
"Urgent: pull staging-db-02 from production, then provision a new instance for Engineering.",193,quarantine_system -> provision_vm,quarantine_system;provision_vm,0->1,chain_short,original,train
"Eve reported an issue — give Charlie their money back. Once that's done, record the event in Marketing's log.",63,process_refund -> log_audit_event,process_refund;log_audit_event,0->1,chain_short,original,train
"From Marketing: sweep auth-svc-04 for IOCs and see what's going on with auth-svc-04, then converge and create a support case for HR. End with shoot Bob an email.",125,"check_status -> create_ticket, create_ticket -> send_notification, scan_malware -> create_ticket",scan_malware;check_status;create_ticket;send_notification,0->2;1->2;2->3,fanin,original,train
