query,gt_tool,rank_of_one_node,top1_is_one_node,top1_dag_text,top1_cosine,gt_cosine
Scan payment-api-03 -- is it healthy?,check_status,2,True,scan_malware,0.6135558485984802,0.6033505201339722
Scan auth-svc-04 -- is it healthy?,check_status,2,True,scan_malware,0.6477174758911133,0.6399103403091431
Scan payment-api-03 -- is it healthy?,check_status,2,True,scan_malware,0.6135558485984802,0.6033505201339722
Scan payment-api-03 -- is it healthy?,check_status,2,True,scan_malware,0.6135558485984802,0.6033505201339722
Notify the team by creating a formal issue for cdn-edge-06.,create_ticket,3,True,send_notification,0.6638888120651245,0.5241475701332092
Log Diana's complaint so we can follow up.,create_ticket,2,True,log_audit_event,0.6688387989997864,0.5611668229103088
Log Frank's complaint so we can follow up.,create_ticket,2,True,log_audit_event,0.6715332865715027,0.5548316240310669
Send a record of this problem to the tracking system.,create_ticket,2,True,send_notification,0.6759184002876282,0.538178026676178
Notify the team by creating a formal issue for ml-infer-05.,create_ticket,3,True,send_notification,0.6569335460662842,0.5058467388153076
Notify the team by creating a formal issue for payment-api-03.,create_ticket,2,True,send_notification,0.6666805148124695,0.535205066204071
Log Grace's complaint so we can follow up.,create_ticket,2,True,log_audit_event,0.6499678492546082,0.5698654651641846
Notify the team by creating a formal issue for staging-db-02.,create_ticket,3,True,send_notification,0.6497291326522827,0.5218848586082458
Notify the team by creating a formal issue for auth-svc-04.,create_ticket,3,True,send_notification,0.6631786823272705,0.5329402089118958
Notify the team by creating a formal issue for prod-web-01.,create_ticket,3,True,send_notification,0.6613302826881409,0.5141119360923767
Log Charlie's complaint so we can follow up.,create_ticket,2,True,log_audit_event,0.6584466695785522,0.5599614381790161
Log Eve's complaint so we can follow up.,create_ticket,2,True,log_audit_event,0.659252941608429,0.5922573804855347
Log Bob's complaint so we can follow up.,create_ticket,2,True,log_audit_event,0.6575445532798767,0.5693058371543884
Log Alice's complaint so we can follow up.,create_ticket,2,True,log_audit_event,0.652351438999176,0.5333679914474487
Log Bob's complaint so we can follow up.,create_ticket,2,True,log_audit_event,0.6575445532798767,0.5693058371543884
Log Diana's complaint so we can follow up.,create_ticket,2,True,log_audit_event,0.6688387989997864,0.5611668229103088
Log Eve's complaint so we can follow up.,create_ticket,2,True,log_audit_event,0.659252941608429,0.5922573804855347
Notify the team by creating a formal issue for cdn-edge-06.,create_ticket,3,True,send_notification,0.6638888120651245,0.5241475701332092
Send a record of this problem to the tracking system.,create_ticket,2,True,send_notification,0.6759184002876282,0.538178026676178
Send a record of this problem to the tracking system.,create_ticket,2,True,send_notification,0.6759184002876282,0.538178026676178
Notify the team by creating a formal issue for cdn-edge-06.,create_ticket,3,True,send_notification,0.6638888120651245,0.5241475701332092
Notify the team by creating a formal issue for auth-svc-04.,create_ticket,3,True,send_notification,0.6631786823272705,0.5329402089118958
Log Charlie's complaint so we can follow up.,create_ticket,2,True,log_audit_event,0.6584466695785522,0.5599614381790161
Log Frank's complaint so we can follow up.,create_ticket,2,True,log_audit_event,0.6715332865715027,0.5548316240310669
Send a record of this problem to the tracking system.,create_ticket,2,True,send_notification,0.6759184002876282,0.538178026676178
Send a record of this problem to the tracking system.,create_ticket,2,True,send_notification,0.6759184002876282,0.538178026676178
Send a record of this problem to the tracking system.,create_ticket,2,True,send_notification,0.6759184002876282,0.538178026676178
Send a record of this problem to the tracking system.,create_ticket,2,True,send_notification,0.6759184002876282,0.538178026676178
Send a record of this problem to the tracking system.,create_ticket,2,True,send_notification,0.6759184002876282,0.538178026676178
Send a record of this problem to the tracking system.,create_ticket,2,True,send_notification,0.6759184002876282,0.538178026676178
Notify a manager that Frank's case needs attention.,escalate_to_human,2,True,send_notification,0.661068320274353,0.4746283292770386
Send this to a real person for Frank.,escalate_to_human,3,True,send_notification,0.6473091840744019,0.5336341261863708
Send this to a real person for Alice.,escalate_to_human,3,True,send_notification,0.65887451171875,0.5465362071990967
Send this to a real person for Eve.,escalate_to_human,3,True,send_notification,0.6573023200035095,0.5430428385734558
Send this to a real person for Bob.,escalate_to_human,3,True,send_notification,0.6592991948127747,0.5557861924171448
Send this to a real person for Grace.,escalate_to_human,3,True,send_notification,0.668175995349884,0.4682770371437073
Notify a manager that Diana's case needs attention.,escalate_to_human,2,True,send_notification,0.6578825116157532,0.4905143082141876
Notify a manager that Grace's case needs attention.,escalate_to_human,3,True,send_notification,0.6607723236083984,0.4674648642539978
Notify a manager that Bob's case needs attention.,escalate_to_human,2,True,send_notification,0.654856264591217,0.4873315989971161
Notify a manager that Eve's case needs attention.,escalate_to_human,2,True,send_notification,0.6716135740280151,0.5016400218009949
Notify a manager that Charlie's case needs attention.,escalate_to_human,2,True,send_notification,0.6361332535743713,0.48721209168434143
Create an escalation path for Eve.,escalate_to_human,2,True,create_ticket,0.5552452802658081,0.5427530407905579
Create an escalation path for Grace.,escalate_to_human,2,True,create_ticket,0.5815799832344055,0.5595253705978394
Send this to a real person for Diana.,escalate_to_human,3,True,send_notification,0.6613439917564392,0.5324044227600098
Notify a manager that Alice's case needs attention.,escalate_to_human,2,True,send_notification,0.6503167152404785,0.48752886056900024
Send this to a real person for Charlie.,escalate_to_human,3,True,send_notification,0.6086452007293701,0.5386865139007568
Notify a manager that Diana's case needs attention.,escalate_to_human,2,True,send_notification,0.6578825116157532,0.4905143082141876
Notify a manager that Diana's case needs attention.,escalate_to_human,2,True,send_notification,0.6578825116157532,0.4905143082141876
Notify a manager that Charlie's case needs attention.,escalate_to_human,2,True,send_notification,0.6361332535743713,0.48721209168434143
Create an escalation path for Eve.,escalate_to_human,2,True,create_ticket,0.5552452802658081,0.5427530407905579
Notify a manager that Eve's case needs attention.,escalate_to_human,2,True,send_notification,0.6716135740280151,0.5016400218009949
Send this to a real person for Charlie.,escalate_to_human,3,True,send_notification,0.6086452007293701,0.5386865139007568
Send this to a real person for Frank.,escalate_to_human,3,True,send_notification,0.6473092436790466,0.5336340069770813
Send this to a real person for Bob.,escalate_to_human,3,True,send_notification,0.6592991948127747,0.5557861924171448
Log the quarterly metrics into a document.,generate_report,2,True,log_audit_event,0.5658177137374878,0.4928322732448578
Pull the data and compile findings for Marketing.,generate_report,2,True,db_read,0.6227266788482666,0.6168824434280396
Pull the data and compile findings for Engineering.,generate_report,2,True,db_read,0.6215289235115051,0.593063235282898
Pull the data and compile findings for HR.,generate_report,2,True,db_read,0.6397264003753662,0.6101396083831787
Pull the data and compile findings for Legal.,generate_report,2,True,db_read,0.6180368661880493,0.5986706614494324
Pull the data and compile findings for HR.,generate_report,2,True,db_read,0.6397264003753662,0.6101396083831787
Pull the data and compile findings for Finance.,generate_report,2,True,db_read,0.625906765460968,0.618701696395874
Pull the data and compile findings for HR.,generate_report,2,True,db_read,0.6397264003753662,0.6101396083831787
Log the quarterly metrics into a document.,generate_report,2,True,log_audit_event,0.5658177137374878,0.4928322732448578
Log the quarterly metrics into a document.,generate_report,2,True,log_audit_event,0.5658177137374878,0.4928322732448578
Log the quarterly metrics into a document.,generate_report,2,True,log_audit_event,0.5658177137374878,0.4928322732448578
Log the quarterly metrics into a document.,generate_report,2,True,log_audit_event,0.5658177137374878,0.4928322732448578
Pull the data and compile findings for Legal.,generate_report,2,True,db_read,0.6180368661880493,0.5986706614494324
Log the quarterly metrics into a document.,generate_report,2,True,log_audit_event,0.5658177137374878,0.4928322732448578
Pull the data and compile findings for HR.,generate_report,2,True,db_read,0.6397264003753662,0.6101396083831787
Log the quarterly metrics into a document.,generate_report,2,True,log_audit_event,0.5658177137374878,0.4928322732448578
Pull the data and compile findings for Legal.,generate_report,2,True,db_read,0.6180368661880493,0.5986706614494324
Pull the data and compile findings for Legal.,generate_report,2,True,db_read,0.6180368661880493,0.5986706614494324
Pull the data and compile findings for Engineering.,generate_report,2,True,db_read,0.6215289235115051,0.593063235282898
File a record of what happened with payment-api-03.,log_audit_event,8,False,check_status -> db_write,0.5273683071136475,0.3197057247161865
File a record of what happened with cdn-edge-06.,log_audit_event,7,False,check_status -> db_write,0.5124386548995972,0.3400574326515198
Document the action taken on Charlie's account.,log_audit_event,8,True,process_refund,0.6010932326316833,0.3748551905155182
Report the incident to the compliance trail.,log_audit_event,2,True,create_ticket,0.6182103157043457,0.5893735289573669
File a record of what happened with prod-web-01.,log_audit_event,12,False,check_status -> db_write,0.5389409065246582,0.28835049271583557
Document the action taken on Alice's account.,log_audit_event,8,True,process_refund,0.5828430652618408,0.4453904330730438
Document the action taken on Frank's account.,log_audit_event,6,True,process_refund,0.6078040599822998,0.42108213901519775
Document the action taken on Bob's account.,log_audit_event,8,True,process_refund,0.591325044631958,0.4116690456867218
Document the action taken on Diana's account.,log_audit_event,6,True,process_refund,0.5927037000656128,0.4324904680252075
Document the action taken on Eve's account.,log_audit_event,8,True,process_refund,0.591984212398529,0.4375342130661011
File a record of what happened with ml-infer-05.,log_audit_event,13,False,check_status -> db_write,0.5535627603530884,0.2824840843677521
File a record of what happened with auth-svc-04.,log_audit_event,10,False,check_status -> db_write,0.5358003973960876,0.3269185721874237
Document the action taken on Grace's account.,log_audit_event,4,True,process_refund,0.5676761865615845,0.46085232496261597
File a record of what happened with staging-db-02.,log_audit_event,13,False,check_status -> db_write,0.5552532076835632,0.26249778270721436
Report the incident to the compliance trail.,log_audit_event,2,True,create_ticket,0.6182101368904114,0.5893734693527222
File a record of what happened with ml-infer-05.,log_audit_event,13,False,check_status -> db_write,0.5535627603530884,0.2824840843677521
Report the incident to the compliance trail.,log_audit_event,2,True,create_ticket,0.6182101368904114,0.5893734693527222
File a record of what happened with staging-db-02.,log_audit_event,13,False,check_status -> db_write,0.5552532076835632,0.26249778270721436
Document the action taken on Frank's account.,log_audit_event,6,True,process_refund,0.6078041791915894,0.42108210921287537
Report the incident to the compliance trail.,log_audit_event,2,True,create_ticket,0.6182101368904114,0.5893734693527222
Report the incident to the compliance trail.,log_audit_event,2,True,create_ticket,0.6182101368904114,0.5893734693527222
