source_row_id,original_query,transformed_query,label,generation_type,lexical_cues_removed,paraphrase_family,confusable_with
804,Approve Alice's access request for payment-api-03.,The request from Alice still needs formal approval.,approve_access_request,lexical_cue_reduced,access;approve,,
805,Authorize the access change requested by Grace for HR.,Bob is waiting for someone to say yes to the access request.,approve_access_request,lexical_cue_reduced,authorize,,
806,Approve Diana's access request for payment-api-03.,The request from Diana still needs formal approval.,approve_access_request,lexical_cue_reduced,access;approve,,
807,Sign off on the pending permission request from Bob.,Eve is waiting for someone to say yes to the access request.,approve_access_request,lexical_cue_reduced,off;sign,,
808,Sign off on the pending permission request from Diana.,The request from Frank still needs formal approval.,approve_access_request,lexical_cue_reduced,off;sign,,
809,Authorize the access change requested by Bob for Marketing.,Finance cannot proceed until the pending permission request is cleared.,approve_access_request,lexical_cue_reduced,access;authorize,,
810,Approve Grace's access request for auth-svc-04.,Marketing cannot proceed until the pending permission request is cleared.,approve_access_request,lexical_cue_reduced,access;approve,,
811,Authorize the access change requested by Diana for HR.,Diana is waiting for someone to say yes to the access request.,approve_access_request,lexical_cue_reduced,authorize,,
812,Authorize the access change requested by Eve for Marketing.,Legal cannot proceed until the pending permission request is cleared.,approve_access_request,lexical_cue_reduced,access;authorize,,
813,Approve Alice's access request for auth-svc-04.,Engineering cannot proceed until the pending permission request is cleared.,approve_access_request,lexical_cue_reduced,access;approve,,
814,Sign off on the pending permission request from Grace.,The request from Bob still needs formal approval.,approve_access_request,lexical_cue_reduced,off;sign,,
815,Authorize the access change requested by Frank for HR.,HR cannot proceed until the pending permission request is cleared.,approve_access_request,lexical_cue_reduced,access;authorize,,
816,Authorize the access change requested by Frank for Finance.,The request from Charlie still needs formal approval.,approve_access_request,lexical_cue_reduced,access;authorize,,
817,Approve Charlie's access request for auth-svc-04.,Frank is waiting for someone to say yes to the access request.,approve_access_request,lexical_cue_reduced,approve,,
818,Approve Charlie's access request for prod-web-01.,Grace is waiting for someone to say yes to the access request.,approve_access_request,lexical_cue_reduced,approve,,
819,Authorize the access change requested by Bob for Legal.,Charlie is waiting for someone to say yes to the access request.,approve_access_request,lexical_cue_reduced,authorize,,
820,Approve Frank's access request for payment-api-03.,The request from Grace still needs formal approval.,approve_access_request,lexical_cue_reduced,access;approve,,
821,Approve Bob's access request for auth-svc-04.,Alice is waiting for someone to say yes to the access request.,approve_access_request,lexical_cue_reduced,approve,,
822,Approve Frank's access request for ml-infer-05.,The request from Eve still needs formal approval.,approve_access_request,lexical_cue_reduced,access;approve,,
823,Approve Frank's access request for auth-svc-04.,HR cannot proceed until the pending permission request is cleared.,approve_access_request,lexical_cue_reduced,access;approve,,
824,Sign off on the pending permission request from Eve.,The request from Bob still needs formal approval.,approve_access_request,lexical_cue_reduced,off;sign,,
825,Approve Diana's access request for staging-db-02.,Legal cannot proceed until the pending permission request is cleared.,approve_access_request,lexical_cue_reduced,access;approve,,
826,Authorize the access change requested by Eve for Finance.,Legal cannot proceed until the pending permission request is cleared.,approve_access_request,lexical_cue_reduced,access;authorize,,
827,Approve Bob's access request for staging-db-02.,The request from Bob still needs formal approval.,approve_access_request,lexical_cue_reduced,access;approve,,
828,Authorize the access change requested by Grace for Legal.,The request from Charlie still needs formal approval.,approve_access_request,lexical_cue_reduced,access;authorize,,
829,Approve Diana's access request for auth-svc-04.,Charlie is waiting for someone to say yes to the access request.,approve_access_request,lexical_cue_reduced,approve,,
830,Approve Bob's access request for prod-web-01.,Engineering cannot proceed until the pending permission request is cleared.,approve_access_request,lexical_cue_reduced,access;approve,,
831,Authorize the access change requested by Alice for HR.,Diana is waiting for someone to say yes to the access request.,approve_access_request,lexical_cue_reduced,authorize,,
832,Approve Diana's access request for prod-web-01.,The request from Charlie still needs formal approval.,approve_access_request,lexical_cue_reduced,access;approve,,
833,Authorize the access change requested by Grace for Marketing.,Engineering cannot proceed until the pending permission request is cleared.,approve_access_request,lexical_cue_reduced,access;authorize,,
834,Sign off on the pending permission request from Alice.,Marketing cannot proceed until the pending permission request is cleared.,approve_access_request,lexical_cue_reduced,off;sign,,
835,Sign off on the pending permission request from Charlie.,The request from Bob still needs formal approval.,approve_access_request,lexical_cue_reduced,off;sign,,
836,Authorize the access change requested by Diana for Finance.,The request from Frank still needs formal approval.,approve_access_request,lexical_cue_reduced,access;authorize,,
837,Authorize the access change requested by Bob for Finance.,Alice is waiting for someone to say yes to the access request.,approve_access_request,lexical_cue_reduced,authorize,,
838,Approve Charlie's access request for staging-db-02.,Engineering cannot proceed until the pending permission request is cleared.,approve_access_request,lexical_cue_reduced,access;approve,,
839,Authorize the access change requested by Charlie for HR.,HR cannot proceed until the pending permission request is cleared.,approve_access_request,lexical_cue_reduced,access;authorize,,
840,Approve Diana's access request for ml-infer-05.,The request from Alice still needs formal approval.,approve_access_request,lexical_cue_reduced,access;approve,,
841,Approve Frank's access request for staging-db-02.,The request from Charlie still needs formal approval.,approve_access_request,lexical_cue_reduced,access;approve,,
842,Authorize the access change requested by Charlie for Marketing.,Legal cannot proceed until the pending permission request is cleared.,approve_access_request,lexical_cue_reduced,access;authorize,,
